outcome,model,term,estimate,std.error,statistic,p.value,L,U,RR,lci,uci
c_stunting,m00,(Intercept),-1.0595029112644136,0.006361980222616155,-166.5366559138293,0,-1.0719723925007414,-1.047033430028086,"0.35 	(0.34, 0.35)",0.34233263676134623,0.3509774052736231
c_stunting,m00,exposure_estimate_centered,-0.16625714124932117,0.010742372708139018,-15.47676158390553,1.3896841548305582e-53,-0.18731219175727365,-0.1452020907413687,"0.85 	(0.83, 0.86)",0.8291848313039011,0.8648474977770803
c_stunting,m00,exposure_gt20_centered,0.01692776200968637,0.001922019619961422,8.807278465776607,1.431771622224771e-18,0.013160603554561981,0.020694920464810754,"1.02 	(1.01, 1.02)",1.0132475854567826,1.0209105452082246
c_stunting,m01,(Intercept),-1.371404685149893,0.03595475101417693,-38.14251653722061,7.48315788254983e-303,-1.44187599713768,-1.3009333731621062,"0.25 	(0.24, 0.27)",0.23648369954206885,0.2722775378485158
c_stunting,m01,exposure_estimate_centered,0.03638602981515545,0.01580671141754238,2.3019354787975708,0.021353507761621763,0.005404875436772386,0.06736718419353852,"1.04 	(1.01, 1.07)",1.00541950812676,1.0696881786647023
c_stunting,m01,exposure_gt20_centered,-0.01064615334013737,0.002426362048527293,-4.387701887522997,1.1539770883601567e-5,-0.015401822955250864,-0.005890483725023876,"0.99 	(0.98, 0.99)",0.9847161785305053,0.994126831159869
c_stunting,m01,"c_age3mo[3,6)",-0.2247557963330047,0.04400022672999397,-5.1080599586954785,3.297888227192213e-7,-0.31099624072379284,-0.1385153519422165,"0.80 	(0.73, 0.87)",0.7327166303483501,0.8706498849997921
c_stunting,m01,"c_age3mo[6,9)",-0.15522622193403018,0.04504782215825681,-3.4458096861754455,5.710320376412029e-4,-0.24351995336421353,-0.06693249050384684,"0.86 	(0.78, 0.94)",0.7838638351556327,0.9352583380247627
c_stunting,m01,"c_age3mo[9,12)",-0.031754964936329955,0.0468531802037863,-0.6777547393413387,0.49793848314256217,-0.1235871981357511,0.06007726826309119,"0.97 	(0.88, 1.06)",0.8837445770046033,1.0619185959808657
c_stunting,m01,"c_age3mo[12,15)",0.19988031311323806,0.04178199742807497,4.7838860135233885,1.737025846957128e-6,0.11798759815421112,0.281773028072265,"1.22 	(1.13, 1.33)",1.1252301563499325,1.325477839581961
c_stunting,m01,"c_age3mo[15,18)",0.39501965046740334,0.040499716651461744,9.753639855481458,2.099551920490256e-22,0.3156402058305383,0.47439909510426836,"1.48 	(1.37, 1.61)",1.3711368398267978,1.6070482241402306
c_stunting,m01,"c_age3mo[18,21)",0.4962253684491842,0.04167777851426913,11.906233636691853,1.5800310386279346e-32,0.41453692256121666,0.5779138143371517,"1.64 	(1.51, 1.78)",1.5136696321143912,1.7823163068532442
c_stunting,m01,"c_age3mo[21,24)",0.5565822936167022,0.041012508864749116,13.571037447433342,1.0953806019863053e-41,0.47619777624179394,0.6369668109916105,"1.74 	(1.61, 1.89)",1.6099413926318713,1.8907372095687707
c_stunting,m01,"c_age3mo[24,27)",0.32202418754062634,0.0424323886217316,7.589112892308466,3.4253106797889054e-14,0.2388567058420324,0.4051916692392203,"1.38 	(1.27, 1.50)",1.2697965691165487,1.4995898977680844
c_stunting,m01,"c_age3mo[27,30)",0.3451287740067108,0.043746447052306174,7.8892983833418935,3.2645282143469574e-15,0.2593857377841907,0.43087181022923093,"1.41 	(1.30, 1.54)",1.2961336761444742,1.5385983047507346
c_stunting,m01,"c_age3mo[30,33)",0.39849230686627973,0.04324656820501566,9.214426101446433,3.571208230994321e-20,0.313729033184449,0.48325558054811046,"1.49 	(1.37, 1.62)",1.36851886310409,1.6213442361108752
c_stunting,m01,"c_age3mo[33,36)",0.5488702128757686,0.04291829668492253,12.788723115113518,3.0718856741695395e-37,0.4647503513733205,0.6329900743782169,"1.73 	(1.59, 1.88)",1.5916167943377568,1.883233176352327
