mean,se,outcome,curr_change,pre_change,group,region,lci,uci,exposure_type
-0.8035201748940379,0.0048301673272574275,HAZ,0,0,0 to 6,Rural,-0.8129873028554625,-0.7940530469326134,Baseline
-1.3115746031249762,0.0038467532981244835,WAZ,0,0,0 to 6,Rural,-1.3191142395893003,-1.304034966660652,Baseline
-0.8881299983617046,0.0031212012781216365,WHZ,0,0,0 to 6,Rural,-0.894247552866823,-0.8820124438565862,Baseline
-0.8152707817213373,0.004787025539821025,HAZ,-1,0,0 to 6,Rural,-0.8246533517793865,-0.8058882116632881,Current minus 1000pp
-1.318116508740611,0.003832516078815738,WAZ,-1,0,0 to 6,Rural,-1.3256282402550899,-1.3106047772261322,Current minus 1000pp
-0.8840227880283239,0.003116531127751371,WHZ,-1,0,0 to 6,Rural,-0.8901311890387166,-0.8779143870179312,Current minus 1000pp
-0.781233865980497,0.0048301673272574275,HAZ,0,-1,0 to 6,Rural,-0.7907009939419216,-0.7717667380190725,Previous minus 1000pp
-1.2954583070504824,0.0038467532981244835,WAZ,0,-1,0 to 6,Rural,-1.3029979435148065,-1.2879186705861583,Previous minus 1000pp
-0.8891421567174156,0.0031212012781216365,WHZ,0,-1,0 to 6,Rural,-0.895259711222534,-0.8830246022122972,Previous minus 1000pp
-0.7929844728077963,0.004787025539821025,HAZ,-1,-1,0 to 6,Rural,-0.8023670428658455,-0.7836019027497471,Both minus 1000pp
-1.3020002126661172,0.003832516078815738,WAZ,-1,-1,0 to 6,Rural,-1.309511944180596,-1.2944884811516384,Both minus 1000pp
-0.8850349463840349,0.0031165311277513708,WHZ,-1,-1,0 to 6,Rural,-0.8911433473944276,-0.8789265453736422,Both minus 1000pp
-0.9569918668902765,0.005873933065405945,HAZ,0,0,7 to 12,Rural,-0.9685047756984722,-0.9454789580820808,Baseline
-1.2156030401691602,0.005674361926456418,WAZ,0,0,7 to 12,Rural,-1.2267247895450148,-1.2044812907933056,Baseline
-0.8717569666283413,0.00426820303798757,WHZ,0,0,7 to 12,Rural,-0.880122644582797,-0.8633912886738857,Baseline
-0.964690956357068,0.005905027653913324,HAZ,-1,0,7 to 12,Rural,-0.9762648105587381,-0.9531171021553979,Current minus 1000pp
-1.2223229043606292,0.0056763396380428615,WAZ,-1,0,7 to 12,Rural,-1.2334485300511933,-1.211197278670065,Current minus 1000pp
-0.8756285359007508,0.0042678772152376565,WHZ,-1,0,7 to 12,Rural,-0.8839935752426167,-0.867263496558885,Current minus 1000pp
-0.9385861197933683,0.005873395675568911,HAZ,0,-1,7 to 12,Rural,-0.9500979753174833,-0.9270742642692532,Previous minus 1000pp
-1.205162539096497,0.005674490343958098,WAZ,0,-1,7 to 12,Rural,-1.216284540170655,-1.1940405380223391,Previous minus 1000pp
-0.8676184137738401,0.004268287148838541,WHZ,0,-1,7 to 12,Rural,-0.8759842565855637,-0.8592525709621165,Previous minus 1000pp
-0.9462852092601597,0.00590446640443009,HAZ,-1,-1,7 to 12,Rural,-0.9578579634128427,-0.9347124551074767,Both minus 1000pp
-1.2118824032879658,0.005676454266068229,WAZ,-1,-1,7 to 12,Rural,-1.2230082536494595,-1.200756552926472,Both minus 1000pp
-0.8714899830462496,0.004267957157596322,WHZ,-1,-1,7 to 12,Rural,-0.8798551790751383,-0.8631247870173608,Both minus 1000pp
-1.458476766690848,0.006402886448904218,HAZ,0,0,13 to 18,Rural,-1.4710264241307003,-1.4459271092509958,Baseline
-1.2924025809930615,0.006060723813980135,WAZ,0,0,13 to 18,Rural,-1.3042815996684625,-1.2805235623176605,Baseline
-0.8048116621630657,0.004560708150404451,WHZ,0,0,13 to 18,Rural,-0.8137506501378584,-0.7958726741882729,Baseline
-1.4407076231554594,0.00635186736510152,HAZ,-1,0,13 to 18,Rural,-1.4531572831910584,-1.4282579631198604,Current minus 1000pp
-1.2851308238874741,0.006053687500129017,WAZ,-1,0,13 to 18,Rural,-1.296996051387727,-1.2732655963872213,Current minus 1000pp
-0.806858177449813,0.00455949001926296,WHZ,-1,0,13 to 18,Rural,-0.8157947778875684,-0.7979215770120577,Current minus 1000pp
-1.4426012250645233,0.006402724605503292,HAZ,0,-1,13 to 18,Rural,-1.4551505652913097,-1.4300518848377368,Previous minus 1000pp
-1.2830607081255896,0.006060974919926913,WAZ,0,-1,13 to 18,Rural,-1.2949402189686463,-1.2711811972825329,Previous minus 1000pp
-0.8009958590153825,0.004560916293338418,WHZ,0,-1,13 to 18,Rural,-0.8099352549503258,-0.7920564630804392,Previous minus 1000pp
-1.4248320815291344,0.006351738772361217,HAZ,-1,-1,13 to 18,Rural,-1.4372814895229624,-1.4123826735353064,Both minus 1000pp
-1.2757889510200022,0.006053947627391243,WAZ,-1,-1,13 to 18,Rural,-1.287654688369689,-1.2639232136703153,Both minus 1000pp
-0.80304237430213,0.004559696885455359,WHZ,-1,-1,13 to 18,Rural,-0.8119793801976225,-0.7941053684066375,Both minus 1000pp
-1.7951779745818013,0.007063547386984125,HAZ,0,0,19 to 24,Rural,-1.8090225274602902,-1.7813334217033123,Baseline
-1.4824575291739217,0.005802800241253967,WAZ,0,0,19 to 24,Rural,-1.4938310176467795,-1.471084040701064,Baseline
-0.800029909663038,0.004176778863484231,WHZ,0,0,19 to 24,Rural,-0.808216396235467,-0.791843423090609,Baseline
-1.8278210665674315,0.007015242739963937,HAZ,-1,0,19 to 24,Rural,-1.8415709423377609,-1.814071190797102,Current minus 1000pp
-1.5002459227652831,0.0058112329704986644,WAZ,-1,0,19 to 24,Rural,-1.5116359393874605,-1.4888559061431057,Current minus 1000pp
-0.8006225628271372,0.004177932689283477,WHZ,-1,0,19 to 24,Rural,-0.8088113108981327,-0.7924338147561416,Current minus 1000pp
-1.7661253071872762,0.0070623630132497185,HAZ,0,-1,19 to 24,Rural,-1.7799675386932456,-1.7522830756813068,Previous minus 1000pp
-1.4681115889451959,0.005802837931360034,WAZ,0,-1,19 to 24,Rural,-1.4794851512906615,-1.4567380265997303,Previous minus 1000pp
-0.8011858354196814,0.004176707766979462,WHZ,0,-1,19 to 24,Rural,-0.8093721826429611,-0.7929994881964016,Previous minus 1000pp
