outcome,model,term,estimate,std.error,statistic,p.value,L,U,RR,lci,uci
c_haz,m1,(Intercept),-5.811553722812256,0.6236611736766156,-9.318447208364613,1.70122121698966e-20,-7.033929623218423,-4.589177822406089,"-5.81 	(-7.03, -4.59)",-7.033929623218423,-4.589177822406089
c_haz,m1,p1_cumulative,-0.2228630891354095,0.06389809919088982,-3.487789025924325,4.910480548207932e-4,-0.3481033635495535,-0.09762281472126547,"-0.22 	(-0.35, -0.10)",-0.3481033635495535,-0.09762281472126547
c_haz,m1,p2_cumulative,0.40748382687274193,0.3571685868164752,1.1408725232662198,0.2539753129454029,-0.2925666032875494,1.1075342570330333,"0.41 	(-0.29, 1.11)",-0.2925666032875494,1.1075342570330333
c_haz,m1,factor(nfhs5_state)Chhattisgarh,-0.526129202685037,0.1887087715761272,-2.788048474327494,0.005321852398712584,-0.8959983949742463,-0.15626001039582776,"-0.53 	(-0.90, -0.16)",-0.8959983949742463,-0.15626001039582776
c_haz,m1,factor(nfhs5_state)Haryana,-0.4942170598422682,0.1903944564680277,-2.5957534111570126,0.009464815334793588,-0.8673901945196025,-0.12104392516493395,"-0.49 	(-0.87, -0.12)",-0.8673901945196025,-0.12104392516493395
c_haz,m1,factor(nfhs5_state)Jharkhand,-0.6719340463221424,0.18035583546605446,-3.7256019168207613,1.9690806489971335e-4,-1.0254314838356091,-0.31843660880867564,"-0.67 	(-1.03, -0.32)",-1.0254314838356091,-0.31843660880867564
c_haz,m1,factor(nfhs5_state)Madhya Pradesh,-0.6018247858082221,0.177677488284263,-3.387175221913164,7.113828434778291e-4,-0.9500726628453775,-0.2535769087710666,"-0.60 	(-0.95, -0.25)",-0.9500726628453775,-0.2535769087710666
c_haz,m1,factor(nfhs5_state)Nct Of Delhi,-0.19661502523483115,0.3770674359585741,-0.5214319946112556,0.6020879890897997,-0.9356671997136363,0.5424371492439741,"-0.20 	(-0.94, 0.54)",-0.9356671997136363,0.5424371492439741
c_haz,m1,factor(nfhs5_state)Odisha,-0.5855853186535537,0.18355645726056471,-3.1902191151047066,0.0014300654614570192,-0.9453559748842605,-0.22581466242284687,"-0.59 	(-0.95, -0.23)",-0.9453559748842605,-0.22581466242284687
c_haz,m1,factor(nfhs5_state)Puducherry,-1.0257548763218263,0.7539218003250958,-1.3605587156115055,0.17371192869759683,-2.503441604959014,0.4519318523153615,"-1.03 	(-2.50, 0.45)",-2.503441604959014,0.4519318523153615
c_haz,m1,factor(nfhs5_state)Punjab,-0.6629463245056306,0.17969256747299303,-3.6893363694926804,2.2712895413383295e-4,-1.015143756752697,-0.3107488922585643,"-0.66 	(-1.02, -0.31)",-1.015143756752697,-0.3107488922585643
c_haz,m1,factor(nfhs5_state)Rajasthan,-0.9594015485883378,0.18113925228475286,-5.296486192181848,1.2289436504921057e-7,-1.3144344830664534,-0.6043686141102222,"-0.96 	(-1.31, -0.60)",-1.3144344830664534,-0.6043686141102222
c_haz,m1,factor(nfhs5_state)Tamil Nadu,-0.6812566833059395,0.20329032375359715,-3.3511515488148502,8.104794201723641e-4,-1.0797057178629899,-0.2828076487488891,"-0.68 	(-1.08, -0.28)",-1.0797057178629899,-0.2828076487488891
c_haz,m1,factor(nfhs5_state)Uttar Pradesh,-0.5453754310595631,0.17536928403417226,-3.109868607054881,0.0018817920376376586,-0.8890992277665407,-0.20165163435258548,"-0.55 	(-0.89, -0.20)",-0.8890992277665407,-0.20165163435258548
c_haz,m1,factor(nfhs5_state)Uttarakhand,-0.33522721958085266,0.21654356737166763,-1.5480820956712174,0.12166315309680367,-0.7596526116293212,0.08919817246761591,"-0.34 	(-0.76, 0.09)",-0.7596526116293212,0.08919817246761591
c_haz,m1,pc1,0.0062224013540578445,0.018293073191219027,0.34015068375961555,0.7337567412976083,-0.02963202210073145,0.04207682480884714,"0.01 	(-0.03, 0.04)",-0.02963202210073145,0.04207682480884714
c_haz,m1,factor(c_measurementmonth)2,-0.13903386041768065,0.06497311092607348,-2.1398676842774793,0.03241168909831642,-0.2663811578327847,-0.011686563002576617,"-0.14 	(-0.27, -0.01)",-0.2663811578327847,-0.011686563002576617
c_haz,m1,factor(c_measurementmonth)3,-0.15069050494026823,0.06606985359456596,-2.2807755238110903,0.022601852169613548,-0.2801874179856175,-0.02119359189491893,"-0.15 	(-0.28, -0.02)",-0.2801874179856175,-0.02119359189491893
c_haz,m1,factor(c_measurementmonth)4,0.08678376365323918,0.0910073105926295,0.9535911245823325,0.34033480453946496,-0.09159056510831463,0.265158092414793,"0.09 	(-0.09, 0.27)",-0.09159056510831463,0.265158092414793
c_haz,m1,factor(c_measurementmonth)5,-2.093674950209794,1.9170450427031227,-1.0921365453456509,0.27482349071343515,-5.851083233907914,1.6637333334883264,"-2.09 	(-5.85, 1.66)",-5.851083233907914,1.6637333334883264
c_haz,m1,factor(c_measurementmonth)11,0.5603181027466353,0.3978641298159899,1.4083152029960064,0.15909731037772312,-0.21949559169270494,1.3401317971859754,"0.56 	(-0.22, 1.34)",-0.21949559169270494,1.3401317971859754
c_haz,m1,factor(c_measurementmonth)12,-0.3194998286357364,0.0976408379721572,-3.2721946602593013,0.0010740995875771755,-0.5108758710611645,-0.1281237862103083,"-0.32 	(-0.51, -0.13)",-0.5108758710611645,-0.1281237862103083
c_haz,m1,"c_age2mo[2,4)",0.024146834154042767,0.06203636152198485,0.3892367889029961,0.6971168687894536,-0.09744443442904753,0.14573810273713306,"0.02 	(-0.10, 0.15)",-0.09744443442904753,0.14573810273713306
c_haz,m1,"c_age2mo[4,6)",0.197156443107003,0.06354667959020122,3.10254515858928,0.0019288926368162794,0.07260495111020862,0.32170793510379736,"0.20 	(0.07, 0.32)",0.07260495111020862,0.32170793510379736
c_haz,m1,"c_age2mo[6,8)",0.2065808067142923,0.08203383374739409,2.518239088403626,0.011823989034517167,0.04579449256939988,0.3673671208591847,"0.21 	(0.05, 0.37)",0.04579449256939988,0.3673671208591847
c_haz,m1,c_male,-0.2171893275207429,0.046232558645402384,-4.697757032799252,2.6978302344487843e-6,-0.3078051424657316,-0.12657351257575422,"-0.22 	(-0.31, -0.13)",-0.3078051424657316,-0.12657351257575422
c_haz,m1,m_age,0.006954283398106933,0.005782779186218451,1.202584981055548,0.22919150764633037,-0.004379963806881231,0.0182885306030951,"0.01 	(-0.00, 0.02)",-0.004379963806881231,0.0182885306030951
c_haz,m1,m_eduyr,0.023238803137872122,0.005053717762740969,4.5983579275444475,4.358907908006947e-6,0.013333516322899823,0.03314408995284442,"0.02 	(0.01, 0.03)",0.013333516322899823,0.03314408995284442
c_haz,m1,m_height,0.036982672402722384,0.003945921739490864,9.372378583335562,1.0305354960761942e-20,0.02924866579332029,0.04471667901212448,"0.04 	(0.03, 0.04)",0.02924866579332029,0.04471667901212448
c_haz,m1,m_casteOBC,-0.07442002552113017,0.07310416325614184,-1.0179998266361086,0.308725217408361,-0.21770418550316817,0.06886413446090783,"-0.07 	(-0.22, 0.07)",-0.21770418550316817,0.06886413446090783
c_haz,m1,m_casteSchedule Caste,-0.09627305048189495,0.07911523570072236,-1.2168711832709098,0.2237082451597049,-0.25133891245531076,0.058792811491520866,"-0.10 	(-0.25, 0.06)",-0.25133891245531076,0.058792811491520866
c_haz,m1,m_casteSchedule Tribe,-0.16078640869857372,0.09431313410264026,-1.7048146075136374,0.08828851009353816,-0.34564015153974864,0.024067334142601204,"-0.16 	(-0.35, 0.02)",-0.34564015153974864,0.024067334142601204
c_haz,m1,hh_religionMuslim,0.10223862841869939,0.09773676082653973,1.0460611499101085,0.2955812357743932,-0.08932542280131849,0.29380267963871726,"0.10 	(-0.09, 0.29)",-0.08932542280131849,0.29380267963871726
c_haz,m1,hh_religionOther,-0.1844863053035651,0.14717114547084997,-1.2535494285468214,0.21006196260497884,-0.47294175042643105,0.10396913981930081,"-0.18 	(-0.47, 0.10)",-0.47294175042643105,0.10396913981930081
