outcome,model,term,estimate,std.error,statistic,p.value,L,U,RR,lci,uci
c_haz,m1,(Intercept),-4.043584153418252,1.4795759955196257,-2.7329344120632,0.00636657613086609,-6.9435531046367185,-1.1436152021997859,"-4.04 	(-6.94, -1.14)",-6.9435531046367185,-1.1436152021997859
c_haz,m1,p1_cumulative,-0.3032972767695458,0.1519661305873188,-1.9958215399534245,0.046171949721491974,-0.6011508927206907,-0.005443660818400975,"-0.30 	(-0.60, -0.01)",-0.6011508927206907,-0.005443660818400975
c_haz,m1,p2_cumulative,0.6730515377694953,0.5749962657855222,1.1705320152819019,0.2420120247004601,-0.45394114317012824,1.800044218709119,"0.67 	(-0.45, 1.80)",-0.45394114317012824,1.800044218709119
c_haz,m1,factor(nfhs5_state)Chandigarh,-0.33556474311449447,0.47417448733094786,-0.707681986442026,0.4792758596511779,-1.2649467382831523,0.5938172520541634,"-0.34 	(-1.26, 0.59)",-1.2649467382831523,0.5938172520541634
c_haz,m1,factor(nfhs5_state)Chhattisgarh,-0.7211540962460388,0.41973644145073924,-1.7181117125630234,0.08602608104404849,-1.5438375214894875,0.10152932899741007,"-0.72 	(-1.54, 0.10)",-1.5438375214894875,0.10152932899741007
c_haz,m1,factor(nfhs5_state)Haryana,-0.49066265478189286,0.35664295858347506,-1.3757811362117485,0.16913804570805202,-1.189682853605504,0.20835754404171825,"-0.49 	(-1.19, 0.21)",-1.189682853605504,0.20835754404171825
c_haz,m1,factor(nfhs5_state)Jharkhand,-0.27100676169780247,0.41266859816604756,-0.6567176734604752,0.5114844226137507,-1.0798372141032557,0.5378236907076508,"-0.27 	(-1.08, 0.54)",-1.0798372141032557,0.5378236907076508
c_haz,m1,factor(nfhs5_state)Madhya Pradesh,-0.4505758040430407,0.3405521198754209,-1.3230744363237796,0.18605474090151658,-1.1180579589988657,0.21690635091278426,"-0.45 	(-1.12, 0.22)",-1.1180579589988657,0.21690635091278426
c_haz,m1,factor(nfhs5_state)Nct Of Delhi,-0.3215291272032218,0.35033946242468395,-0.9177645161008495,0.35892077669992706,-1.0081944735556023,0.3651362191491587,"-0.32 	(-1.01, 0.37)",-1.0081944735556023,0.3651362191491587
c_haz,m1,factor(nfhs5_state)Odisha,-0.7657328763548193,0.3547624271781795,-2.1584384864134156,0.03108533227212122,-1.461067233624051,-0.07039851908558747,"-0.77 	(-1.46, -0.07)",-1.461067233624051,-0.07039851908558747
c_haz,m1,factor(nfhs5_state)Puducherry,-0.2405490206371828,0.5996312758921778,-0.4011615642951168,0.6883703501301937,-1.4158263213858513,0.9347282801114858,"-0.24 	(-1.42, 0.93)",-1.4158263213858513,0.9347282801114858
c_haz,m1,factor(nfhs5_state)Punjab,-0.3500633584419985,0.3316427767044085,-1.0555434432211626,0.29138262786251545,-1.0000832007826392,0.2999564838986422,"-0.35 	(-1.00, 0.30)",-1.0000832007826392,0.2999564838986422
c_haz,m1,factor(nfhs5_state)Rajasthan,-0.9982988204256594,0.34535563813884274,-2.8906399959346114,0.003911623238797118,-1.6751958711777912,-0.3214017696735276,"-1.00 	(-1.68, -0.32)",-1.6751958711777912,-0.3214017696735276
c_haz,m1,factor(nfhs5_state)Tamil Nadu,-0.5808063093218916,0.37267739155411117,-1.5584693960099294,0.11937739449914882,-1.3112539967679495,0.14964137812416634,"-0.58 	(-1.31, 0.15)",-1.3112539967679495,0.14964137812416634
c_haz,m1,factor(nfhs5_state)Uttar Pradesh,-0.514807046084688,0.33236795053706325,-1.5489070027745664,0.12165945286337763,-1.166248229137332,0.136634136967956,"-0.51 	(-1.17, 0.14)",-1.166248229137332,0.136634136967956
c_haz,m1,factor(nfhs5_state)Uttarakhand,0.08407981053409588,0.4686155956687942,0.17942170792267315,0.8576359240429455,-0.8344067569767407,1.0025663780449325,"0.08 	(-0.83, 1.00)",-0.8344067569767407,1.0025663780449325
c_haz,m1,pc1,0.037361688011907895,0.04794571159898741,0.7792498383254146,0.4359813673413315,-0.05661190672210743,0.1313352827459232,"0.04 	(-0.06, 0.13)",-0.05661190672210743,0.1313352827459232
c_haz,m1,factor(c_measurementmonth)2,-0.09116845601226567,0.14391642663324214,-0.6334819321535835,0.5265358911756777,-0.3732446522134203,0.19090774018888892,"-0.09 	(-0.37, 0.19)",-0.3732446522134203,0.19090774018888892
c_haz,m1,factor(c_measurementmonth)3,-0.024185962334862823,0.1491371390088668,-0.1621726318179194,0.8711963537814715,-0.3164947547922417,0.2681228301225161,"-0.02 	(-0.32, 0.27)",-0.3164947547922417,0.2681228301225161
c_haz,m1,factor(c_measurementmonth)4,0.3372493692226124,0.20037581209339583,1.6830842290756098,0.0926107166462465,-0.05548722248044341,0.7299859609256683,"0.34 	(-0.06, 0.73)",-0.05548722248044341,0.7299859609256683
