outcome,model,term,estimate,std.error,statistic,p.value,L,U,RR,lci,uci
c_stunting,m1a,(Intercept),-1.6165085921679285,0.14656747036247386,-11.029108902338049,3.7319720314858368e-28,-1.9037808340783773,-1.3292363502574798,"0.20 	(0.15, 0.26)",0.14900419276377652,0.26467930642835447
c_stunting,m1a,exposure_estimate_centered,0.0530893744542389,0.017825963910433295,2.9782049779179913,0.0029049978529881015,0.018150485189789643,0.08802826371868816,"1.05 	(1.02, 1.09)",1.0183162063676645,1.092018986109454
c_stunting,m1a,exposure_gt20_centered,-0.0040167726591287,0.005697527178673237,-0.7050028079136028,0.48082165613514216,-0.015183925929328244,0.0071503806110708445,"1.00 	(0.98, 1.01)",0.9849307686356088,1.0071760056222965
c_stunting,m1a,m_rural,0.08328149813193514,0.018601513807025766,4.477135516813682,7.632260104345498e-6,0.04682253107016464,0.11974046519370564,"1.09 	(1.05, 1.13)",1.0479360164928082,1.127204264872263
c_stunting,m1a,factor(sdist)37,-0.08490499014766788,0.20447234436147943,-0.41523948098119,0.6779737434762945,-0.48567078509616757,0.3158608048008318,"0.92 	(0.62, 1.37)",0.6152843347472681,1.3714393445666855
c_stunting,m1a,factor(sdist)38,-0.2358579797292777,0.21131198104660867,-1.1161599950986922,0.26437516208484263,-0.6500294625806307,0.17831350312207528,"0.79 	(0.52, 1.20)",0.5220303961718024,1.1951999614257087
c_stunting,m1a,factor(sdist)39,-0.33459405939280396,0.18754169679437063,-1.784104895668446,0.07443092947380632,-0.7021757851097704,0.0329876663241625,"0.72 	(0.50, 1.03)",0.49550601545721557,1.033537791842604
c_stunting,m1a,factor(sdist)40,0.07630234123351241,0.17713261924763912,0.43076391890777843,0.6666474823251496,-0.2708775924918602,0.4234822749588851,"1.08 	(0.76, 1.53)",0.7627098521036593,1.5272706827874696
c_stunting,m1a,factor(sdist)41,-0.14151793340475016,0.17659654318643525,-0.8013629873567109,0.4229368048809823,-0.48764715805016323,0.2046112912406629,"0.87 	(0.61, 1.23)",0.614069504303505,1.2270480079422488
c_stunting,m1a,factor(sdist)42,-0.12073776302371747,0.1946176464872512,-0.6203844574372994,0.5350160398348079,-0.5021883501387299,0.26071282409129487,"0.89 	(0.61, 1.30)",0.605204809500666,1.2978548992514582
c_stunting,m1a,factor(sdist)44,0.23669401035169418,0.18869496839062003,1.2543737248028293,0.20972970955544082,-0.13314812769392104,0.6065361483973094,"1.27 	(0.88, 1.83)",0.8753354210877404,1.8340674457887456
c_stunting,m1a,factor(sdist)45,0.1028027112810969,0.1704966554775655,0.6029602809107537,0.5465460779649345,-0.23137073345493148,0.4369761560171253,"1.11 	(0.79, 1.55)",0.7934452548010275,1.5480191656738087
c_stunting,m1a,factor(sdist)46,-0.16394052416039848,0.2081290911234451,-0.7876867345909007,0.4308949383311187,-0.5718735427623509,0.24399249444155394,"0.85 	(0.56, 1.28)",0.5644668945304581,1.2763347508484353
c_stunting,m1a,factor(sdist)47,0.26486738898549256,0.17091759758180855,1.5496788670851496,0.121243989875925,-0.0701311022748522,0.5998658802458373,"1.30 	(0.93, 1.82)",0.9322715889676525,1.821874434652448
c_stunting,m1a,factor(sdist)48,-0.20652409555187265,0.18725629615353787,-1.1028953353992244,0.2700939039651538,-0.5735464360128069,0.1604982449090616,"0.81 	(0.56, 1.17)",0.5635233910828054,1.174095712494062
c_stunting,m1a,factor(sdist)49,-0.22518625833656145,0.21959420322081813,-1.0254654040667917,0.3051635327230322,-0.655590896649365,0.20521837997624207,"0.80 	(0.52, 1.23)",0.5191352166787639,1.2277931611300528
c_stunting,m1a,factor(sdist)50,-0.07743129080012744,0.20091423274454967,-0.3853947514936717,0.6999515441520519,-0.4712231869794448,0.3163606053791899,"0.93 	(0.62, 1.37)",0.6242382410153772,1.372124962066022
c_stunting,m1a,factor(sdist)51,-0.5500063167416476,0.2464943131275174,-2.2313144257292303,0.025678014023436356,-1.0331351704715817,-0.06687746301171349,"0.58 	(0.36, 0.94)",0.3558894356192073,0.9353098043616197
