term,Stunting,Underweight,Wasting
factor(e_interaction)2,"1.03 (0.89, 1.19)","0.95 (0.79, 1.13)","1.05 (0.83, 1.33)"
factor(e_interaction)3,"1.17 (0.94, 1.45)","1.17 (0.9, 1.51)","1.33 (0.97, 1.83)"
factor(e_interaction)4,"1.05 (0.92, 1.21)","1.19 (1.01, 1.39)","1.25 (1, 1.55)"
factor(e_interaction)5,"0.97 (0.82, 1.14)","1.18 (0.99, 1.39)","1.06 (0.82, 1.38)"
factor(e_interaction)6,"0.99 (0.88, 1.12)","1.05 (0.91, 1.21)","1.01 (0.83, 1.22)"
factor(e_interaction)7,"0.94 (0.79, 1.11)","0.88 (0.71, 1.08)","0.9 (0.66, 1.24)"
factor(e_interaction)8,"0.92 (0.82, 1.03)","0.94 (0.81, 1.08)","0.92 (0.76, 1.1)"
factor(e_interaction)9,"1.01 (0.86, 1.18)","1.02 (0.83, 1.25)","0.95 (0.71, 1.28)"
factor(e_interaction)10,"0.9 (0.82, 0.99)","1.02 (0.92, 1.13)","1.12 (0.98, 1.28)"
factor(e_interaction)11,"0.88 (0.77, 1.01)","0.99 (0.85, 1.14)","0.95 (0.78, 1.16)"
factor(e_interaction)12,"1.18 (1.02, 1.36)","1.12 (0.94, 1.32)","0.89 (0.68, 1.17)"
factor(e_interaction)13,"0.92 (0.77, 1.1)","1 (0.79, 1.25)","0.91 (0.68, 1.24)"
factor(e_interaction)14,"0.94 (0.8, 1.09)","0.88 (0.72, 1.07)","0.81 (0.64, 1.02)"
factor(e_interaction)15,"1.04 (0.86, 1.26)","0.93 (0.74, 1.17)","0.81 (0.63, 1.06)"
factor(e_interaction)16,"1.05 (0.86, 1.29)","1.07 (0.84, 1.37)","0.89 (0.67, 1.19)"
factor(e_interaction)17,"1.14 (0.91, 1.44)","1.08 (0.86, 1.36)","0.88 (0.68, 1.13)"
factor(e_interaction)18,"0.91 (0.71, 1.17)","0.94 (0.73, 1.21)","0.91 (0.72, 1.15)"
factor(e_interaction)19,"1.04 (0.85, 1.28)","1.03 (0.85, 1.25)","1.02 (0.84, 1.23)"
