e1,e2,Stunting E2/E1,Underweight E2/E1,Wasting E2/E1
Table Order 02,Table Order 03,"1.04 (0.97, 1.12)","1.1 (1.01, 1.19)","1.07 (0.94, 1.22)"
Table Order 03,Table Order 04,"0.91 (0.84, 0.99)","0.89 (0.81, 0.97)","0.98 (0.86, 1.13)"
Table Order 04,Table Order 05,"1.01 (0.93, 1.09)","0.98 (0.89, 1.07)","0.92 (0.8, 1.04)"
Table Order 05,Table Order 06,"1.05 (0.97, 1.14)","1.08 (0.99, 1.18)","1.07 (0.93, 1.22)"
Table Order 06,Table Order 07,"1.04 (0.96, 1.13)","0.99 (0.91, 1.09)","1.07 (0.93, 1.23)"
Table Order 07,Table Order 08,"0.96 (0.87, 1.05)","0.99 (0.89, 1.1)","1.03 (0.88, 1.21)"
Table Order 08,Table Order 09,"1.05 (0.93, 1.17)","1.03 (0.91, 1.18)","0.93 (0.76, 1.12)"
Table Order 09,Table Order 10,"1.06 (0.95, 1.19)","1.11 (0.98, 1.25)","1.11 (0.92, 1.34)"
Table Order 11,Table Order 12,"0.92 (0.82, 1.03)","0.81 (0.73, 0.9)","0.93 (0.83, 1.03)"
Table Order 12,Table Order 13,"1.05 (0.92, 1.19)","1.05 (0.93, 1.19)","1.02 (0.89, 1.16)"
Table Order 13,Table Order 14,"0.9 (0.8, 1.02)","0.92 (0.81, 1.04)","0.89 (0.78, 1.02)"
Table Order 14,Table Order 15,"1.03 (0.93, 1.15)","1.02 (0.9, 1.14)","1.06 (0.92, 1.21)"
Table Order 15,Table Order 16,"0.96 (0.87, 1.05)","1.08 (0.97, 1.21)","1.04 (0.9, 1.19)"
Table Order 16,Table Order 17,"1 (0.91, 1.09)","0.94 (0.85, 1.06)","0.99 (0.85, 1.15)"
Table Order 17,Table Order 18,"1.06 (0.96, 1.16)","1.08 (0.97, 1.21)","1.05 (0.9, 1.23)"
Table Order 18,Table Order 19,"0.85 (0.79, 0.92)","0.91 (0.83, 0.99)","0.91 (0.8, 1.03)"
