e1,e2,Stunting E2/E1,Underweight E2/E1,Wasting E2/E1
Table Order 02,Table Order 03,"1.11 (0.95, 1.31)","1 (0.84, 1.2)","0.85 (0.67, 1.08)"
Table Order 03,Table Order 04,"0.91 (0.77, 1.08)","0.92 (0.76, 1.12)","0.96 (0.74, 1.25)"
Table Order 04,Table Order 05,"1.02 (0.87, 1.21)","0.93 (0.77, 1.13)","0.98 (0.77, 1.26)"
Table Order 05,Table Order 06,"1.05 (0.89, 1.24)","1.2 (0.99, 1.45)","1.12 (0.87, 1.44)"
Table Order 06,Table Order 07,"0.98 (0.82, 1.16)","1.12 (0.94, 1.34)","1.06 (0.83, 1.35)"
Table Order 07,Table Order 08,"1.09 (0.9, 1.32)","1.01 (0.83, 1.23)","1.17 (0.9, 1.53)"
Table Order 08,Table Order 09,"1.11 (0.89, 1.38)","0.98 (0.77, 1.25)","1.07 (0.78, 1.45)"
Table Order 09,Table Order 10,"0.88 (0.71, 1.1)","0.81 (0.63, 1.04)","0.79 (0.58, 1.08)"
Table Order 11,Table Order 12,"0.87 (0.68, 1.12)","0.91 (0.72, 1.16)","0.89 (0.72, 1.11)"
Table Order 12,Table Order 13,"1.26 (0.96, 1.65)","1.15 (0.88, 1.5)","0.97 (0.74, 1.26)"
Table Order 13,Table Order 14,"0.92 (0.71, 1.18)","0.99 (0.76, 1.29)","1.01 (0.76, 1.35)"
Table Order 14,Table Order 15,"0.99 (0.8, 1.23)","0.87 (0.67, 1.12)","0.91 (0.69, 1.22)"
Table Order 15,Table Order 16,"0.9 (0.74, 1.1)","0.94 (0.73, 1.21)","0.99 (0.74, 1.33)"
Table Order 16,Table Order 17,"0.99 (0.8, 1.21)","1.13 (0.88, 1.46)","1.13 (0.83, 1.54)"
Table Order 17,Table Order 18,"1.28 (1.04, 1.56)","1.12 (0.88, 1.43)","0.97 (0.71, 1.32)"
Table Order 18,Table Order 19,"0.75 (0.63, 0.88)","0.88 (0.73, 1.07)","1.07 (0.84, 1.37)"
