term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.9 (0.82, 0.98)","0.97 (0.88, 1.07)","1.06 (0.95, 1.18)"
factor(e_interaction)3,"0.81 (0.7, 0.95)","1.04 (0.9, 1.2)","1.13 (0.95, 1.35)"
factor(e_interaction)4,"0.91 (0.82, 1.02)","1.07 (0.96, 1.19)","1.05 (0.93, 1.19)"
factor(e_interaction)5,"1 (0.86, 1.15)","1.1 (0.96, 1.27)","0.95 (0.79, 1.14)"
factor(e_interaction)6,"0.93 (0.83, 1.04)","1.01 (0.89, 1.14)","0.94 (0.81, 1.09)"
factor(e_interaction)7,"0.84 (0.71, 0.98)","0.8 (0.65, 0.98)","0.78 (0.57, 1.05)"
factor(e_interaction)8,"0.86 (0.77, 0.96)","0.89 (0.78, 1.02)","0.85 (0.71, 1.01)"
factor(e_interaction)9,"1 (0.85, 1.17)","1.04 (0.86, 1.26)","0.91 (0.68, 1.23)"
factor(e_interaction)10,"0.84 (0.77, 0.92)","0.98 (0.88, 1.09)","1.04 (0.91, 1.18)"
factor(e_interaction)11,"0.85 (0.77, 0.94)","0.94 (0.83, 1.06)","0.94 (0.81, 1.1)"
factor(e_interaction)12,"1.05 (0.93, 1.19)","1.1 (0.95, 1.27)","0.88 (0.72, 1.07)"
factor(e_interaction)13,"0.93 (0.8, 1.09)","1.04 (0.87, 1.26)","0.86 (0.69, 1.08)"
factor(e_interaction)14,"0.88 (0.76, 1.02)","0.9 (0.76, 1.07)","0.83 (0.69, 1)"
factor(e_interaction)15,"1.04 (0.87, 1.23)","1.05 (0.88, 1.26)","0.84 (0.68, 1.03)"
factor(e_interaction)16,"0.96 (0.79, 1.16)","1.1 (0.88, 1.37)","0.86 (0.67, 1.09)"
factor(e_interaction)17,"0.86 (0.67, 1.09)","1.04 (0.82, 1.32)","0.83 (0.64, 1.08)"
factor(e_interaction)18,"0.76 (0.58, 1)","0.93 (0.72, 1.22)","0.83 (0.64, 1.08)"
factor(e_interaction)19,"1.1 (0.87, 1.37)","1.08 (0.87, 1.35)","0.95 (0.75, 1.2)"
