term2,e_interaction,coefficient,nlxb02_glm_stunting,nlxb02_glm_underweight,nlxb02_glm_wasting,nlxb03_glm_stunting,nlxb03_glm_underweight,nlxb03_glm_wasting
Table Order 02,10,Female,"0.85 (0.76, 0.95)","1.01 (0.89, 1.14)","1.04 (0.89, 1.21)","0.9 (0.86, 0.95)","0.96 (0.91, 1.02)","0.97 (0.89, 1.05)"
Table Order 03,9,Female,"1.07 (0.86, 1.33)","1.19 (0.94, 1.51)","1.04 (0.75, 1.43)","0.99 (0.9, 1.1)","1.08 (0.97, 1.21)","0.98 (0.82, 1.17)"
Table Order 04,8,Female,"0.95 (0.82, 1.09)","1.04 (0.89, 1.22)","0.9 (0.73, 1.11)","0.85 (0.79, 0.91)","0.92 (0.85, 0.99)","0.95 (0.85, 1.06)"
Table Order 05,7,Female,"0.94 (0.76, 1.15)","0.92 (0.73, 1.17)","0.88 (0.65, 1.19)","0.92 (0.83, 1.01)","0.87 (0.78, 0.97)","0.82 (0.7, 0.97)"
Table Order 06,6,Female,"0.94 (0.82, 1.09)","1.1 (0.95, 1.28)","1.12 (0.94, 1.33)","0.93 (0.87, 0.99)","0.96 (0.9, 1.03)","0.89 (0.81, 0.99)"
Table Order 07,5,Female,"1.1 (0.91, 1.32)","1.08 (0.89, 1.31)","0.87 (0.68, 1.1)","1.01 (0.92, 1.11)","1 (0.91, 1.1)","1.03 (0.92, 1.16)"
Table Order 08,4,Female,"0.93 (0.81, 1.07)","1.13 (0.99, 1.29)","1.23 (1.06, 1.42)","0.98 (0.92, 1.05)","1.04 (0.98, 1.11)","0.96 (0.89, 1.04)"
Table Order 09,3,Female,"0.96 (0.79, 1.16)","1.09 (0.9, 1.32)","1.29 (1.05, 1.59)","0.87 (0.79, 0.97)","0.97 (0.88, 1.07)","0.87 (0.76, 0.98)"
Table Order 10,2,Female,"0.91 (0.82, 1.02)","0.94 (0.84, 1.06)","1.1 (0.96, 1.25)","0.93 (0.88, 0.98)","1.02 (0.96, 1.08)","1.03 (0.97, 1.1)"
Table Order 11,19,Female,"1 (0.77, 1.3)","1.08 (0.84, 1.38)","0.88 (0.69, 1.12)","1.25 (1.11, 1.4)","1.16 (1.04, 1.3)","0.91 (0.81, 1.02)"
Table Order 12,18,Female,"0.85 (0.65, 1.1)","1.07 (0.83, 1.38)","0.83 (0.64, 1.08)","0.83 (0.73, 0.95)","0.82 (0.72, 0.93)","0.85 (0.75, 0.97)"
Table Order 13,17,Female,"0.84 (0.63, 1.11)","0.96 (0.72, 1.3)","0.91 (0.68, 1.23)","0.77 (0.66, 0.91)","0.84 (0.72, 0.99)","0.86 (0.73, 1.02)"
Table Order 14,16,Female,"0.85 (0.67, 1.08)","1 (0.78, 1.29)","1.02 (0.79, 1.32)","0.97 (0.87, 1.07)","0.87 (0.78, 0.98)","0.72 (0.63, 0.82)"
Table Order 15,15,Female,"0.9 (0.73, 1.1)","1.08 (0.87, 1.34)","0.92 (0.73, 1.16)","0.98 (0.9, 1.08)","0.9 (0.81, 1)","0.85 (0.76, 0.96)"
Table Order 16,14,Female,"0.83 (0.69, 0.99)","0.8 (0.65, 0.99)","0.83 (0.66, 1.03)","0.95 (0.88, 1.03)","0.88 (0.81, 0.97)","0.85 (0.76, 0.95)"
Table Order 17,13,Female,"0.81 (0.65, 1)","0.96 (0.76, 1.22)","1 (0.77, 1.29)","0.95 (0.87, 1.04)","0.92 (0.83, 1.02)","0.83 (0.72, 0.95)"
Table Order 18,12,Female,"1.01 (0.86, 1.19)","1.06 (0.87, 1.28)","0.95 (0.75, 1.2)","0.93 (0.86, 1.01)","0.94 (0.86, 1.03)","0.93 (0.83, 1.05)"
Table Order 19,11,Female,"0.83 (0.73, 0.95)","0.79 (0.67, 0.93)","0.96 (0.8, 1.14)","0.86 (0.82, 0.92)","0.87 (0.81, 0.93)","0.9 (0.83, 0.99)"
