term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.9 (0.82, 0.99)","0.97 (0.88, 1.06)","1.05 (0.94, 1.16)"
factor(e_interaction)3,"0.83 (0.71, 0.97)","1.04 (0.9, 1.2)","1.11 (0.93, 1.31)"
factor(e_interaction)4,"0.91 (0.81, 1.02)","1.05 (0.94, 1.18)","1.02 (0.9, 1.16)"
factor(e_interaction)5,"1.01 (0.87, 1.17)","1.12 (0.98, 1.3)","0.95 (0.79, 1.14)"
factor(e_interaction)6,"0.92 (0.82, 1.03)","1 (0.88, 1.13)","0.91 (0.79, 1.06)"
factor(e_interaction)7,"0.82 (0.7, 0.96)","0.78 (0.64, 0.95)","0.75 (0.55, 1.02)"
factor(e_interaction)8,"0.85 (0.76, 0.95)","0.89 (0.78, 1.02)","0.82 (0.69, 0.98)"
factor(e_interaction)9,"1 (0.85, 1.17)","1.05 (0.86, 1.28)","0.89 (0.66, 1.2)"
factor(e_interaction)10,"0.84 (0.77, 0.92)","0.97 (0.87, 1.08)","1 (0.88, 1.15)"
factor(e_interaction)11,"0.84 (0.76, 0.94)","0.92 (0.81, 1.04)","0.9 (0.77, 1.05)"
factor(e_interaction)12,"1.04 (0.91, 1.17)","1.08 (0.93, 1.25)","0.84 (0.69, 1.02)"
factor(e_interaction)13,"0.91 (0.78, 1.06)","1.02 (0.85, 1.22)","0.84 (0.67, 1.05)"
factor(e_interaction)14,"0.87 (0.75, 1.01)","0.88 (0.74, 1.04)","0.79 (0.65, 0.95)"
factor(e_interaction)15,"1.01 (0.85, 1.2)","1.03 (0.86, 1.24)","0.81 (0.66, 0.99)"
factor(e_interaction)16,"0.94 (0.78, 1.13)","1.07 (0.86, 1.34)","0.82 (0.64, 1.04)"
factor(e_interaction)17,"0.83 (0.65, 1.05)","1.02 (0.8, 1.28)","0.77 (0.59, 1)"
factor(e_interaction)18,"0.73 (0.56, 0.95)","0.91 (0.7, 1.18)","0.79 (0.6, 1.02)"
factor(e_interaction)19,"1.02 (0.81, 1.28)","1.02 (0.82, 1.27)","0.87 (0.69, 1.09)"
