term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
10,"0.84 (0.77, 0.92)","0.97 (0.87, 1.08)","1 (0.88, 1.15)","0.9 (0.86, 0.93)","0.92 (0.88, 0.96)","0.92 (0.86, 0.98)",01-04-2017 to 22-12-2017,Table Order 02
9,"1 (0.85, 1.17)","1.05 (0.86, 1.28)","0.89 (0.66, 1.2)","0.99 (0.93, 1.05)","1.07 (1, 1.16)","0.96 (0.84, 1.1)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.85 (0.76, 0.95)","0.89 (0.78, 1.02)","0.82 (0.69, 0.98)","0.85 (0.81, 0.89)","0.9 (0.85, 0.95)","0.93 (0.85, 1.01)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.82 (0.7, 0.96)","0.78 (0.64, 0.95)","0.75 (0.55, 1.02)","0.84 (0.79, 0.9)","0.85 (0.79, 0.92)","0.86 (0.77, 0.97)",12-08-2016 to 01-10-2016,Table Order 05
6,"0.92 (0.82, 1.03)","1 (0.88, 1.13)","0.91 (0.79, 1.06)","0.92 (0.88, 0.96)","0.95 (0.9, 0.99)","0.88 (0.82, 0.94)",05-04-2016 to 11-08-2016,Table Order 06
5,"1.01 (0.87, 1.17)","1.12 (0.98, 1.3)","0.95 (0.79, 1.14)","1 (0.94, 1.06)","0.96 (0.9, 1.02)","0.85 (0.78, 0.93)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.91 (0.81, 1.02)","1.05 (0.94, 1.18)","1.02 (0.9, 1.16)","0.96 (0.92, 1.01)","1.02 (0.97, 1.07)","0.93 (0.87, 0.99)",08-10-2015 to 13-02-2016,Table Order 08
3,"0.83 (0.71, 0.97)","1.04 (0.9, 1.2)","1.11 (0.93, 1.31)","0.87 (0.81, 0.93)","0.94 (0.88, 1.01)","0.86 (0.79, 0.95)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.9 (0.82, 0.99)","0.97 (0.88, 1.06)","1.05 (0.94, 1.16)","0.95 (0.91, 0.98)","1.01 (0.98, 1.05)","1 (0.95, 1.05)",19-02-2015 to 17-08-2015,Table Order 10
19,"1.02 (0.81, 1.28)","1.02 (0.82, 1.27)","0.87 (0.69, 1.09)","1.29 (1.16, 1.43)","1.19 (1.05, 1.34)","0.81 (0.73, 0.9)",02-10-2020 to 17-04-2021,Table Order 11
18,"0.73 (0.56, 0.95)","0.91 (0.7, 1.18)","0.79 (0.6, 1.02)","0.94 (0.85, 1.04)","0.94 (0.86, 1.04)","0.8 (0.72, 0.88)",23-06-2020 to 01-10-2020,Table Order 12
17,"0.83 (0.65, 1.05)","1.02 (0.8, 1.28)","0.77 (0.59, 1)","0.92 (0.83, 1.02)","0.98 (0.87, 1.09)","0.85 (0.75, 0.96)",04-04-2020 to 22-06-2020,Table Order 13
16,"0.94 (0.78, 1.13)","1.07 (0.86, 1.34)","0.82 (0.64, 1.04)","1.05 (0.97, 1.13)","0.95 (0.88, 1.03)","0.76 (0.68, 0.84)",26-12-2019 to 03-04-2020,Table Order 14
15,"1.01 (0.85, 1.2)","1.03 (0.86, 1.24)","0.81 (0.66, 0.99)","1.06 (1, 1.14)","1.01 (0.94, 1.09)","0.85 (0.77, 0.93)",07-10-2019 to 25-12-2019,Table Order 15
14,"0.87 (0.75, 1.01)","0.88 (0.74, 1.04)","0.79 (0.65, 0.95)","1 (0.94, 1.06)","0.98 (0.91, 1.05)","0.86 (0.79, 0.94)",29-06-2019 to 06-10-2019,Table Order 16
13,"0.91 (0.78, 1.06)","1.02 (0.85, 1.22)","0.84 (0.67, 1.05)","0.99 (0.93, 1.05)","0.97 (0.9, 1.05)","0.87 (0.78, 0.96)",10-04-2019 to 28-06-2019,Table Order 17
12,"1.04 (0.91, 1.17)","1.08 (0.93, 1.25)","0.84 (0.69, 1.02)","0.98 (0.93, 1.03)","0.98 (0.92, 1.04)","0.9 (0.82, 0.98)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.84 (0.76, 0.94)","0.92 (0.81, 1.04)","0.9 (0.77, 1.05)","0.88 (0.85, 0.92)","0.9 (0.85, 0.94)","0.89 (0.82, 0.95)",04-07-2018 to 30-12-2018,Table Order 19
