term,Stunting,Underweight,Wasting
e1_p1_d,"0.91 (0.84, 0.98)","1.01 (0.92, 1.1)","1.06 (0.94, 1.19)"
e1_p2_d,"0.93 (0.86, 1.01)","0.9 (0.81, 1)","0.86 (0.75, 0.99)"
e1_p3_d,"0.98 (0.91, 1.06)","0.99 (0.91, 1.08)","0.94 (0.84, 1.04)"
e1_p4_d,"0.95 (0.88, 1.03)","1.07 (0.99, 1.16)","1.06 (0.96, 1.16)"
e1_p5_d,"0.9 (0.83, 0.98)","0.96 (0.89, 1.04)","1.08 (0.98, 1.18)"
e2_p1_d,"1.02 (0.85, 1.22)","0.98 (0.82, 1.17)","0.96 (0.81, 1.15)"
e2_p2_d,"0.9 (0.78, 1.04)","1.03 (0.89, 1.2)","0.91 (0.78, 1.06)"
e2_p3_d,"1.01 (0.9, 1.12)","0.98 (0.86, 1.11)","0.91 (0.8, 1.04)"
e2_p4_d,"1.01 (0.93, 1.11)","1.02 (0.92, 1.14)","0.92 (0.82, 1.03)"
e2_p5_d,"0.95 (0.87, 1.03)","0.99 (0.89, 1.09)","0.97 (0.85, 1.1)"
