phase,c_age,variable,estimate,lci,uci,type
1,0,c_haz,-0.7445900002935637,-0.9410562753492662,-0.5481237252378612,Continuous
1,0,c_waz,-0.8415049094955761,-0.9751589766834832,-0.707850842307669,Continuous
1,0,c_whz,-0.6233960816654139,-0.8398398712298172,-0.4069522921010107,Continuous
1,0,c_bmiz,-0.6289881405108682,-0.7928428611473233,-0.4651334198744131,Continuous
1,1,c_haz,-0.8811664708427541,-1.0590788679209195,-0.7032540737645886,Continuous
1,1,c_waz,-1.1892514643550816,-1.311659607622771,-1.0668433210873922,Continuous
1,1,c_whz,-0.5410482155345594,-0.7253441136945757,-0.35675231737454305,Continuous
1,1,c_bmiz,-0.9966350481665529,-1.1373084633717498,-0.8559616329613561,Continuous
1,2,c_haz,-0.6647819551987239,-0.8299106628385681,-0.49965324755887963,Continuous
1,2,c_waz,-1.27946355675408,-1.394895658112242,-1.164031455395918,Continuous
1,2,c_whz,-0.8619122809579843,-1.0127344834343492,-0.7110900784816195,Continuous
1,2,c_bmiz,-1.2358292138942906,-1.3581639746457321,-1.113494453142849,Continuous
1,3,c_haz,-0.6865308087783948,-0.8714944646665734,-0.5015671528902161,Continuous
1,3,c_waz,-1.2421080640739255,-1.3507830243304735,-1.1334331038173775,Continuous
1,3,c_whz,-0.811159824348672,-0.969288821106844,-0.6530308275904999,Continuous
1,3,c_bmiz,-1.123726613859977,-1.2518104565571664,-0.9956427711627878,Continuous
1,4,c_haz,-0.546279598597799,-0.7087597293746224,-0.38379946782097546,Continuous
1,4,c_waz,-1.1863048362088888,-1.2882673248822456,-1.084342347535532,Continuous
1,4,c_whz,-0.9421688561633997,-1.082034489251479,-0.8023032230753205,Continuous
1,4,c_bmiz,-1.1565694212998359,-1.2799943777325364,-1.0331444648671353,Continuous
1,5,c_haz,-0.5829036824968613,-0.7540464550581328,-0.4117609099355898,Continuous
1,5,c_waz,-1.10196087523401,-1.209210069980342,-0.9947116804876779,Continuous
1,5,c_whz,-0.7986437193178911,-0.9621925900335098,-0.6350948486022725,Continuous
1,5,c_bmiz,-0.988972067228384,-1.13933792261208,-0.8386062118446882,Continuous
1,6,c_haz,-0.5796722473581335,-0.7324229784450782,-0.4269215162711888,Continuous
1,6,c_waz,-1.0731559660357008,-1.1744061167391133,-0.9719058153322884,Continuous
1,6,c_whz,-0.7920075348389232,-0.936317340465907,-0.6476977292119394,Continuous
1,6,c_bmiz,-0.9453241779879982,-1.0839643223822533,-0.8066840335937431,Continuous
1,7,c_haz,-0.6510052677322475,-0.8391044321961094,-0.46290610326838566,Continuous
1,7,c_waz,-0.9784308849323198,-1.0897804448099642,-0.8670813250546755,Continuous
1,7,c_whz,-0.6222173112375398,-0.7748266945551094,-0.46960792791997014,Continuous
1,7,c_bmiz,-0.7456286028073783,-0.8950147215221976,-0.596242484092559,Continuous
1,8,c_haz,-0.7478811735727431,-0.9292462003736419,-0.5665161467718443,Continuous
1,8,c_waz,-1.0765924899731383,-1.1900003160554016,-0.963184663890875,Continuous
1,8,c_whz,-0.7337943595777415,-0.8714053571382597,-0.5961833620172233,Continuous
1,8,c_bmiz,-0.8267857601951312,-0.9589929891224147,-0.6945785312678476,Continuous
1,9,c_haz,-0.6925027545659772,-0.8727124753242153,-0.5122930338077392,Continuous
1,9,c_waz,-1.1916254625695426,-1.312054141366867,-1.0711967837722183,Continuous
1,9,c_whz,-0.9877672280914904,-1.1290159816470589,-0.846518474535922,Continuous
1,9,c_bmiz,-1.0535011183321596,-1.2002739975853536,-0.9067282390789657,Continuous
1,10,c_haz,-0.8641823771291793,-1.048453717337133,-0.6799110369212257,Continuous
1,10,c_waz,-1.0512335437110256,-1.167952307456783,-0.9345147799652681,Continuous
1,10,c_whz,-0.7174964548974617,-0.8652230841112447,-0.5697698256836787,Continuous
1,10,c_bmiz,-0.7136798899471284,-0.8690910207153986,-0.5582687591788582,Continuous
1,11,c_haz,-0.9749911602435475,-1.1454694641696823,-0.8045128563174127,Continuous
1,11,c_waz,-1.071598213406428,-1.2050263805423227,-0.9381700462705331,Continuous
1,11,c_whz,-0.7277938732710552,-0.8817930044908306,-0.5737947420512797,Continuous
1,11,c_bmiz,-0.665123048768791,-0.8229959081390609,-0.5072501893985212,Continuous
1,12,c_haz,-1.0916536570112818,-1.2457613545332535,-0.9375459594893101,Continuous
1,12,c_waz,-1.171524993844464,-1.2731817842942537,-1.0698682033946745,Continuous
1,12,c_whz,-0.8162630392302048,-0.9429612681991995,-0.6895648102612102,Continuous
1,12,c_bmiz,-0.7081741605667793,-0.8440085092207245,-0.5723398119128341,Continuous
1,13,c_haz,-1.07169969824442,-1.2348091730644908,-0.9085902234243493,Continuous
1,13,c_waz,-1.1081922948110672,-1.218588678175877,-0.9977959114462573,Continuous
1,13,c_whz,-0.7719050641755772,-0.9008975498330788,-0.6429125785180757,Continuous
1,13,c_bmiz,-0.6277264140313525,-0.7620502659661827,-0.49340256209652233,Continuous
1,14,c_haz,-1.223239708297818,-1.3946396839383923,-1.0518397326572435,Continuous
1,14,c_waz,-1.1902664190038588,-1.3100257097072239,-1.0705071283004937,Continuous
1,14,c_whz,-0.8028544412855478,-0.9396739535903914,-0.6660349289807043,Continuous
1,14,c_bmiz,-0.611589801916492,-0.7578071035275552,-0.46537250030542887,Continuous
1,15,c_haz,-1.3110745595669302,-1.4712680307545343,-1.1508810883793261,Continuous
1,15,c_waz,-1.1346705277206912,-1.2434106537721237,-1.0259304016692588,Continuous
1,15,c_whz,-0.6762268957370904,-0.8071653878616992,-0.5452884036124815,Continuous
1,15,c_bmiz,-0.4396546885963389,-0.5731964929570398,-0.306112884235638,Continuous
1,16,c_haz,-1.3768132418251302,-1.527338178059652,-1.2262883055906084,Continuous
1,16,c_waz,-1.1395546239188652,-1.2444849797280355,-1.0346242681096949,Continuous
1,16,c_whz,-0.6575755571922635,-0.7789140323757614,-0.5362370820087655,Continuous
1,16,c_bmiz,-0.40837371906895,-0.5356217595802918,-0.28112567855760817,Continuous
1,17,c_haz,-1.3237752656828825,-1.4854187886852115,-1.1621317426805535,Continuous
1,17,c_waz,-1.0891971387966246,-1.1962230828912161,-0.9821711947020331,Continuous
1,17,c_whz,-0.6204444377515979,-0.7421034831682425,-0.4987853923349532,Continuous
1,17,c_bmiz,-0.3484834558284063,-0.4786421887552781,-0.2183247229015345,Continuous
1,18,c_haz,-1.421379101177848,-1.589382251007713,-1.2533759513479832,Continuous
1,18,c_waz,-1.2944746766215547,-1.4085966876406457,-1.1803526656024637,Continuous
1,18,c_whz,-0.8358185479473255,-0.9783138245764037,-0.6933232713182472,Continuous
1,18,c_bmiz,-0.4892742989693321,-0.6340200438464341,-0.34452855409223015,Continuous
1,19,c_haz,-1.4349161662542307,-1.621566084712893,-1.2482662477955684,Continuous
1,19,c_waz,-1.296019497103152,-1.4160594533875543,-1.1759795408187497,Continuous
1,19,c_whz,-0.827467555280625,-0.972512344310491,-0.6824227662507589,Continuous
1,19,c_bmiz,-0.5051492399372759,-0.6620643153695981,-0.3482341645049537,Continuous
1,20,c_haz,-1.5353842382616958,-1.7083571264083455,-1.362411350115046,Continuous
1,20,c_waz,-1.2258260360619428,-1.3406580599023739,-1.1109940122215118,Continuous
1,20,c_whz,-0.6473891647054388,-0.7872596852748596,-0.5075186441360181,Continuous
1,20,c_bmiz,-0.3221196877156567,-0.4660103072232308,-0.17822906820808257,Continuous
1,21,c_haz,-1.5330069312454655,-1.7100544302263114,-1.3559594322646196,Continuous
1,21,c_waz,-1.2175496254891578,-1.3323547741799173,-1.1027444767983983,Continuous
1,21,c_whz,-0.6322285277126839,-0.7662146392094666,-0.49824241621590115,Continuous
1,21,c_bmiz,-0.3715147431708923,-0.5185539962482953,-0.22447549009348922,Continuous
1,22,c_haz,-1.719518115436607,-1.8849362801248715,-1.5540999507483426,Continuous
1,22,c_waz,-1.388825751449702,-1.5020859331830878,-1.2755655697163162,Continuous
1,22,c_whz,-0.7261854680003685,-0.861318662041653,-0.5910522739590841,Continuous
1,22,c_bmiz,-0.4041129349990617,-0.5481037610092777,-0.2601221089888457,Continuous
1,23,c_haz,-1.7476773325369963,-1.899671831251506,-1.5956828338224867,Continuous
1,23,c_waz,-1.4607907165738605,-1.5707470820969154,-1.3508343510508056,Continuous
1,23,c_whz,-0.7782433236699924,-0.9035938664820427,-0.6528927808579421,Continuous
1,23,c_bmiz,-0.49427598459032623,-0.6285372218726207,-0.36001474730803174,Continuous
1,24,c_haz,-1.345508843369819,-1.520512761399292,-1.1705049253403461,Continuous
1,24,c_waz,-1.2948828809003505,-1.4042974991961863,-1.1854682626045148,Continuous
1,24,c_whz,-0.8386682981370599,-0.9607973127686785,-0.7165392835054413,Continuous
1,24,c_bmiz,-0.6177586392213459,-0.7530033037708006,-0.48251397467189117,Continuous
1,25,c_haz,-1.3903123080123614,-1.5513713771774134,-1.2292532388473094,Continuous
1,25,c_waz,-1.35116799650145,-1.4501760686234118,-1.2521599243794883,Continuous
1,25,c_whz,-0.8810451405611488,-1.0095339844198779,-0.7525562967024196,Continuous
1,25,c_bmiz,-0.6340752172252961,-0.776291061040622,-0.4918593734099703,Continuous
1,26,c_haz,-1.2211844058322074,-1.3792876763856903,-1.0630811352787246,Continuous
1,26,c_waz,-1.1196284906087928,-1.228877327282126,-1.0103796539354595,Continuous
1,26,c_whz,-0.6737349732319389,-0.8135924331281793,-0.5338775133356984,Continuous
1,26,c_bmiz,-0.46694016627067486,-0.6162164172292641,-0.31766391531208565,Continuous
1,27,c_haz,-1.2760774246576423,-1.4158714683430342,-1.1362833809722503,Continuous
1,27,c_waz,-1.275243011574659,-1.3756274368517964,-1.1748585862975214,Continuous
1,27,c_whz,-0.8391257810139603,-0.9540680214005242,-0.7241835406273964,Continuous
1,27,c_bmiz,-0.6383741811262212,-0.7592341955728041,-0.5175141666796383,Continuous
1,28,c_haz,-1.4743558242147623,-1.6197448852093328,-1.3289667632201918,Continuous
1,28,c_waz,-1.327332248111295,-1.4169737951976393,-1.2376907010249507,Continuous
1,28,c_whz,-0.7568791316846493,-0.8629479990563754,-0.6508102643129231,Continuous
1,28,c_bmiz,-0.5655524364480752,-0.6825378292736763,-0.44856704362247396,Continuous
1,29,c_haz,-1.3864055232132328,-1.516495943219966,-1.2563151032064996,Continuous
1,29,c_waz,-1.2864681730751093,-1.3790984250017073,-1.1938379211485113,Continuous
1,29,c_whz,-0.763564085051567,-0.8800513601912319,-0.6470768099119022,Continuous
1,29,c_bmiz,-0.5924512015622582,-0.7186959470824114,-0.466206456042105,Continuous
1,30,c_haz,-1.5134628315565843,-1.6465392465105024,-1.3803864166026663,Continuous
1,30,c_waz,-1.3578950808236518,-1.4436623870718617,-1.272127774575442,Continuous
1,30,c_whz,-0.7550101310701346,-0.8788786026010778,-0.6311416595391914,Continuous
1,30,c_bmiz,-0.5465935982575323,-0.6696231539744117,-0.4235640425406529,Continuous
1,31,c_haz,-1.4451708416666285,-1.5922323233523281,-1.2981093599809288,Continuous
1,31,c_waz,-1.3533302091262085,-1.4656870566281315,-1.2409733616242855,Continuous
1,31,c_whz,-0.7955916687718403,-0.9289214762531568,-0.6622618612905238,Continuous
1,31,c_bmiz,-0.6132764267601865,-0.7579712122329593,-0.46858164128741364,Continuous
1,32,c_haz,-1.4978858579005698,-1.641202031714868,-1.3545696840862718,Continuous
1,32,c_waz,-1.305931650965031,-1.4192698243174764,-1.1925934776125855,Continuous
1,32,c_whz,-0.6777562360724227,-0.8152389072292744,-0.5402735649155711,Continuous
1,32,c_bmiz,-0.49618921632609364,-0.6450701141292332,-0.3473083185229541,Continuous
1,33,c_haz,-1.63286529154032,-1.7923052984977856,-1.4734252845828542,Continuous
1,33,c_waz,-1.37395533662288,-1.493365729471471,-1.254544943774289,Continuous
1,33,c_whz,-0.665622685448038,-0.7910657430542226,-0.5401796278418535,Continuous
1,33,c_bmiz,-0.4384795920882364,-0.5674927693332179,-0.30946641484325493,Continuous
1,34,c_haz,-1.7788591001661191,-1.9292701243780181,-1.6284480759542201,Continuous
1,34,c_waz,-1.51718880665289,-1.6304755140997844,-1.4039020992059956,Continuous
1,34,c_whz,-0.7399896760323886,-0.8684287809610505,-0.6115505711037268,Continuous
1,34,c_bmiz,-0.508908339910763,-0.6451494899219657,-0.37266718989956027,Continuous
1,35,c_haz,-1.736379384756586,-1.8916408678841101,-1.581117901629062,Continuous
1,35,c_waz,-1.5057657184910316,-1.61552917432703,-1.3960022626550332,Continuous
1,35,c_whz,-0.7697329324482243,-0.8929371655747257,-0.6465286993217229,Continuous
1,35,c_bmiz,-0.5196714606740404,-0.6501166018658777,-0.38922631948220293,Continuous
1,36,c_haz,-1.586344698568405,-1.7221239681401233,-1.450565428996687,Continuous
1,36,c_waz,-1.3695301445834727,-1.4766909397404788,-1.2623693494264665,Continuous
1,36,c_whz,-0.6852772112697578,-0.7936724251790083,-0.5768819973605074,Continuous
1,36,c_bmiz,-0.4928262293552054,-0.6028486508796367,-0.38280380783077417,Continuous
1,37,c_haz,-1.4222215466650605,-1.5663329758805389,-1.2781101174495821,Continuous
1,37,c_waz,-1.3240396413427906,-1.4314260696919812,-1.2166532129936,Continuous
1,37,c_whz,-0.7528396607606973,-0.8746507037416406,-0.631028617779754,Continuous
1,37,c_bmiz,-0.550128868422734,-0.670324388708198,-0.4299333481372701,Continuous
1,38,c_haz,-1.4289707007427923,-1.5545214169197437,-1.303419984565841,Continuous
1,38,c_waz,-1.298633536620129,-1.3933031338135389,-1.203963939426719,Continuous
1,38,c_whz,-0.7079160371328277,-0.8212886237487338,-0.5945434505169216,Continuous
1,38,c_bmiz,-0.5593842442384898,-0.6742656745942658,-0.44450281388271373,Continuous
1,39,c_haz,-1.4619448637004244,-1.5887544163534968,-1.335135311047352,Continuous
1,39,c_waz,-1.3026764656054488,-1.4000938833451562,-1.2052590478657415,Continuous
1,39,c_whz,-0.6785694034474266,-0.7970228571258908,-0.5601159497689623,Continuous
1,39,c_bmiz,-0.5099462281368181,-0.6315898639794233,-0.3883025922942129,Continuous
1,40,c_haz,-1.4210793687192587,-1.5863263251325628,-1.2558324123059545,Continuous
1,40,c_waz,-1.260804403154811,-1.3618214743820694,-1.1597873319275525,Continuous
1,40,c_whz,-0.6501580899452901,-0.7714534313402969,-0.5288627485502834,Continuous
1,40,c_bmiz,-0.4814275576097438,-0.6103998873583258,-0.3524552278611618,Continuous
1,41,c_haz,-1.5384671623847532,-1.6543780366203593,-1.4225562881491471,Continuous
1,41,c_waz,-1.371682328247806,-1.464778009626407,-1.2785866468692049,Continuous
1,41,c_whz,-0.7053997618639137,-0.8138225909677026,-0.5969769327601249,Continuous
1,41,c_bmiz,-0.5291678780178738,-0.6381822570587159,-0.4201534989770317,Continuous
1,42,c_haz,-1.562460886547986,-1.6738371358865538,-1.4510846372094184,Continuous
1,42,c_waz,-1.4213617110065255,-1.5106971575704131,-1.332026264442638,Continuous
1,42,c_whz,-0.7580982116790718,-0.8646414126029105,-0.651555010755233,Continuous
