variable,group,Urban_Excluded,Urban_Included,Rural_Excluded,Rural_Included,Total_Excluded,Total_Included
c_haz,NA,"-1.1 (-1.2, -1.1)","-1.3 (-1.3, -1.3)","-1.5 (-1.6, -1.5)","-1.6 (-1.7, -1.6)","-1.4 (-1.4, -1.4)","-1.5 (-1.6, -1.5)"
c_waz,NA,"-1.3 (-1.4, -1.3)","-1.4 (-1.4, -1.3)","-1.6 (-1.6, -1.6)","-1.7 (-1.7, -1.7)","-1.5 (-1.6, -1.5)","-1.6 (-1.6, -1.6)"
c_whz,NA,"-1 (-1, -0.9)","-0.9 (-0.9, -0.9)","-1.1 (-1.1, -1)","-1 (-1.1, -1)","-1 (-1.1, -1)","-1 (-1, -1)"
c_bmiz,NA,"-0.9 (-0.9, -0.8)","-0.8 (-0.8, -0.8)","-0.9 (-0.9, -0.9)","-0.9 (-0.9, -0.9)","-0.9 (-0.9, -0.9)","-0.9 (-0.9, -0.9)"
m_age,NA,"26.9 (26.7, 27.1)","27.4 (27.3, 27.5)","26.3 (26.2, 26.4)","27 (27, 27.1)","26.5 (26.4, 26.5)","27.1 (27.1, 27.1)"
m_height,NA,"152.3 (152.1, 152.5)","152.3 (152.2, 152.5)","151.2 (151.1, 151.3)","151.6 (151.5, 151.6)","151.5 (151.4, 151.6)","151.8 (151.7, 151.9)"
m_bmi,NA,"22.7 (22.6, 22.9)","22.7 (22.6, 22.8)","20.6 (20.5, 20.6)","20.6 (20.6, 20.7)","21.2 (21.1, 21.3)","21.2 (21.2, 21.2)"
m_eduyr,NA,"8.8 (8.6, 9)","8.6 (8.4, 8.7)","5.7 (5.7, 5.8)","5.4 (5.3, 5.4)","6.6 (6.6, 6.7)","6.2 (6.2, 6.3)"
c_stunting,NA,"29.1 (27.9, 30.3)","32.9 (32, 33.8)","40.1 (39.5, 40.6)","42.3 (41.8, 42.7)","36.9 (36.4, 37.5)","39.7 (39.3, 40.1)"
c_underweight,NA,"28.6 (27.3, 29.8)","29.8 (29, 30.6)","37.6 (37, 38.2)","38.8 (38.4, 39.2)","35 (34.5, 35.6)","36.4 (36, 36.8)"
