term,c_stunting_RR,c_stunting_p,c_underweight_RR,c_underweight_p,c_wasting_RR,c_wasting_p
Average depth,"1.04 	(0.97, 1.11)",0.297,"1.03 	(0.97, 1.10)",0.36,"1.06 	(0.98, 1.14)",0.141
Duration,"1.00 	(0.98, 1.01)",0.589,"1.00 	(0.99, 1.01)",0.932,"0.98 	(0.95, 1.01)",0.202
LRT for Interaction,NA,"7.8, p = 0.108",NA,"2.5, p = 0.346",NA,"1.4, p = 0.502"
Phase 2 for 36-59,"0.91 	(0.80, 1.04)",,"0.94 	(0.81, 1.09)",,"0.92 	(0.75, 1.14)",
Phase 2 for 00-24,"0.98 	(0.86, 1.12)",,"0.99 	(0.85, 1.15)",,"1.00 	(0.81, 1.22)",
Phase 2 36-59 vs 00-24,"1.08 	(0.98, 1.19)",0.141,"1.05 	(0.94, 1.17)",0.358,"1.08 	(0.92, 1.27)",0.346
Average depth in 36-59,"0.97 	(0.82, 1.14)",,"1.08 	(0.87, 1.34)",,"1.03 	(0.79, 1.34)",
Average depth in 00-24,"1.02 	(0.97, 1.08)",,"1.05 	(0.98, 1.12)",,"1.05 	(0.98, 1.12)",
Average depth 36-59 vs 00-24,"1.06 	(0.89, 1.26)",0.546,"0.97 	(0.81, 1.17)",0.774,"1.02 	(0.78, 1.32)",0.909
Phase 2,"0.68 	(0.23, 2.03)",0.502,"0.58 	(0.19, 1.79)",0.346,"2.39 	(0.75, 7.63)",0.141
Average depth in Gestation,"0.99 	(0.95, 1.04)",0.729,"1.01 	(0.97, 1.06)",0.608,"1.02 	(0.96, 1.08)",0.524
Average depth in 00-06,"1.02 	(0.98, 1.06)",0.346,"1.01 	(0.97, 1.05)",0.646,"1.01 	(0.97, 1.06)",0.589
Average depth in 07-24,"1.02 	(0.99, 1.06)",0.206,"1.01 	(0.97, 1.05)",0.589,"1.01 	(0.96, 1.07)",0.72
