term,c_stunting_RR,c_stunting_p,c_underweight_RR,c_underweight_p,c_wasting_RR,c_wasting_p
Average depth,"1.03 	(0.98, 1.08)",0.322,"1.05 	(0.99, 1.10)",0.085,"1.05 	(1.00, 1.10)",0.071
Duration,"1.00 	(0.98, 1.01)",0.566,"1.00 	(0.99, 1.01)",0.846,"0.97 	(0.95, 0.99)",0.004
LRT for Interaction,NA,"16.1, p = 0",NA,"3.6, p = 0.224",NA,"1.1, p = 0.548"
Phase 2 for 36-59,"0.91 	(0.82, 1.02)",,"0.97 	(0.87, 1.09)",,"0.86 	(0.73, 1.01)",
Phase 2 for 00-24,"0.96 	(0.86, 1.07)",,"1.04 	(0.93, 1.17)",,"0.89 	(0.76, 1.05)",
Phase 2 36-59 vs 00-24,"1.05 	(0.99, 1.12)",0.114,"1.07 	(1.00, 1.16)",0.066,"1.04 	(0.92, 1.17)",0.558
Average depth in 36-59,"1.01 	(0.88, 1.16)",,"1.07 	(0.89, 1.29)",,"1.11 	(0.91, 1.34)",
Average depth in 00-24,"1.03 	(0.97, 1.08)",,"1.06 	(0.99, 1.13)",,"1.05 	(1.00, 1.11)",
Average depth 36-59 vs 00-24,"1.02 	(0.90, 1.15)",0.774,"0.99 	(0.87, 1.12)",0.846,"0.95 	(0.78, 1.17)",0.65
Phase 2,"0.47 	(0.20, 1.10)",0.081,"0.73 	(0.28, 1.89)",0.531,"2.46 	(1.25, 4.86)",0.009
Average depth in Gestation,"0.99 	(0.96, 1.03)",0.774,"1.02 	(0.97, 1.07)",0.43,"1.02 	(0.98, 1.07)",0.299
Average depth in 00-06,"1.01 	(0.98, 1.04)",0.531,"1.01 	(0.98, 1.04)",0.65,"1.01 	(0.97, 1.05)",0.65
Average depth in 07-24,"1.02 	(1.00, 1.04)",0.079,"1.02 	(0.99, 1.05)",0.322,"0.99 	(0.96, 1.03)",0.774
