phase,c_age,variable,estimate,lci,uci,type
1,0,c_stunting,27.20501396137359,22.39614155201634,32.013886370730845,Proportion
1,0,c_underweight,17.93847769635747,13.69854582044973,22.178409572265213,Proportion
1,0,c_wasting,26.921206643455964,22.18006569778181,31.662347589130114,Proportion
1,0,c_overweight,9.148164354806397,6.1909588024421245,12.105369907170669,Proportion
1,1,c_stunting,27.782733071865202,23.6597747794749,31.9056913642555,Proportion
1,1,c_underweight,25.49241529804104,21.462940831049142,29.521889765032938,Proportion
1,1,c_wasting,25.614912752886514,21.77395640899804,29.45586909677499,Proportion
1,1,c_overweight,13.151928855915324,10.206218051906376,16.097639659924273,Proportion
1,2,c_stunting,24.26259182780181,20.725126444780823,27.8000572108228,Proportion
1,2,c_underweight,27.754790239030886,24.103460491194532,31.406119986867235,Proportion
1,2,c_wasting,27.210014454907522,23.711078376598948,30.708950533216097,Proportion
1,2,c_overweight,8.561538460198543,6.292030200625992,10.831046719771093,Proportion
1,3,c_stunting,23.62845876917083,19.919366320305702,27.337551218035962,Proportion
1,3,c_underweight,27.20275254483886,23.223393376106813,31.182111713570904,Proportion
1,3,c_wasting,24.106919235584964,20.233334376125576,27.98050409504435,Proportion
1,3,c_overweight,6.163785266033958,4.27472937875214,8.052841153315777,Proportion
1,4,c_stunting,20.54009237764694,17.380679879173975,23.699504876119903,Proportion
1,4,c_underweight,26.184354816810163,22.825254028330104,29.54345560529022,Proportion
1,4,c_wasting,27.699981185025123,24.054834486364026,31.345127883686217,Proportion
1,4,c_overweight,5.477588637753184,3.6481773467357557,7.3069999287706136,Proportion
1,5,c_stunting,22.119592013324993,18.64229632930756,25.59688769734243,Proportion
1,5,c_underweight,21.317717671530286,17.938377852920397,24.697057490140175,Proportion
1,5,c_wasting,23.99422565060622,20.46298598965232,27.525465311560122,Proportion
1,5,c_overweight,8.565372867692414,6.1027463013621706,11.027999434022657,Proportion
1,6,c_stunting,19.785820612044173,16.648157377972655,22.923483846115687,Proportion
1,6,c_underweight,19.59959152057345,16.449966723403094,22.74921631774381,Proportion
1,6,c_wasting,24.017763854561714,20.58337547108647,27.452152238036952,Proportion
1,6,c_overweight,6.052413094097645,4.183595010321211,7.9212311778740805,Proportion
1,7,c_stunting,24.748105961917474,20.944646052843535,28.551565870991414,Proportion
1,7,c_underweight,18.42239124841942,15.125000348346374,21.719782148492467,Proportion
1,7,c_wasting,18.512962788410903,15.042671134482818,21.983254442338986,Proportion
1,7,c_overweight,5.819244455050248,3.7556154840079015,7.882873426092593,Proportion
1,8,c_stunting,24.380849201143086,20.41745897334222,28.344239428943947,Proportion
1,8,c_underweight,21.480255130600934,17.758025667285892,25.202484593915976,Proportion
1,8,c_wasting,17.568241854105846,14.172516996418,20.96396671179369,Proportion
1,8,c_overweight,4.591609885483602,2.8012305339647856,6.3819892370024185,Proportion
1,9,c_stunting,22.831237409291326,19.11292095077722,26.549553867805432,Proportion
1,9,c_underweight,25.943230896239257,22.072023164131675,29.81443862834684,Proportion
1,9,c_wasting,26.44835633409814,22.530990754357717,30.365721913838563,Proportion
1,9,c_overweight,3.9601623146721563,2.1719916603788305,5.748332968965482,Proportion
1,10,c_stunting,27.168839448348276,22.89507752107533,31.44260137562122,Proportion
1,10,c_underweight,19.740906171712496,16.027281486574665,23.45453085685033,Proportion
1,10,c_wasting,18.34264015421187,14.873614332529044,21.811665975894694,Proportion
1,10,c_overweight,4.107924500416414,2.388052165664081,5.827796835168746,Proportion
1,11,c_stunting,26.60746966366665,22.667005072187106,30.547934255146192,Proportion
