term,Stunting,Underweight,Wasting
e1_p1_d,"0.91 (0.84, 0.99)","1.01 (0.92, 1.1)","1.04 (0.92, 1.18)"
e1_p2_d,"0.93 (0.86, 1.01)","0.9 (0.81, 1)","0.85 (0.74, 0.98)"
e1_p3_d,"0.98 (0.9, 1.06)","0.99 (0.91, 1.08)","0.93 (0.84, 1.04)"
e1_p4_d,"0.96 (0.89, 1.04)","1.08 (0.99, 1.17)","1.05 (0.96, 1.15)"
e1_p5_d,"0.91 (0.84, 0.99)","0.97 (0.89, 1.05)","1.07 (0.98, 1.17)"
e2_p1_d,"0.97 (0.81, 1.16)","0.95 (0.8, 1.14)","0.92 (0.78, 1.1)"
e2_p2_d,"0.9 (0.78, 1.03)","1.04 (0.89, 1.2)","0.9 (0.77, 1.04)"
e2_p3_d,"1.01 (0.9, 1.12)","0.97 (0.86, 1.1)","0.9 (0.79, 1.03)"
e2_p4_d,"1.01 (0.92, 1.1)","1.02 (0.91, 1.13)","0.91 (0.81, 1.02)"
e2_p5_d,"0.95 (0.87, 1.03)","0.98 (0.88, 1.08)","0.94 (0.83, 1.07)"
