term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
10,"0.89 (0.78, 1.01)","1.02 (0.88, 1.18)","1.11 (0.93, 1.34)","0.88 (0.83, 0.92)","0.88 (0.82, 0.93)","1.03 (0.93, 1.14)",01-04-2017 to 22-12-2017,Table Order 02
9,"0.96 (0.8, 1.17)","0.99 (0.77, 1.26)","0.97 (0.68, 1.38)","0.93 (0.86, 1)","0.94 (0.86, 1.04)","1.13 (0.95, 1.35)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.87 (0.73, 1.04)","0.89 (0.71, 1.11)","0.96 (0.71, 1.3)","0.84 (0.78, 0.91)","0.82 (0.75, 0.9)","1.19 (1, 1.42)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.85 (0.68, 1.07)","0.78 (0.58, 1.03)","0.94 (0.63, 1.41)","0.83 (0.75, 0.92)","0.78 (0.69, 0.88)","1.09 (0.89, 1.34)",12-08-2016 to 01-10-2016,Table Order 05
6,"0.91 (0.73, 1.13)","0.94 (0.73, 1.21)","1.07 (0.76, 1.52)","0.85 (0.78, 0.93)","0.83 (0.74, 0.93)","1.12 (0.92, 1.37)",05-04-2016 to 11-08-2016,Table Order 06
5,"0.88 (0.69, 1.12)","1.07 (0.8, 1.42)","1.13 (0.74, 1.73)","0.9 (0.81, 1)","0.83 (0.73, 0.94)","1.22 (0.96, 1.53)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.94 (0.73, 1.21)","1.01 (0.74, 1.37)","1.28 (0.84, 1.95)","0.89 (0.79, 1.01)","0.8 (0.69, 0.93)","1.27 (0.95, 1.7)",08-10-2015 to 13-02-2016,Table Order 08
3,"0.96 (0.69, 1.34)","0.95 (0.63, 1.42)","1.39 (0.81, 2.38)","0.92 (0.79, 1.07)","0.81 (0.68, 0.96)","1.19 (0.87, 1.63)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.88 (0.65, 1.17)","0.79 (0.55, 1.12)","1.07 (0.65, 1.77)","0.93 (0.81, 1.07)","0.89 (0.76, 1.05)","1.26 (0.95, 1.67)",19-02-2015 to 17-08-2015,Table Order 10
19,"1.02 (0.79, 1.31)","0.96 (0.74, 1.24)","1.13 (0.87, 1.48)","0.98 (0.87, 1.1)","1.13 (1, 1.26)","1.03 (0.91, 1.18)",02-10-2020 to 17-04-2021,Table Order 11
18,"0.96 (0.72, 1.28)","1.01 (0.75, 1.34)","1.07 (0.8, 1.43)","0.99 (0.89, 1.11)","1.05 (0.94, 1.17)","0.96 (0.85, 1.1)",23-06-2020 to 01-10-2020,Table Order 12
17,"1.16 (0.88, 1.52)","1.22 (0.93, 1.62)","1.11 (0.82, 1.52)","1.09 (0.96, 1.23)","1.18 (1.04, 1.34)","0.99 (0.85, 1.15)",04-04-2020 to 22-06-2020,Table Order 13
16,"1.16 (0.91, 1.48)","1.15 (0.86, 1.53)","1.04 (0.75, 1.44)","1.06 (0.96, 1.18)","1.07 (0.95, 1.2)","0.87 (0.74, 1.01)",26-12-2019 to 03-04-2020,Table Order 14
15,"1.2 (0.95, 1.52)","1.04 (0.8, 1.35)","0.86 (0.62, 1.18)","1.12 (1.02, 1.22)","1.08 (0.97, 1.21)","0.92 (0.79, 1.07)",07-10-2019 to 25-12-2019,Table Order 15
14,"1 (0.83, 1.21)","0.99 (0.78, 1.27)","0.82 (0.6, 1.12)","1.06 (0.98, 1.15)","1.17 (1.06, 1.29)","0.93 (0.8, 1.08)",29-06-2019 to 06-10-2019,Table Order 16
13,"0.99 (0.8, 1.22)","1.14 (0.87, 1.49)","0.93 (0.65, 1.32)","1.08 (0.99, 1.17)","1.09 (0.97, 1.23)","0.91 (0.76, 1.09)",10-04-2019 to 28-06-2019,Table Order 17
12,"1.29 (1.08, 1.55)","1.34 (1.08, 1.66)","0.92 (0.67, 1.27)","1.14 (1.06, 1.24)","1.14 (1.03, 1.26)","0.92 (0.79, 1.07)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.96 (0.8, 1.15)","1.14 (0.94, 1.39)","0.94 (0.74, 1.21)","0.91 (0.85, 0.97)","0.98 (0.9, 1.06)","0.86 (0.76, 0.98)",04-07-2018 to 30-12-2018,Table Order 19
