term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
10,"0.84 (0.77, 0.92)","0.98 (0.88, 1.09)","1.04 (0.91, 1.18)","0.9 (0.87, 0.93)","0.92 (0.88, 0.97)","0.93 (0.87, 0.99)",01-04-2017 to 22-12-2017,Table Order 02
9,"1 (0.85, 1.17)","1.04 (0.86, 1.26)","0.91 (0.68, 1.23)","0.99 (0.93, 1.06)","1.08 (1, 1.16)","0.97 (0.85, 1.1)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.86 (0.77, 0.96)","0.89 (0.78, 1.02)","0.85 (0.71, 1.01)","0.85 (0.81, 0.89)","0.9 (0.85, 0.95)","0.93 (0.86, 1.02)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.84 (0.71, 0.98)","0.8 (0.65, 0.98)","0.78 (0.57, 1.05)","0.84 (0.79, 0.9)","0.85 (0.79, 0.92)","0.87 (0.77, 0.98)",12-08-2016 to 01-10-2016,Table Order 05
6,"0.93 (0.83, 1.04)","1.01 (0.89, 1.14)","0.94 (0.81, 1.09)","0.92 (0.88, 0.96)","0.95 (0.9, 1)","0.88 (0.82, 0.95)",05-04-2016 to 11-08-2016,Table Order 06
5,"1 (0.86, 1.15)","1.1 (0.96, 1.27)","0.95 (0.79, 1.14)","1 (0.94, 1.06)","0.96 (0.9, 1.03)","0.86 (0.79, 0.94)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.91 (0.82, 1.02)","1.07 (0.96, 1.19)","1.05 (0.93, 1.19)","0.96 (0.91, 1)","1.02 (0.97, 1.07)","0.93 (0.87, 0.99)",08-10-2015 to 13-02-2016,Table Order 08
3,"0.81 (0.7, 0.95)","1.04 (0.9, 1.2)","1.13 (0.95, 1.35)","0.87 (0.81, 0.93)","0.95 (0.89, 1.02)","0.87 (0.8, 0.96)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.9 (0.82, 0.98)","0.97 (0.88, 1.07)","1.06 (0.95, 1.18)","0.94 (0.91, 0.98)","1.02 (0.98, 1.06)","1 (0.96, 1.05)",19-02-2015 to 17-08-2015,Table Order 10
19,"1.1 (0.87, 1.37)","1.08 (0.87, 1.35)","0.95 (0.75, 1.2)","1.33 (1.2, 1.47)","1.2 (1.07, 1.35)","0.85 (0.76, 0.94)",02-10-2020 to 17-04-2021,Table Order 11
18,"0.76 (0.58, 1)","0.93 (0.72, 1.22)","0.83 (0.64, 1.08)","0.96 (0.87, 1.06)","0.95 (0.86, 1.04)","0.82 (0.73, 0.91)",23-06-2020 to 01-10-2020,Table Order 12
17,"0.86 (0.67, 1.09)","1.04 (0.82, 1.32)","0.83 (0.64, 1.08)","0.95 (0.85, 1.05)","0.98 (0.88, 1.1)","0.86 (0.76, 0.98)",04-04-2020 to 22-06-2020,Table Order 13
16,"0.96 (0.79, 1.16)","1.1 (0.88, 1.37)","0.86 (0.67, 1.09)","1.06 (0.98, 1.14)","0.95 (0.87, 1.03)","0.77 (0.69, 0.85)",26-12-2019 to 03-04-2020,Table Order 14
15,"1.04 (0.87, 1.23)","1.05 (0.88, 1.26)","0.84 (0.68, 1.03)","1.08 (1.01, 1.15)","1.01 (0.94, 1.09)","0.86 (0.78, 0.94)",07-10-2019 to 25-12-2019,Table Order 15
14,"0.88 (0.76, 1.02)","0.9 (0.76, 1.07)","0.83 (0.69, 1)","1.01 (0.95, 1.07)","0.98 (0.92, 1.05)","0.87 (0.8, 0.95)",29-06-2019 to 06-10-2019,Table Order 16
13,"0.93 (0.8, 1.09)","1.04 (0.87, 1.26)","0.86 (0.69, 1.08)","1 (0.94, 1.06)","0.97 (0.9, 1.05)","0.87 (0.78, 0.96)",10-04-2019 to 28-06-2019,Table Order 17
12,"1.05 (0.93, 1.19)","1.1 (0.95, 1.27)","0.88 (0.72, 1.07)","0.99 (0.94, 1.04)","0.98 (0.92, 1.05)","0.91 (0.83, 0.99)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.85 (0.77, 0.94)","0.94 (0.83, 1.06)","0.94 (0.81, 1.1)","0.89 (0.85, 0.93)","0.9 (0.86, 0.95)","0.89 (0.83, 0.96)",04-07-2018 to 30-12-2018,Table Order 19
