e_interaction,year_categories,m_rural,daterange,n,term2
1,2010-15 P1,0,01-03-2010 to 18-02-2015,47844,Table Order 01
1,2018,0,23-12-2017 to 31-12-2018,5427,Table Order 01
1,2019-20,0,01-01-2019 to 02-03-2020,3845,Table Order 01
10,2010-15 P1,0,01-04-2017 to 31-10-2017,3413,Table Order 02
10,2018,0,01-11-2017 to 22-12-2017,778,Table Order 02
9,2010-15 P1,0,08-02-2017 to 28-02-2017,293,Table Order 03
9,2017,0,01-03-2017 to 31-03-2017,452,Table Order 03
8,2010-15 P1,0,01-01-2017 to 07-02-2017,542,Table Order 04
8,2016,0,02-10-2016 to 31-12-2016,1469,Table Order 04
7,2016,0,12-08-2016 to 01-10-2016,856,Table Order 05
6,2016,0,05-04-2016 to 11-08-2016,2485,Table Order 06
5,2016,0,14-02-2016 to 04-04-2016,1287,Table Order 07
4,2015 P2,0,08-10-2015 to 31-12-2015,2586,Table Order 08
4,2016,0,01-01-2016 to 13-02-2016,1333,Table Order 08
3,2015 P2,0,18-08-2015 to 07-10-2015,1656,Table Order 09
2,2010-15 P1,0,19-02-2015 to 31-03-2015,1544,Table Order 10
2,2015 P2,0,01-04-2015 to 17-08-2015,4690,Table Order 10
1,2010-15 P1,1,02-02-2010 to 18-02-2015,154777,Table Order 01
1,2018,1,23-12-2017 to 31-12-2018,21880,Table Order 01
1,2019-20,1,01-01-2019 to 16-03-2020,16712,Table Order 01
10,2010-15 P1,1,01-04-2017 to 31-10-2017,13088,Table Order 02
10,2018,1,01-11-2017 to 22-12-2017,3114,Table Order 02
9,2010-15 P1,1,08-02-2017 to 28-02-2017,1216,Table Order 03
9,2017,1,01-03-2017 to 31-03-2017,1695,Table Order 03
8,2010-15 P1,1,01-01-2017 to 07-02-2017,2345,Table Order 04
8,2016,1,02-10-2016 to 31-12-2016,5558,Table Order 04
7,2016,1,12-08-2016 to 01-10-2016,3375,Table Order 05
6,2016,1,05-04-2016 to 11-08-2016,9075,Table Order 06
5,2016,1,14-02-2016 to 04-04-2016,4696,Table Order 07
4,2015 P2,1,08-10-2015 to 31-12-2015,9067,Table Order 08
4,2016,1,01-01-2016 to 13-02-2016,4732,Table Order 08
3,2015 P2,1,18-08-2015 to 07-10-2015,5919,Table Order 09
2,2010-15 P1,1,19-02-2015 to 31-03-2015,5439,Table Order 10
2,2015 P2,1,01-04-2015 to 17-08-2015,17025,Table Order 10
