row_category,m_rural,daterange,n
Table Order 01 - 0,0,01-03-2010 to 10-10-2016,53345
Table Order 01 - 1,0,09-07-2014 to 02-03-2020,10831
Table Order 02,0,01-04-2017 to 22-12-2017,4191
Table Order 03,0,08-02-2017 to 31-03-2017,745
Table Order 04,0,02-10-2016 to 07-02-2017,2009
Table Order 05,0,12-08-2016 to 01-10-2016,840
Table Order 06,0,05-04-2016 to 11-08-2016,1989
Table Order 07,0,14-02-2016 to 04-04-2016,801
Table Order 08,0,08-10-2015 to 13-02-2016,1961
Table Order 09,0,18-08-2015 to 07-10-2015,873
Table Order 10,0,19-02-2015 to 17-08-2015,2915
Table Order 01 - 0,1,02-02-2010 to 19-11-2016,171108
Table Order 01 - 1,1,09-07-2014 to 16-03-2020,45039
Table Order 02,1,01-04-2017 to 22-12-2017,16202
Table Order 03,1,08-02-2017 to 31-03-2017,2911
Table Order 04,1,02-10-2016 to 07-02-2017,7875
Table Order 05,1,12-08-2016 to 01-10-2016,3266
Table Order 06,1,05-04-2016 to 11-08-2016,7604
Table Order 07,1,14-02-2016 to 04-04-2016,3058
Table Order 08,1,08-10-2015 to 13-02-2016,7903
Table Order 09,1,18-08-2015 to 07-10-2015,3428
Table Order 10,1,19-02-2015 to 17-08-2015,11319
