term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
6,"0.9 (0.82, 0.99)","0.97 (0.88, 1.08)","0.99 (0.86, 1.13)","0.96 (0.92, 0.99)","0.95 (0.91, 0.99)","0.92 (0.86, 0.98)",10-03-2017 to 22-11-2017,Table Order 02
5,"0.92 (0.84, 1.02)","0.91 (0.81, 1.03)","0.84 (0.71, 0.99)","0.91 (0.87, 0.95)","0.93 (0.89, 0.98)","0.92 (0.85, 1)",11-09-2016 to 01-03-2017,Table Order 03
4,"0.94 (0.86, 1.03)","0.97 (0.88, 1.09)","0.86 (0.75, 0.98)","0.94 (0.91, 0.98)","0.94 (0.9, 0.99)","0.89 (0.84, 0.95)",15-03-2016 to 01-09-2016,Table Order 04
3,"0.97 (0.88, 1.06)","1.05 (0.95, 1.16)","0.99 (0.89, 1.11)","0.98 (0.94, 1.03)","1.01 (0.96, 1.05)","0.93 (0.87, 0.99)",17-09-2015 to 05-03-2016,Table Order 05
2,"0.92 (0.83, 1.01)","0.91 (0.82, 1.01)","1.03 (0.92, 1.15)","0.99 (0.95, 1.03)","1.03 (0.99, 1.08)","0.98 (0.93, 1.03)",21-03-2015 to 07-09-2015,Table Order 06
15,"0.96 (0.78, 1.18)","0.98 (0.8, 1.2)","0.85 (0.69, 1.05)","1.19 (1.08, 1.3)","1.16 (1.04, 1.28)","0.88 (0.8, 0.97)",02-09-2020 to 17-04-2021,Table Order 07
14,"0.85 (0.6, 1.21)","0.85 (0.59, 1.21)","0.8 (0.57, 1.12)","1.05 (0.91, 1.2)","0.93 (0.81, 1.06)","0.8 (0.69, 0.92)",23-07-2020 to 01-09-2020,Table Order 08
13,"1.01 (0.82, 1.24)","1.01 (0.81, 1.25)","0.76 (0.6, 0.96)","1.12 (1.03, 1.22)","1.01 (0.92, 1.09)","0.87 (0.79, 0.96)",05-03-2020 to 22-07-2020,Table Order 09
12,"0.96 (0.73, 1.27)","1.03 (0.73, 1.45)","0.9 (0.61, 1.32)","1.08 (0.96, 1.21)","0.9 (0.79, 1.04)","0.73 (0.62, 0.85)",25-01-2020 to 04-03-2020,Table Order 10
11,"0.96 (0.84, 1.1)","0.97 (0.83, 1.13)","0.8 (0.67, 0.95)","1.08 (1.03, 1.14)","1.03 (0.96, 1.09)","0.86 (0.8, 0.93)",07-09-2019 to 24-01-2020,Table Order 11
10,"0.93 (0.76, 1.14)","0.92 (0.72, 1.16)","0.73 (0.57, 0.94)","1.07 (0.99, 1.15)","1.02 (0.93, 1.12)","0.91 (0.81, 1.02)",29-07-2019 to 06-09-2019,Table Order 12
9,"1.06 (0.94, 1.2)","0.98 (0.84, 1.13)","0.75 (0.63, 0.9)","1.05 (1, 1.1)","0.97 (0.91, 1.02)","0.87 (0.8, 0.94)",11-03-2019 to 28-07-2019,Table Order 13
8,"1.1 (0.93, 1.29)","1.02 (0.82, 1.26)","0.83 (0.63, 1.11)","1.06 (0.98, 1.14)","0.97 (0.89, 1.07)","0.82 (0.72, 0.94)",30-01-2019 to 10-03-2019,Table Order 14
7,"0.88 (0.8, 0.98)","0.93 (0.82, 1.06)","0.85 (0.72, 0.99)","0.96 (0.92, 1)","0.96 (0.91, 1.01)","0.89 (0.83, 0.96)",03-08-2018 to 29-01-2019,Table Order 15
