row_category,m_rural,daterange,n
Table Order 01 - 0,0,01-03-2010 to 10-10-2016,32782
Table Order 01 - 1,0,12-01-2015 to 02-03-2020,4157
Table Order 01 - 2,0,06-03-2016 to 02-08-2018,1892
Table Order 02,0,10-03-2017 to 22-11-2017,3109
Table Order 03,0,11-09-2016 to 01-03-2017,2212
Table Order 04,0,15-03-2016 to 01-09-2016,2127
Table Order 05,0,17-09-2015 to 05-03-2016,1205
Table Order 06,0,21-03-2015 to 07-09-2015,923
Table Order 07,0,02-09-2020 to 12-04-2021,954
Table Order 08,0,23-07-2020 to 01-09-2020,273
Table Order 09,0,05-03-2020 to 22-07-2020,818
Table Order 10,0,25-01-2020 to 04-03-2020,231
Table Order 11,0,07-09-2019 to 24-01-2020,1019
Table Order 12,0,29-07-2019 to 06-09-2019,317
Table Order 13,0,11-03-2019 to 28-07-2019,879
Table Order 14,0,30-01-2019 to 10-03-2019,267
Table Order 15,0,03-08-2018 to 29-01-2019,1375
Table Order 01 - 0,1,02-02-2010 to 19-11-2016,97616
Table Order 01 - 1,1,07-01-2015 to 16-03-2020,16490
Table Order 01 - 2,1,06-03-2016 to 02-08-2018,7154
Table Order 02,1,10-03-2017 to 22-11-2017,12087
Table Order 03,1,11-09-2016 to 01-03-2017,8039
Table Order 04,1,15-03-2016 to 01-09-2016,8116
Table Order 05,1,17-09-2015 to 05-03-2016,4158
Table Order 06,1,21-03-2015 to 07-09-2015,3596
Table Order 07,1,02-09-2020 to 17-04-2021,4482
Table Order 08,1,23-07-2020 to 01-09-2020,1211
Table Order 09,1,05-03-2020 to 22-07-2020,3359
Table Order 10,1,25-01-2020 to 04-03-2020,1028
Table Order 11,1,07-09-2019 to 24-01-2020,4114
Table Order 12,1,29-07-2019 to 06-09-2019,1157
Table Order 13,1,11-03-2019 to 28-07-2019,3427
Table Order 14,1,30-01-2019 to 10-03-2019,1022
Table Order 15,1,03-08-2018 to 29-01-2019,5402
