term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
10,"0.89 (0.78, 1.01)","0.96 (0.82, 1.12)","1.16 (0.97, 1.39)","0.91 (0.87, 0.96)","0.92 (0.86, 0.98)","1.06 (0.96, 1.16)",01-04-2017 to 22-12-2017,Table Order 02
9,"1.12 (0.9, 1.39)","1.17 (0.88, 1.56)","1.04 (0.69, 1.57)","0.96 (0.88, 1.06)","1.06 (0.95, 1.19)","1.18 (0.98, 1.42)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.87 (0.58, 1.3)","1.11 (0.66, 1.88)","1.02 (0.6, 1.74)","0.91 (0.81, 1.04)","0.88 (0.75, 1.04)","0.73 (0.55, 0.97)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.05 (0.01, 0.35)","0.46 (0.1, 2.13)","0.68 (0.22, 2.07)","0.58 (0.34, 1)","0.43 (0.24, 0.75)","0.96 (0.73, 1.25)",12-08-2016 to 01-10-2016,Table Order 05
6,"0.77 (0.58, 1.01)","0.79 (0.61, 1.01)","0.91 (0.72, 1.15)","0.67 (0.57, 0.79)","0.79 (0.7, 0.9)","0.79 (0.71, 0.89)",05-04-2016 to 11-08-2016,Table Order 06
5,"0.87 (0.62, 1.22)","0.8 (0.62, 1.02)","0.84 (0.65, 1.08)","0.83 (0.72, 0.96)","0.83 (0.74, 0.93)","0.76 (0.68, 0.86)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.86 (0.72, 1.04)","0.96 (0.82, 1.13)","0.99 (0.85, 1.15)","1.03 (0.95, 1.11)","1.05 (0.98, 1.12)","0.87 (0.8, 0.93)",08-10-2015 to 13-02-2016,Table Order 08
3,"0.76 (0.6, 0.97)","1.01 (0.84, 1.22)","1.09 (0.88, 1.35)","0.94 (0.84, 1.04)","0.98 (0.9, 1.07)","0.81 (0.73, 0.9)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.87 (0.77, 0.98)","0.96 (0.85, 1.09)","1.07 (0.94, 1.21)","0.93 (0.88, 0.98)","0.99 (0.94, 1.04)","0.95 (0.9, 1.01)",19-02-2015 to 17-08-2015,Table Order 10
19,"0.94 (0.74, 1.19)","0.99 (0.78, 1.24)","0.82 (0.64, 1.05)","1.15 (1.04, 1.28)","1.19 (1.05, 1.34)","0.86 (0.76, 0.97)",02-10-2020 to 17-04-2021,Table Order 11
18,"0.87 (0.66, 1.14)","0.95 (0.72, 1.25)","0.75 (0.57, 0.98)","1.07 (0.97, 1.19)","0.98 (0.89, 1.08)","0.83 (0.74, 0.93)",23-06-2020 to 01-10-2020,Table Order 12
17,"1.09 (0.85, 1.4)","1.14 (0.89, 1.47)","0.76 (0.57, 1)","1.13 (1.02, 1.26)","1.05 (0.94, 1.18)","0.86 (0.75, 0.99)",04-04-2020 to 22-06-2020,Table Order 13
16,"1 (0.82, 1.23)","1.11 (0.88, 1.4)","0.77 (0.59, 0.99)","1.11 (1.03, 1.21)","0.99 (0.9, 1.08)","0.77 (0.69, 0.86)",26-12-2019 to 03-04-2020,Table Order 14
15,"0.99 (0.83, 1.19)","1.05 (0.87, 1.27)","0.77 (0.62, 0.96)","1.07 (1, 1.15)","1.05 (0.97, 1.13)","0.88 (0.8, 0.97)",07-10-2019 to 25-12-2019,Table Order 15
14,"0.91 (0.78, 1.06)","0.94 (0.79, 1.13)","0.78 (0.64, 0.95)","1.03 (0.97, 1.09)","1.02 (0.95, 1.09)","0.91 (0.83, 1)",29-06-2019 to 06-10-2019,Table Order 16
13,"1 (0.85, 1.18)","1.07 (0.88, 1.3)","0.81 (0.64, 1.03)","1.02 (0.96, 1.09)","1 (0.92, 1.08)","0.91 (0.82, 1.01)",10-04-2019 to 28-06-2019,Table Order 17
12,"1.13 (0.99, 1.3)","1.12 (0.96, 1.32)","0.79 (0.64, 0.98)","1.05 (0.99, 1.11)","1.02 (0.95, 1.1)","0.92 (0.83, 1.01)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.91 (0.81, 1.03)","1.01 (0.88, 1.16)","0.89 (0.75, 1.07)","0.95 (0.9, 0.99)","0.96 (0.91, 1.02)","0.92 (0.85, 1.01)",04-07-2018 to 30-12-2018,Table Order 19
