term,Urban_HAZ,Urban_WAZ,Urban_WHZ,Rural_HAZ,Rural_WAZ,Rural_WHZ,daterange,term2
10,"0.04 (-0.05, 0.14)","0.03 (-0.04, 0.1)","0 (-0.09, 0.08)","0.1 (0.05, 0.14)","0.05 (0.02, 0.08)","-0.03 (-0.07, 0.01)",01-04-2017 to 22-12-2017,Table Order 02
9,"0.03 (-0.15, 0.21)","0.07 (-0.06, 0.2)","0.07 (-0.08, 0.23)","-0.03 (-0.12, 0.05)","-0.07 (-0.13, -0.01)","-0.08 (-0.16, -0.01)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.1 (-0.01, 0.21)","0.11 (0.02, 0.2)","0.07 (-0.04, 0.17)","0.12 (0.06, 0.17)","0.04 (0, 0.08)","-0.05 (-0.1, 0)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.14 (-0.03, 0.31)","0.16 (0.03, 0.28)","0.1 (-0.05, 0.26)","0.14 (0.07, 0.21)","0.07 (0.02, 0.12)","-0.04 (-0.11, 0.02)",12-08-2016 to 01-10-2016,Table Order 05
6,"0 (-0.1, 0.1)","0.02 (-0.07, 0.1)","0 (-0.1, 0.11)","0.11 (0.06, 0.15)","0.05 (0.02, 0.09)","-0.05 (-0.1, -0.01)",05-04-2016 to 11-08-2016,Table Order 06
5,"0.01 (-0.12, 0.15)","0.05 (-0.06, 0.16)","0.05 (-0.09, 0.19)","0.06 (-0.01, 0.12)","0.02 (-0.03, 0.08)","-0.03 (-0.1, 0.03)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.04 (-0.06, 0.13)","-0.04 (-0.11, 0.04)","-0.08 (-0.18, 0.02)","-0.04 (-0.09, 0.02)","-0.05 (-0.09, -0.01)","-0.01 (-0.06, 0.04)",08-10-2015 to 13-02-2016,Table Order 08
3,"0.12 (-0.03, 0.27)","-0.08 (-0.19, 0.02)","-0.22 (-0.37, -0.08)","-0.01 (-0.08, 0.07)","0 (-0.05, 0.05)","0.01 (-0.05, 0.08)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.11 (0.02, 0.2)","0 (-0.07, 0.06)","-0.13 (-0.21, -0.04)","0 (-0.05, 0.04)","-0.04 (-0.07, -0.01)","-0.08 (-0.12, -0.04)",19-02-2015 to 17-08-2015,Table Order 10
19,"-0.11 (-0.31, 0.09)","-0.06 (-0.19, 0.08)","-0.01 (-0.21, 0.19)","-0.28 (-0.38, -0.18)","-0.2 (-0.27, -0.12)","0 (-0.1, 0.1)",02-10-2020 to 17-04-2021,Table Order 11
18,"-0.05 (-0.26, 0.17)","-0.02 (-0.17, 0.14)","-0.01 (-0.2, 0.19)","-0.12 (-0.22, -0.03)","-0.07 (-0.13, -0.01)","-0.01 (-0.09, 0.08)",23-06-2020 to 01-10-2020,Table Order 12
17,"-0.2 (-0.44, 0.05)","-0.08 (-0.23, 0.07)","0.01 (-0.19, 0.2)","-0.17 (-0.28, -0.05)","-0.08 (-0.15, 0)","-0.01 (-0.11, 0.09)",04-04-2020 to 22-06-2020,Table Order 13
16,"-0.06 (-0.28, 0.16)","-0.02 (-0.17, 0.12)","-0.02 (-0.21, 0.18)","-0.1 (-0.2, -0.01)","0.03 (-0.04, 0.09)","0.07 (-0.01, 0.15)",26-12-2019 to 03-04-2020,Table Order 14
15,"-0.09 (-0.31, 0.13)","0.04 (-0.1, 0.18)","0.1 (-0.06, 0.26)","-0.05 (-0.14, 0.05)","0.04 (-0.02, 0.11)","0.06 (-0.01, 0.14)",07-10-2019 to 25-12-2019,Table Order 15
14,"-0.05 (-0.22, 0.12)","0.06 (-0.07, 0.19)","0.11 (-0.03, 0.25)","-0.01 (-0.09, 0.07)","0.03 (-0.03, 0.09)","0.03 (-0.04, 0.1)",29-06-2019 to 06-10-2019,Table Order 16
13,"0.01 (-0.2, 0.22)","0.01 (-0.14, 0.16)","0.01 (-0.17, 0.19)","-0.09 (-0.19, 0.01)","-0.02 (-0.09, 0.06)","0.04 (-0.04, 0.13)",10-04-2019 to 28-06-2019,Table Order 17
12,"-0.35 (-0.55, -0.15)","-0.08 (-0.24, 0.07)","0.15 (-0.03, 0.33)","-0.18 (-0.26, -0.09)","-0.11 (-0.18, -0.05)","-0.03 (-0.1, 0.04)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.06 (-0.09, 0.2)","0.06 (-0.04, 0.16)","0.03 (-0.09, 0.15)","0.07 (0, 0.13)","0.04 (0, 0.09)","0 (-0.06, 0.05)",04-07-2018 to 30-12-2018,Table Order 19
