term,Urban_Stunting,Urban_Underweight,Urban_Wasting,Rural_Stunting,Rural_Underweight,Rural_Wasting,daterange,term2
10,"0.9 (0.78, 1.04)","1.12 (0.94, 1.32)","1.05 (0.85, 1.29)","0.94 (0.89, 0.99)","0.98 (0.92, 1.05)","0.94 (0.85, 1.04)",01-04-2017 to 22-12-2017,Table Order 02
9,"1.03 (0.83, 1.28)","1.21 (0.9, 1.62)","0.97 (0.62, 1.51)","0.98 (0.9, 1.07)","1.05 (0.94, 1.17)","0.97 (0.8, 1.18)",08-02-2017 to 31-03-2017,Table Order 03
8,"0.91 (0.78, 1.07)","1.09 (0.91, 1.32)","0.9 (0.7, 1.16)","0.88 (0.82, 0.94)","0.93 (0.86, 1.01)","0.93 (0.82, 1.06)",02-10-2016 to 07-02-2017,Table Order 04
7,"0.98 (0.77, 1.25)","1.01 (0.75, 1.36)","0.92 (0.58, 1.46)","0.95 (0.87, 1.04)","0.89 (0.79, 0.99)","0.8 (0.67, 0.95)",12-08-2016 to 01-10-2016,Table Order 05
6,"0.93 (0.8, 1.1)","1.14 (0.95, 1.36)","1.05 (0.85, 1.3)","0.93 (0.87, 0.99)","0.97 (0.9, 1.04)","0.85 (0.76, 0.95)",05-04-2016 to 11-08-2016,Table Order 06
5,"0.98 (0.81, 1.2)","1.09 (0.88, 1.36)","0.83 (0.63, 1.09)","0.98 (0.9, 1.07)","1 (0.91, 1.1)","0.98 (0.87, 1.11)",14-02-2016 to 04-04-2016,Table Order 07
4,"0.94 (0.8, 1.1)","1.21 (1.03, 1.41)","1.22 (1.02, 1.47)","1.06 (0.99, 1.14)","1.1 (1.03, 1.18)","0.93 (0.85, 1.01)",08-10-2015 to 13-02-2016,Table Order 08
3,"1.15 (0.93, 1.42)","1.23 (0.99, 1.54)","1.32 (1.03, 1.69)","1.01 (0.91, 1.12)","1.05 (0.95, 1.16)","0.83 (0.73, 0.95)",18-08-2015 to 07-10-2015,Table Order 09
2,"0.98 (0.85, 1.12)","1.03 (0.88, 1.2)","1.07 (0.91, 1.27)","1.01 (0.96, 1.07)","1.09 (1.03, 1.15)","0.98 (0.91, 1.06)",19-02-2015 to 17-08-2015,Table Order 10
19,"0.9 (0.64, 1.26)","1.22 (0.87, 1.7)","0.83 (0.59, 1.17)","1.25 (1.05, 1.49)","1.28 (1.09, 1.5)","0.86 (0.74, 1)",02-10-2020 to 16-04-2021,Table Order 11
18,"1 (0.69, 1.45)","1.32 (0.93, 1.88)","0.85 (0.58, 1.25)","1.04 (0.89, 1.21)","0.93 (0.81, 1.08)","0.8 (0.69, 0.94)",23-06-2020 to 01-10-2020,Table Order 12
17,"1.24 (0.86, 1.78)","1.2 (0.83, 1.74)","0.9 (0.62, 1.33)","1.07 (0.9, 1.27)","1 (0.84, 1.2)","0.81 (0.67, 0.99)",04-04-2020 to 22-06-2020,Table Order 13
16,"0.99 (0.72, 1.37)","1.19 (0.81, 1.74)","0.95 (0.64, 1.4)","1.16 (1.02, 1.31)","1.01 (0.89, 1.16)","0.68 (0.58, 0.79)",26-12-2019 to 03-04-2020,Table Order 14
15,"0.92 (0.7, 1.21)","1.31 (0.99, 1.74)","0.86 (0.63, 1.17)","1.1 (0.99, 1.22)","1.03 (0.91, 1.16)","0.8 (0.7, 0.92)",07-10-2019 to 25-12-2019,Table Order 15
14,"0.89 (0.71, 1.11)","0.95 (0.73, 1.23)","0.78 (0.58, 1.04)","1.05 (0.96, 1.14)","0.99 (0.89, 1.1)","0.83 (0.73, 0.95)",29-06-2019 to 06-10-2019,Table Order 16
13,"0.92 (0.72, 1.17)","1.05 (0.8, 1.39)","0.94 (0.66, 1.32)","1.04 (0.95, 1.14)","1.01 (0.9, 1.13)","0.82 (0.7, 0.95)",10-04-2019 to 28-06-2019,Table Order 17
12,"1.15 (0.95, 1.4)","1.18 (0.94, 1.49)","0.87 (0.65, 1.17)","1.05 (0.96, 1.13)","1.03 (0.93, 1.14)","0.89 (0.78, 1.02)",31-12-2018 to 09-04-2019,Table Order 18
11,"0.92 (0.78, 1.09)","0.93 (0.75, 1.14)","0.9 (0.7, 1.16)","0.96 (0.9, 1.02)","0.95 (0.88, 1.03)","0.86 (0.77, 0.96)",04-07-2018 to 30-12-2018,Table Order 19
