row_category,m_rural,daterange,n
Table Order 01 - 0,0,06-03-2010 to 18-09-2016,15566
Table Order 01 - 1,0,20-01-2015 to 27-02-2020,1785
Table Order 01 - 2,0,23-12-2017 to 03-07-2018,583
Table Order 02,0,01-04-2017 to 22-12-2017,1578
Table Order 03,0,08-02-2017 to 31-03-2017,258
Table Order 04,0,02-10-2016 to 07-02-2017,821
Table Order 05,0,12-08-2016 to 01-10-2016,329
Table Order 06,0,05-04-2016 to 11-08-2016,744
Table Order 07,0,14-02-2016 to 04-04-2016,263
Table Order 08,0,08-10-2015 to 13-02-2016,399
Table Order 09,0,18-08-2015 to 07-10-2015,173
Table Order 10,0,20-02-2015 to 17-08-2015,444
Table Order 11,0,02-10-2020 to 12-04-2021,377
Table Order 12,0,23-06-2020 to 01-10-2020,346
Table Order 13,0,04-04-2020 to 22-06-2020,252
Table Order 14,0,26-12-2019 to 03-04-2020,295
Table Order 15,0,07-10-2019 to 25-12-2019,282
Table Order 16,0,29-06-2019 to 06-10-2019,349
Table Order 17,0,10-04-2019 to 28-06-2019,231
Table Order 18,0,31-12-2018 to 09-04-2019,318
Table Order 19,0,04-07-2018 to 30-12-2018,662
Table Order 01 - 0,1,02-02-2010 to 09-11-2016,47040
Table Order 01 - 1,1,07-01-2015 to 16-03-2020,7112
Table Order 01 - 2,1,23-12-2017 to 03-07-2018,2344
Table Order 02,1,01-04-2017 to 22-12-2017,6050
Table Order 03,1,08-02-2017 to 31-03-2017,1054
Table Order 04,1,02-10-2016 to 07-02-2017,2953
Table Order 05,1,12-08-2016 to 01-10-2016,1260
Table Order 06,1,05-04-2016 to 11-08-2016,2884
Table Order 07,1,14-02-2016 to 04-04-2016,987
Table Order 08,1,08-10-2015 to 13-02-2016,1425
Table Order 09,1,18-08-2015 to 07-10-2015,515
Table Order 10,1,19-02-2015 to 17-08-2015,1694
Table Order 11,1,02-10-2020 to 16-04-2021,1793
Table Order 12,1,23-06-2020 to 01-10-2020,1442
Table Order 13,1,04-04-2020 to 22-06-2020,832
Table Order 14,1,26-12-2019 to 03-04-2020,1263
Table Order 15,1,07-10-2019 to 25-12-2019,1162
Table Order 16,1,29-06-2019 to 06-10-2019,1363
Table Order 17,1,10-04-2019 to 28-06-2019,925
Table Order 18,1,31-12-2018 to 09-04-2019,1248
Table Order 19,1,04-07-2018 to 30-12-2018,2626
