model,term,Rural_c_haz,Rural_c_waz,Rural_c_whz,Urban_c_haz,Urban_c_waz,Urban_c_whz
m1,p1_cumulative,"-0.22 	(-0.38, -0.06)","-0.16 	(-0.28, -0.04)","0.01 	(-0.13, 0.15)","-0.30 	(-1.14, 0.53)","-0.08 	(-3.42, 3.27)","0.17 	(-7.36, 7.70)"
m1,p2_cumulative,"0.41 	(-0.62, 1.43)","0.23 	(-0.55, 1.00)","-0.14 	(-1.12, 0.84)","0.67 	(-29.23, 30.58)","0.55 	(-5.09, 6.20)","0.13 	(-5.52, 5.77)"
m2,p2_cumulative,"-0.19 	(-0.42, 0.05)","-0.10 	(-0.25, 0.04)","-0.04 	(-0.24, 0.16)","-0.15 	(-6.76, 6.46)","-0.12 	(-5.34, 5.11)","-0.05 	(-2.36, 2.26)"
m2,p3_cumulative,"0.22 	(-0.81, 1.24)","0.19 	(-0.46, 0.84)","0.11 	(-0.69, 0.91)","-0.47 	(-21.25, 20.31)","-0.23 	(-10.54, 10.08)","0.10 	(-4.20, 4.39)"
m3,p3_cumulative,"-0.16 	(-0.36, 0.04)","-0.09 	(-0.23, 0.04)","-0.04 	(-0.22, 0.14)","-0.05 	(-2.09, 2.00)","0.14 	(-2.13, 2.42)","0.22 	(-0.86, 1.30)"
m3,p4_cumulative,"-0.55 	(-1.42, 0.32)","-0.23 	(-0.88, 0.43)","0.06 	(-0.76, 0.89)","0.22 	(-9.48, 9.92)","-0.04 	(-1.89, 1.81)","-0.24 	(-10.98, 10.50)"
m4,p4_cumulative,"-0.29 	(-0.50, -0.08)","-0.14 	(-0.29, -0.00)","0.01 	(-0.15, 0.18)","-0.42 	(-0.94, 0.11)","-0.06 	(-2.69, 2.57)","0.22 	(-1.03, 1.48)"
m4,p5_cumulative,"0.97 	(0.18, 1.77)","0.53 	(-0.14, 1.20)","0.02 	(-0.56, 0.60)","0.01 	(-0.94, 0.95)","-0.13 	(-5.90, 5.64)","-0.21 	(-9.43, 9.01)"
m5,p5_cumulative,"-0.13 	(-0.27, 0.00)","-0.06 	(-0.15, 0.04)","0.02 	(-0.10, 0.14)","-0.03 	(-1.36, 1.30)","0.01 	(-0.57, 0.59)","0.04 	(-1.85, 1.94)"
m5,p6_cumulative,"-0.10 	(-0.26, 0.05)","-0.13 	(-0.24, -0.01)","-0.10 	(-0.23, 0.03)","-0.08 	(-3.46, 3.30)","0.00 	(-0.45, 0.46)","0.06 	(-2.79, 2.91)"
m6,p6_cumulative,"-0.08 	(-0.19, 0.03)","-0.03 	(-0.12, 0.07)","0.02 	(-0.09, 0.14)","-0.06 	(-2.52, 2.41)","-0.01 	(-0.55, 0.53)","0.03 	(-1.10, 1.15)"
m6,p7_cumulative,"-0.14 	(-0.29, -0.00)","-0.12 	(-0.23, -0.00)","-0.04 	(-0.19, 0.11)","-0.04 	(-2.03, 1.94)","0.05 	(-2.04, 2.13)","0.12 	(-5.10, 5.34)"
m7,p7_cumulative,"0.12 	(0.02, 0.22)","0.05 	(-0.03, 0.13)","-0.04 	(-0.16, 0.08)","0.08 	(-3.64, 3.81)","0.20 	(-0.05, 0.44)","0.23 	(-0.10, 0.55)"
m7,p8_cumulative,"0.16 	(0.01, 0.30)","0.04 	(-0.09, 0.16)","-0.09 	(-0.23, 0.05)","0.07 	(-2.98, 3.12)","0.01 	(-0.43, 0.44)","-0.06 	(-2.70, 2.58)"
