model,term,District_c_haz,District_c_waz,District_c_whz,Cluster_c_haz,Cluster_c_waz,Cluster_c_whz
m1,p1_cumulative,"-0.19 	(-0.37, -0.02)","-0.16 	(-0.30, -0.03)","-0.01 	(-0.25, 0.22)","-0.24 	(-0.40, -0.07)","-0.16 	(-0.28, -0.05)","0.02 	(-0.15, 0.19)"
m1,p2_cumulative,"0.43 	(-0.57, 1.44)","0.24 	(-0.46, 0.94)","-0.15 	(-1.23, 0.94)","0.48 	(-0.50, 1.45)","0.26 	(-0.51, 1.04)","-0.16 	(-1.14, 0.83)"
m2,p2_cumulative,"-0.15 	(-0.42, 0.11)","-0.06 	(-0.23, 0.11)","-0.00 	(-0.51, 0.50)","-0.19 	(-0.43, 0.05)","-0.09 	(-0.25, 0.06)","-0.02 	(-0.21, 0.16)"
m2,p3_cumulative,"0.23 	(-0.81, 1.27)","0.19 	(-0.42, 0.81)","0.10 	(-0.79, 0.99)","0.22 	(-0.95, 1.39)","0.22 	(-0.45, 0.89)","0.14 	(-0.74, 1.03)"
m2,p1_cumulative,"0.13 	(-0.30, 0.55)","-0.10 	(-0.38, 0.18)","-0.23 	(-0.63, 0.17)","0.07 	(-0.37, 0.51)","-0.13 	(-0.40, 0.14)","-0.22 	(-0.59, 0.15)"
m3,p3_cumulative,"-0.11 	(-0.34, 0.12)","-0.10 	(-0.26, 0.06)","-0.07 	(-0.25, 0.11)","-0.11 	(-0.33, 0.10)","-0.09 	(-0.24, 0.05)","-0.06 	(-0.25, 0.12)"
m3,p4_cumulative,"-0.55 	(-1.52, 0.42)","-0.22 	(-0.83, 0.39)","0.07 	(-0.84, 0.98)","-0.56 	(-1.50, 0.39)","-0.26 	(-0.86, 0.34)","0.02 	(-1.43, 1.47)"
m3,p2_cumulative,"-0.23 	(-0.63, 0.17)","0.00 	(-0.39, 0.40)","0.14 	(-0.18, 0.45)","-0.23 	(-0.61, 0.16)","0.00 	(-0.58, 0.58)","0.13 	(-0.15, 0.42)"
m4,p4_cumulative,"-0.23 	(-0.46, -0.00)","-0.18 	(-0.34, -0.02)","-0.08 	(-0.28, 0.11)","-0.25 	(-0.47, -0.03)","-0.15 	(-0.30, 0.00)","-0.02 	(-0.21, 0.16)"
m4,p5_cumulative,"0.99 	(0.16, 1.81)","0.49 	(-0.24, 1.22)","-0.05 	(-1.18, 1.09)","1.06 	(0.23, 1.89)","0.58 	(-0.10, 1.27)","0.03 	(-1.75, 1.80)"
m4,p3_cumulative,"-0.39 	(-0.78, -0.01)","-0.13 	(-0.42, 0.17)","0.09 	(-0.21, 0.39)","-0.40 	(-0.79, 0.00)","-0.07 	(-0.37, 0.23)","0.17 	(-0.14, 0.48)"
m5,p5_cumulative,"-0.11 	(-0.28, 0.05)","-0.04 	(-0.16, 0.08)","0.03 	(-0.11, 0.16)","-0.10 	(-0.25, 0.05)","-0.04 	(-0.15, 0.07)","0.02 	(-0.12, 0.16)"
m5,p6_cumulative,"-0.11 	(-0.30, 0.08)","-0.12 	(-0.24, -0.00)","-0.09 	(-0.24, 0.06)","-0.10 	(-0.27, 0.07)","-0.13 	(-0.24, -0.01)","-0.10 	(-0.24, 0.04)"
m5,p4_cumulative,"-0.44 	(-0.74, -0.14)","-0.25 	(-0.46, -0.03)","0.00 	(-0.17, 0.17)","-0.43 	(-0.73, -0.12)","-0.24 	(-0.45, -0.03)","0.00 	(-0.16, 0.16)"
m6,p6_cumulative,"-0.11 	(-0.23, 0.01)","-0.05 	(-0.15, 0.06)","0.02 	(-0.11, 0.14)","-0.08 	(-0.20, 0.03)","-0.03 	(-0.12, 0.06)","0.02 	(-0.09, 0.14)"
m6,p7_cumulative,"-0.16 	(-0.31, -0.01)","-0.13 	(-0.24, -0.01)","-0.05 	(-0.19, 0.10)","-0.14 	(-0.29, 0.00)","-0.12 	(-0.23, 0.00)","-0.04 	(-0.18, 0.10)"
m7,p7_cumulative,"0.15 	(0.02, 0.27)","0.05 	(-0.04, 0.15)","-0.06 	(-0.18, 0.06)","0.12 	(0.02, 0.22)","0.05 	(-0.04, 0.14)","-0.04 	(-0.14, 0.07)"
m7,p8_cumulative,"0.18 	(0.03, 0.33)","0.05 	(-0.09, 0.18)","-0.10 	(-0.27, 0.07)","0.16 	(0.01, 0.30)","0.04 	(-0.08, 0.16)","-0.09 	(-0.24, 0.06)"
