term,c_stunting_RR,c_stunting_p,c_underweight_RR,c_underweight_p,c_wasting_RR,c_wasting_p
Average depth,"1.06 	(1.02, 1.09)",0.017,"1.06 	(1.02, 1.10)",0.024,"1.04 	(1.00, 1.08)",0.111
Duration,"0.99 	(0.98, 1.00)",0.31,"0.99 	(0.98, 1.01)",0.539,"0.97 	(0.96, 0.99)",0.017
LRT for Interaction,NA,"0.9, p = 0.547",NA,"0.4, p = 0.594",NA,"11.9, p = 0.014"
Phase 2 for 36-59,"0.94 	(0.85, 1.04)",,"0.96 	(0.86, 1.07)",,"0.85 	(0.72, 1.01)",
Phase 2 for 00-24,"1.02 	(0.91, 1.13)",,"1.04 	(0.93, 1.17)",,"0.88 	(0.75, 1.03)",
Phase 2 36-59 vs 00-24,"1.08 	(1.03, 1.13)",0.014,"1.08 	(1.03, 1.14)",0.017,"1.03 	(0.95, 1.12)",0.594
Average depth in 36-59,"1.06 	(0.92, 1.23)",,"1.13 	(0.94, 1.37)",,"1.05 	(0.87, 1.28)",
Average depth in 00-24,"1.06 	(1.01, 1.12)",,"1.08 	(1.01, 1.15)",,"1.04 	(0.98, 1.10)",
Average depth 36-59 vs 00-24,"1.00 	(0.91, 1.10)",0.968,"0.95 	(0.84, 1.09)",0.594,"0.98 	(0.84, 1.15)",0.86
Phase 2,"1.90 	(0.86, 4.23)",0.259,"2.46 	(1.13, 5.38)",0.081,"2.81 	(1.08, 7.33)",0.104
Average depth in Gestation,"1.01 	(0.98, 1.04)",0.738,"1.03 	(0.99, 1.06)",0.259,"1.02 	(0.99, 1.05)",0.259
Average depth in 00-06,"1.01 	(0.99, 1.03)",0.285,"1.01 	(0.99, 1.03)",0.594,"1.01 	(0.98, 1.04)",0.594
Average depth in 07-24,"1.02 	(1.00, 1.04)",0.042,"1.01 	(0.99, 1.04)",0.383,"1.00 	(0.97, 1.03)",0.857
