term,Stunting,Underweight,Wasting
e1_p1_d,"0.97 (0.93, 1.01)","1.08 (1.03, 1.13)","1.06 (0.99, 1.13)"
e1_p2_d,"0.95 (0.91, 0.98)","0.93 (0.9, 0.97)","0.97 (0.91, 1.03)"
e1_p3_d,"0.94 (0.91, 0.97)","0.95 (0.92, 0.98)","1.01 (0.96, 1.06)"
e1_p4_d,"1.04 (1.01, 1.07)","1.05 (1.02, 1.09)","0.96 (0.91, 1)"
e1_p5_d,"0.9 (0.87, 0.93)","0.99 (0.96, 1.03)","1.05 (1.01, 1.1)"
e2_p1_d,"1.04 (0.96, 1.12)","1.12 (1.03, 1.22)","1 (0.92, 1.09)"
e2_p2_d,"0.89 (0.84, 0.94)","0.95 (0.89, 1.02)","0.94 (0.89, 1.01)"
e2_p3_d,"0.99 (0.95, 1.04)","1.02 (0.97, 1.08)","0.96 (0.9, 1.02)"
e2_p4_d,"0.98 (0.95, 1.02)","1 (0.96, 1.05)","0.98 (0.93, 1.03)"
e2_p5_d,"0.91 (0.87, 0.95)","0.89 (0.85, 0.94)","0.93 (0.86, 1)"
