term,Stunting,Underweight,Wasting
e1_p1_d,"0.99 (0.95, 1.04)","1.09 (1.04, 1.14)","1.02 (0.95, 1.09)"
e1_p2_d,"0.95 (0.91, 0.98)","0.94 (0.9, 0.98)","0.98 (0.91, 1.05)"
e1_p3_d,"0.94 (0.91, 0.97)","0.95 (0.91, 0.98)","1.02 (0.96, 1.07)"
e1_p4_d,"1.03 (1, 1.06)","1.03 (0.99, 1.07)","0.95 (0.9, 1)"
e1_p5_d,"0.92 (0.88, 0.95)","1.01 (0.97, 1.05)","1.03 (0.99, 1.08)"
e2_p1_d,"1.09 (1, 1.19)","1.18 (1.07, 1.3)","0.98 (0.9, 1.07)"
e2_p2_d,"0.9 (0.85, 0.96)","0.93 (0.87, 1)","0.94 (0.88, 1.01)"
e2_p3_d,"1.02 (0.97, 1.07)","1.04 (0.98, 1.1)","0.94 (0.88, 1.01)"
e2_p4_d,"0.98 (0.95, 1.02)","1.01 (0.96, 1.05)","0.99 (0.94, 1.05)"
e2_p5_d,"0.9 (0.86, 0.94)","0.89 (0.84, 0.93)","0.95 (0.87, 1.02)"
