term,Stunting,Underweight,Wasting
e1_p1_d,"0.89 (0.8, 1)","1.02 (0.9, 1.16)","1.2 (1.03, 1.4)"
e1_p2_d,"0.95 (0.87, 1.04)","0.9 (0.81, 1)","0.95 (0.83, 1.1)"
e1_p3_d,"0.95 (0.87, 1.03)","0.96 (0.88, 1.05)","0.98 (0.88, 1.1)"
e1_p4_d,"1.07 (0.99, 1.15)","1.13 (1.04, 1.23)","0.98 (0.88, 1.09)"
e1_p5_d,"0.85 (0.78, 0.93)","0.92 (0.84, 1.01)","1.1 (0.99, 1.21)"
e2_p1_d,"0.87 (0.72, 1.06)","0.94 (0.77, 1.13)","1.06 (0.88, 1.29)"
e2_p2_d,"0.85 (0.74, 0.99)","1.02 (0.88, 1.19)","0.95 (0.81, 1.1)"
e2_p3_d,"0.92 (0.81, 1.05)","0.95 (0.82, 1.09)","0.99 (0.85, 1.17)"
e2_p4_d,"0.97 (0.88, 1.07)","0.99 (0.89, 1.1)","0.93 (0.82, 1.05)"
e2_p5_d,"0.97 (0.87, 1.08)","0.94 (0.83, 1.06)","0.87 (0.74, 1.03)"
