term,Stunting,Underweight,Wasting
e1_p1_d,"1 (0.96, 1.03)","1.02 (0.98, 1.06)","1.03 (0.97, 1.09)"
e1_p2_d,"0.99 (0.97, 1.02)","0.97 (0.94, 1.01)","0.95 (0.91, 1)"
e1_p3_d,"0.95 (0.92, 0.97)","0.95 (0.92, 0.97)","1 (0.96, 1.03)"
e1_p4_d,"1 (0.97, 1.02)","1.04 (1.01, 1.06)","1.01 (0.97, 1.04)"
e1_p5_d,"0.96 (0.93, 0.98)","1.01 (0.98, 1.04)","1.05 (1.01, 1.09)"
e2_p1_d,"1.13 (1.04, 1.22)","1.13 (1.04, 1.23)","0.96 (0.89, 1.03)"
e2_p2_d,"0.89 (0.85, 0.95)","0.93 (0.87, 0.99)","0.91 (0.86, 0.97)"
e2_p3_d,"1.04 (1, 1.09)","1.01 (0.96, 1.06)","0.93 (0.87, 0.98)"
e2_p4_d,"1.05 (1.01, 1.08)","0.98 (0.94, 1.02)","0.92 (0.88, 0.96)"
e2_p5_d,"0.9 (0.87, 0.94)","0.93 (0.89, 0.96)","0.91 (0.87, 0.97)"
