model,term,Female_c_haz,Female_c_waz,Female_c_whz,Male_c_haz,Male_c_waz,Male_c_whz
m1,p1_cumulative,"-0.12 	(-0.43, 0.19)","-0.11 	(-0.31, 0.08)","-0.05 	(-0.35, 0.26)","-0.32 	(-0.57, -0.08)","-0.20 	(-0.37, -0.02)","0.07 	(-0.28, 0.42)"
m1,p2_cumulative,"1.03 	(-0.77, 2.83)","0.35 	(-1.11, 1.81)","-0.55 	(-2.07, 0.96)","-0.23 	(-2.89, 2.42)","0.06 	(-1.28, 1.39)","0.22 	(-2.32, 2.77)"
m2,p2_cumulative,"-0.05 	(-0.57, 0.47)","-0.01 	(-1.35, 1.34)","-0.01 	(-1.27, 1.24)","-0.33 	(-0.68, 0.01)","-0.16 	(-0.42, 0.10)","-0.00 	(-10.54, 10.53)"
m2,p3_cumulative,"-0.47 	(-2.43, 1.49)","-0.08 	(-4.23, 4.07)","0.25 	(-1.39, 1.88)","0.86 	(-0.85, 2.57)","0.45 	(-0.60, 1.50)","0.00 	(-0.81, 0.81)"
m2,p1_cumulative,"0.13 	(-0.72, 0.97)","-0.23 	(-0.70, 0.25)","-0.40 	(-1.05, 0.25)","0.11 	(-0.92, 1.14)","0.02 	(-0.52, 0.55)","-0.06 	(-1.01, 0.90)"
m3,p3_cumulative,"-0.07 	(-0.51, 0.38)","-0.02 	(-0.59, 0.55)","0.00 	(-0.75, 0.75)","-0.17 	(-0.51, 0.17)","-0.16 	(-0.39, 0.08)","-0.11 	(-0.40, 0.17)"
m3,p4_cumulative,"-0.80 	(-2.49, 0.89)","-0.01 	(-2.31, 2.29)","0.55 	(-0.81, 1.90)","-0.36 	(-2.15, 1.43)","-0.42 	(-1.35, 0.51)","-0.35 	(-1.84, 1.13)"
m3,p2_cumulative,"-0.22 	(-1.12, 0.69)","-0.09 	(-0.66, 0.48)","-0.00 	(-0.26, 0.26)","-0.29 	(-0.86, 0.28)","0.09 	(-0.38, 0.57)","0.31 	(-0.19, 0.81)"
m4,p4_cumulative,"-0.26 	(-0.67, 0.16)","-0.14 	(-0.42, 0.15)","0.02 	(-1.45, 1.48)","-0.21 	(-0.58, 0.15)","-0.13 	(-0.39, 0.13)","-0.04 	(-0.51, 0.43)"
m4,p5_cumulative,"1.39 	(0.06, 2.71)","0.70 	(-0.43, 1.83)","-0.09 	(-4.84, 4.66)","0.54 	(-1.00, 2.08)","0.34 	(-1.10, 1.79)","0.11 	(-1.77, 1.99)"
m4,p3_cumulative,"-0.70 	(-1.37, -0.03)","-0.26 	(-0.77, 0.26)","0.12 	(-0.65, 0.90)","-0.15 	(-0.98, 0.68)","0.08 	(-0.44, 0.60)","0.21 	(-0.31, 0.72)"
m5,p5_cumulative,"-0.14 	(-0.40, 0.12)","-0.05 	(-0.27, 0.17)","0.04 	(-0.23, 0.31)","-0.08 	(-0.33, 0.18)","-0.03 	(-0.24, 0.17)","0.01 	(-0.25, 0.27)"
