term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.99 (0.95, 1.03)","1.03 (0.99, 1.08)","0.98 (0.93, 1.03)"
factor(e_interaction)3,"0.98 (0.94, 1.03)","1.01 (0.96, 1.05)","0.93 (0.87, 0.99)"
factor(e_interaction)4,"0.94 (0.91, 0.98)","0.94 (0.9, 0.99)","0.89 (0.84, 0.95)"
factor(e_interaction)5,"0.91 (0.87, 0.95)","0.93 (0.89, 0.98)","0.92 (0.85, 1)"
factor(e_interaction)6,"0.96 (0.92, 0.99)","0.95 (0.91, 0.99)","0.92 (0.86, 0.98)"
factor(e_interaction)7,"0.96 (0.92, 1)","0.96 (0.91, 1.01)","0.89 (0.83, 0.96)"
factor(e_interaction)8,"1.06 (0.98, 1.14)","0.97 (0.89, 1.07)","0.82 (0.72, 0.94)"
factor(e_interaction)9,"1.05 (1, 1.1)","0.97 (0.91, 1.02)","0.87 (0.8, 0.94)"
factor(e_interaction)10,"1.07 (0.99, 1.15)","1.02 (0.93, 1.12)","0.91 (0.81, 1.02)"
factor(e_interaction)11,"1.08 (1.03, 1.14)","1.03 (0.96, 1.09)","0.86 (0.8, 0.93)"
factor(e_interaction)12,"1.08 (0.96, 1.21)","0.9 (0.79, 1.04)","0.73 (0.62, 0.85)"
factor(e_interaction)13,"1.12 (1.03, 1.22)","1.01 (0.92, 1.09)","0.87 (0.79, 0.96)"
factor(e_interaction)14,"1.05 (0.91, 1.2)","0.93 (0.81, 1.06)","0.8 (0.69, 0.92)"
factor(e_interaction)15,"1.19 (1.08, 1.3)","1.16 (1.04, 1.28)","0.88 (0.8, 0.97)"
