term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.92 (0.83, 1.01)","0.91 (0.82, 1.01)","1.03 (0.92, 1.15)"
factor(e_interaction)3,"0.97 (0.88, 1.06)","1.05 (0.95, 1.16)","0.99 (0.89, 1.11)"
factor(e_interaction)4,"0.94 (0.86, 1.03)","0.97 (0.88, 1.09)","0.86 (0.75, 0.98)"
factor(e_interaction)5,"0.92 (0.84, 1.02)","0.91 (0.81, 1.03)","0.84 (0.71, 0.99)"
factor(e_interaction)6,"0.9 (0.82, 0.99)","0.97 (0.88, 1.08)","0.99 (0.86, 1.13)"
factor(e_interaction)7,"0.88 (0.8, 0.98)","0.93 (0.82, 1.06)","0.85 (0.72, 0.99)"
factor(e_interaction)8,"1.1 (0.93, 1.29)","1.02 (0.82, 1.26)","0.83 (0.63, 1.11)"
factor(e_interaction)9,"1.06 (0.94, 1.2)","0.98 (0.84, 1.13)","0.75 (0.63, 0.9)"
factor(e_interaction)10,"0.93 (0.76, 1.14)","0.92 (0.72, 1.16)","0.73 (0.57, 0.94)"
factor(e_interaction)11,"0.96 (0.84, 1.1)","0.97 (0.83, 1.13)","0.8 (0.67, 0.95)"
factor(e_interaction)12,"0.96 (0.73, 1.27)","1.03 (0.73, 1.45)","0.9 (0.61, 1.32)"
factor(e_interaction)13,"1.01 (0.82, 1.24)","1.01 (0.81, 1.25)","0.76 (0.6, 0.96)"
factor(e_interaction)14,"0.85 (0.6, 1.21)","0.85 (0.59, 1.21)","0.8 (0.57, 1.12)"
factor(e_interaction)15,"0.96 (0.78, 1.18)","0.98 (0.8, 1.2)","0.85 (0.69, 1.05)"
