term,Stunting,Underweight,Wasting
e1_p1_d,"0.95 (0.92, 0.98)","0.98 (0.94, 1.01)","0.96 (0.91, 1.02)"
e1_p2_d,"0.93 (0.9, 0.96)","0.97 (0.93, 1.01)","1 (0.94, 1.07)"
e1_p3_d,"0.93 (0.9, 0.96)","0.94 (0.91, 0.98)","0.94 (0.89, 0.99)"
e1_p4_d,"0.99 (0.96, 1.03)","1 (0.97, 1.04)","0.95 (0.91, 1)"
e1_p5_d,"0.98 (0.94, 1.01)","1.03 (1, 1.06)","1.01 (0.97, 1.06)"
e2_p1_d,"1.09 (1, 1.18)","1.12 (1.02, 1.22)","0.96 (0.89, 1.03)"
e2_p2_d,"1.01 (0.95, 1.08)","0.94 (0.87, 1.01)","0.93 (0.86, 0.99)"
e2_p3_d,"0.99 (0.94, 1.03)","0.99 (0.93, 1.05)","0.89 (0.83, 0.96)"
e2_p4_d,"1.04 (1, 1.09)","1.04 (0.98, 1.1)","1 (0.92, 1.08)"
e2_p5_d,"0.94 (0.9, 0.98)","0.97 (0.93, 1.03)","0.88 (0.81, 0.95)"
