term,Stunting,Underweight,Wasting
e1_p1_d,"0.93 (0.86, 1)","1 (0.92, 1.09)","1.08 (0.96, 1.21)"
e1_p2_d,"0.95 (0.88, 1.03)","0.91 (0.82, 1.01)","0.88 (0.76, 1.01)"
e1_p3_d,"0.96 (0.89, 1.04)","0.97 (0.89, 1.05)","0.95 (0.86, 1.06)"
e1_p4_d,"0.99 (0.92, 1.07)","1.08 (1, 1.17)","1.08 (0.98, 1.18)"
e1_p5_d,"0.95 (0.87, 1.03)","0.97 (0.89, 1.06)","1.11 (1.01, 1.21)"
e2_p1_d,"0.95 (0.79, 1.13)","0.96 (0.8, 1.14)","1 (0.85, 1.18)"
e2_p2_d,"1.04 (0.89, 1.21)","1.06 (0.9, 1.25)","0.94 (0.79, 1.12)"
e2_p3_d,"0.96 (0.85, 1.09)","0.91 (0.78, 1.06)","0.88 (0.75, 1.05)"
e2_p4_d,"1.05 (0.94, 1.16)","1.01 (0.88, 1.15)","0.91 (0.77, 1.08)"
e2_p5_d,"0.98 (0.88, 1.09)","1 (0.89, 1.13)","0.93 (0.78, 1.11)"
