term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.96 (0.91, 1.01)","1.01 (0.96, 1.06)","1.03 (0.97, 1.09)"
factor(e_interaction)3,"0.93 (0.84, 1.02)","0.96 (0.87, 1.05)","0.93 (0.82, 1.05)"
factor(e_interaction)4,"0.94 (0.88, 1)","0.98 (0.91, 1.05)","0.96 (0.88, 1.06)"
factor(e_interaction)5,"0.92 (0.85, 1)","0.88 (0.81, 0.97)","0.79 (0.7, 0.89)"
factor(e_interaction)6,"0.89 (0.84, 0.94)","0.94 (0.88, 1)","0.95 (0.87, 1.04)"
factor(e_interaction)7,"0.83 (0.76, 0.91)","0.91 (0.82, 1.01)","0.96 (0.82, 1.13)"
factor(e_interaction)8,"0.89 (0.83, 0.94)","0.93 (0.86, 1)","0.97 (0.87, 1.09)"
factor(e_interaction)9,"0.96 (0.89, 1.05)","1.04 (0.94, 1.15)","0.98 (0.83, 1.17)"
factor(e_interaction)10,"0.92 (0.87, 0.96)","0.92 (0.87, 0.97)","0.9 (0.83, 0.98)"
factor(e_interaction)11,"0.87 (0.81, 0.93)","0.93 (0.85, 1.01)","0.83 (0.73, 0.95)"
factor(e_interaction)12,"1.05 (0.97, 1.13)","1.01 (0.91, 1.12)","0.91 (0.78, 1.05)"
factor(e_interaction)13,"0.97 (0.88, 1.06)","0.88 (0.77, 1.01)","0.9 (0.73, 1.11)"
factor(e_interaction)14,"0.99 (0.92, 1.07)","1.02 (0.93, 1.12)","0.91 (0.79, 1.05)"
factor(e_interaction)15,"1.04 (0.95, 1.13)","0.99 (0.89, 1.11)","0.9 (0.77, 1.05)"
factor(e_interaction)16,"0.96 (0.86, 1.07)","0.93 (0.82, 1.04)","0.91 (0.79, 1.05)"
factor(e_interaction)17,"1.13 (0.99, 1.29)","1.05 (0.92, 1.19)","0.91 (0.78, 1.06)"
factor(e_interaction)18,"1.06 (0.94, 1.2)","0.99 (0.89, 1.12)","0.87 (0.77, 0.98)"
factor(e_interaction)19,"1.09 (0.97, 1.22)","1.13 (1, 1.28)","0.91 (0.81, 1.03)"
