term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.88 (0.78, 1)","0.96 (0.84, 1.09)","1.06 (0.92, 1.23)"
factor(e_interaction)3,"0.78 (0.62, 0.98)","1.02 (0.83, 1.25)","1.04 (0.8, 1.35)"
factor(e_interaction)4,"0.94 (0.81, 1.09)","0.99 (0.85, 1.16)","0.94 (0.79, 1.12)"
factor(e_interaction)5,"0.9 (0.72, 1.12)","1.06 (0.87, 1.29)","1.02 (0.8, 1.31)"
factor(e_interaction)6,"0.94 (0.8, 1.09)","0.93 (0.78, 1.12)","0.86 (0.69, 1.07)"
factor(e_interaction)7,"0.82 (0.66, 1.01)","0.75 (0.57, 0.98)","0.76 (0.52, 1.1)"
factor(e_interaction)8,"0.84 (0.72, 0.98)","0.8 (0.66, 0.96)","0.83 (0.64, 1.07)"
factor(e_interaction)9,"0.96 (0.77, 1.19)","0.89 (0.69, 1.16)","0.83 (0.56, 1.23)"
factor(e_interaction)10,"0.83 (0.73, 0.94)","0.93 (0.8, 1.08)","1.07 (0.89, 1.29)"
factor(e_interaction)11,"0.82 (0.71, 0.95)","1.01 (0.86, 1.19)","0.98 (0.79, 1.22)"
factor(e_interaction)12,"1.04 (0.88, 1.24)","1.04 (0.85, 1.28)","0.85 (0.64, 1.13)"
factor(e_interaction)13,"1 (0.81, 1.24)","1.05 (0.81, 1.35)","0.84 (0.62, 1.13)"
factor(e_interaction)14,"0.86 (0.71, 1.04)","0.95 (0.76, 1.19)","0.94 (0.73, 1.21)"
factor(e_interaction)15,"1.01 (0.81, 1.25)","0.93 (0.73, 1.19)","0.86 (0.65, 1.14)"
factor(e_interaction)16,"0.99 (0.78, 1.26)","1.06 (0.8, 1.41)","0.8 (0.59, 1.09)"
factor(e_interaction)17,"0.99 (0.7, 1.41)","1.08 (0.78, 1.49)","0.78 (0.53, 1.14)"
factor(e_interaction)18,"0.72 (0.49, 1.06)","0.74 (0.51, 1.07)","0.9 (0.64, 1.27)"
factor(e_interaction)19,"1.01 (0.75, 1.36)","0.95 (0.7, 1.29)","1.11 (0.79, 1.54)"
