term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.99 (0.94, 1.05)","1.09 (1.03, 1.14)","1.04 (0.97, 1.11)"
factor(e_interaction)3,"0.99 (0.9, 1.09)","1.05 (0.96, 1.15)","0.89 (0.78, 1.01)"
factor(e_interaction)4,"1.04 (0.97, 1.11)","1.1 (1.03, 1.17)","0.99 (0.92, 1.08)"
factor(e_interaction)5,"0.96 (0.88, 1.04)","1 (0.92, 1.09)","1.06 (0.95, 1.2)"
factor(e_interaction)6,"0.9 (0.85, 0.96)","0.97 (0.91, 1.04)","0.92 (0.83, 1.01)"
factor(e_interaction)7,"0.93 (0.85, 1.01)","0.89 (0.8, 0.99)","0.86 (0.72, 1.02)"
factor(e_interaction)8,"0.86 (0.8, 0.92)","0.94 (0.87, 1.01)","1 (0.88, 1.13)"
factor(e_interaction)9,"0.96 (0.88, 1.05)","1.06 (0.95, 1.17)","1.03 (0.86, 1.25)"
factor(e_interaction)10,"0.92 (0.87, 0.96)","0.99 (0.93, 1.05)","1 (0.91, 1.1)"
factor(e_interaction)11,"0.92 (0.86, 0.99)","0.98 (0.9, 1.07)","0.85 (0.74, 0.97)"
factor(e_interaction)12,"1.04 (0.95, 1.13)","1.08 (0.97, 1.21)","0.95 (0.8, 1.13)"
factor(e_interaction)13,"1.01 (0.92, 1.11)","1.1 (0.97, 1.24)","0.88 (0.72, 1.07)"
factor(e_interaction)14,"0.96 (0.87, 1.05)","1.02 (0.91, 1.15)","0.87 (0.74, 1.03)"
factor(e_interaction)15,"1.02 (0.92, 1.14)","0.93 (0.81, 1.06)","0.82 (0.7, 0.97)"
factor(e_interaction)16,"1.04 (0.91, 1.19)","0.99 (0.87, 1.14)","0.72 (0.61, 0.85)"
factor(e_interaction)17,"1.02 (0.86, 1.2)","1 (0.85, 1.19)","0.9 (0.75, 1.08)"
factor(e_interaction)18,"0.99 (0.86, 1.15)","0.94 (0.83, 1.07)","0.91 (0.79, 1.04)"
factor(e_interaction)19,"1.18 (0.99, 1.39)","1.29 (1.11, 1.49)","1 (0.88, 1.13)"
