term,Stunting,Underweight,Wasting
factor(e_interaction)2,"1.07 (0.87, 1.31)","0.96 (0.74, 1.23)","0.98 (0.7, 1.38)"
factor(e_interaction)3,"1.33 (1, 1.77)","1.44 (1.02, 2.02)","1.32 (0.83, 2.1)"
factor(e_interaction)4,"1.02 (0.84, 1.23)","1.27 (1.02, 1.58)","1.39 (1.01, 1.9)"
factor(e_interaction)5,"1.06 (0.85, 1.32)","1.31 (1.02, 1.68)","0.93 (0.64, 1.36)"
factor(e_interaction)6,"0.99 (0.84, 1.17)","1.16 (0.96, 1.41)","1.17 (0.91, 1.52)"
factor(e_interaction)7,"1.02 (0.79, 1.32)","1.04 (0.76, 1.41)","0.99 (0.61, 1.61)"
factor(e_interaction)8,"0.95 (0.8, 1.12)","1.11 (0.92, 1.34)","0.96 (0.74, 1.24)"
factor(e_interaction)9,"1.02 (0.82, 1.28)","1.2 (0.89, 1.62)","1.05 (0.67, 1.64)"
factor(e_interaction)10,"0.93 (0.81, 1.08)","1.14 (0.97, 1.34)","1.13 (0.92, 1.38)"
factor(e_interaction)11,"0.82 (0.67, 1.02)","0.95 (0.74, 1.21)","0.95 (0.69, 1.29)"
factor(e_interaction)12,"1.32 (1.07, 1.63)","1.26 (0.99, 1.61)","0.94 (0.64, 1.39)"
factor(e_interaction)13,"0.89 (0.69, 1.15)","1.07 (0.77, 1.48)","0.96 (0.61, 1.49)"
factor(e_interaction)14,"0.96 (0.77, 1.2)","0.9 (0.65, 1.24)","0.73 (0.52, 1.04)"
factor(e_interaction)15,"0.87 (0.63, 1.21)","1.08 (0.75, 1.56)","0.74 (0.49, 1.11)"
factor(e_interaction)16,"1.14 (0.83, 1.56)","1.23 (0.82, 1.84)","1.07 (0.71, 1.62)"
factor(e_interaction)17,"1.28 (0.92, 1.78)","1.11 (0.78, 1.57)","0.91 (0.64, 1.29)"
factor(e_interaction)18,"1.08 (0.77, 1.52)","1.23 (0.89, 1.69)","0.88 (0.63, 1.23)"
factor(e_interaction)19,"0.97 (0.72, 1.3)","1.12 (0.84, 1.48)","0.88 (0.66, 1.16)"
