term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.98 (0.95, 1.02)","1.04 (1, 1.08)","0.99 (0.94, 1.04)"
factor(e_interaction)3,"0.97 (0.9, 1.04)","1 (0.93, 1.06)","0.86 (0.79, 0.94)"
factor(e_interaction)4,"1 (0.95, 1.05)","1.03 (0.98, 1.08)","0.92 (0.86, 0.99)"
factor(e_interaction)5,"0.96 (0.9, 1.02)","0.93 (0.87, 1)","0.86 (0.79, 0.94)"
factor(e_interaction)6,"0.91 (0.87, 0.95)","0.95 (0.9, 1)","0.88 (0.82, 0.95)"
factor(e_interaction)7,"0.89 (0.83, 0.95)","0.9 (0.83, 0.97)","0.87 (0.77, 0.98)"
factor(e_interaction)8,"0.89 (0.84, 0.93)","0.93 (0.88, 0.98)","0.94 (0.86, 1.03)"
factor(e_interaction)9,"0.97 (0.91, 1.04)","1.04 (0.97, 1.13)","0.96 (0.84, 1.1)"
factor(e_interaction)10,"0.93 (0.9, 0.96)","0.94 (0.9, 0.99)","0.9 (0.84, 0.97)"
factor(e_interaction)11,"0.93 (0.89, 0.97)","0.94 (0.89, 0.99)","0.87 (0.81, 0.94)"
factor(e_interaction)12,"1.04 (0.98, 1.09)","0.99 (0.93, 1.06)","0.88 (0.8, 0.96)"
factor(e_interaction)13,"1.01 (0.95, 1.08)","0.97 (0.9, 1.05)","0.87 (0.78, 0.96)"
factor(e_interaction)14,"1.01 (0.96, 1.07)","0.99 (0.92, 1.06)","0.88 (0.8, 0.96)"
factor(e_interaction)15,"1.07 (1, 1.14)","1.03 (0.95, 1.11)","0.85 (0.78, 0.94)"
factor(e_interaction)16,"1.11 (1.03, 1.21)","0.97 (0.89, 1.06)","0.75 (0.67, 0.83)"
factor(e_interaction)17,"1.13 (1.01, 1.26)","1.03 (0.92, 1.15)","0.84 (0.73, 0.95)"
factor(e_interaction)18,"1.07 (0.96, 1.18)","0.97 (0.88, 1.06)","0.81 (0.72, 0.9)"
factor(e_interaction)19,"1.27 (1.12, 1.44)","1.28 (1.1, 1.49)","0.82 (0.72, 0.93)"
