term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.92 (0.84, 1.01)","0.98 (0.89, 1.09)","1.07 (0.96, 1.2)"
factor(e_interaction)3,"0.94 (0.8, 1.1)","1.1 (0.95, 1.28)","1.16 (0.97, 1.38)"
factor(e_interaction)4,"0.94 (0.85, 1.05)","1.08 (0.97, 1.21)","1.06 (0.93, 1.2)"
factor(e_interaction)5,"0.92 (0.79, 1.07)","1.06 (0.92, 1.22)","0.93 (0.77, 1.11)"
factor(e_interaction)6,"0.93 (0.83, 1.04)","1.01 (0.89, 1.15)","0.95 (0.81, 1.11)"
factor(e_interaction)7,"0.88 (0.74, 1.03)","0.85 (0.69, 1.05)","0.83 (0.61, 1.13)"
factor(e_interaction)8,"0.87 (0.78, 0.98)","0.93 (0.81, 1.07)","0.86 (0.72, 1.02)"
factor(e_interaction)9,"0.98 (0.84, 1.15)","1.01 (0.83, 1.24)","0.89 (0.66, 1.2)"
factor(e_interaction)10,"0.86 (0.78, 0.95)","1 (0.9, 1.12)","1.06 (0.92, 1.21)"
factor(e_interaction)11,"0.86 (0.77, 0.97)","0.97 (0.86, 1.11)","0.94 (0.8, 1.1)"
factor(e_interaction)12,"1.09 (0.96, 1.24)","1.1 (0.95, 1.27)","0.86 (0.7, 1.05)"
factor(e_interaction)13,"0.97 (0.83, 1.14)","1.05 (0.87, 1.26)","0.88 (0.7, 1.1)"
factor(e_interaction)14,"0.88 (0.76, 1.02)","0.93 (0.79, 1.11)","0.85 (0.7, 1.03)"
factor(e_interaction)15,"0.97 (0.81, 1.16)","1.06 (0.88, 1.28)","0.85 (0.69, 1.05)"
factor(e_interaction)16,"0.99 (0.81, 1.2)","1.11 (0.88, 1.4)","0.86 (0.67, 1.11)"
factor(e_interaction)17,"1.08 (0.84, 1.39)","1.13 (0.88, 1.44)","0.85 (0.65, 1.12)"
factor(e_interaction)18,"0.85 (0.65, 1.11)","0.97 (0.74, 1.27)","0.86 (0.66, 1.12)"
factor(e_interaction)19,"0.92 (0.72, 1.18)","1.11 (0.88, 1.41)","0.92 (0.71, 1.2)"
