term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.96 (0.84, 1.09)","0.89 (0.76, 1.04)","1.23 (0.93, 1.62)"
factor(e_interaction)3,"0.94 (0.81, 1.09)","0.8 (0.68, 0.95)","1.16 (0.85, 1.57)"
factor(e_interaction)4,"0.91 (0.81, 1.03)","0.8 (0.69, 0.92)","1.25 (0.95, 1.66)"
factor(e_interaction)5,"0.92 (0.82, 1.02)","0.83 (0.73, 0.94)","1.2 (0.96, 1.51)"
factor(e_interaction)6,"0.87 (0.79, 0.95)","0.83 (0.75, 0.93)","1.12 (0.92, 1.35)"
factor(e_interaction)7,"0.85 (0.77, 0.93)","0.78 (0.7, 0.88)","1.08 (0.88, 1.33)"
factor(e_interaction)8,"0.86 (0.79, 0.93)","0.82 (0.75, 0.9)","1.19 (1, 1.41)"
factor(e_interaction)9,"0.94 (0.87, 1.01)","0.95 (0.86, 1.04)","1.13 (0.95, 1.34)"
factor(e_interaction)10,"0.89 (0.85, 0.94)","0.88 (0.83, 0.94)","1.04 (0.94, 1.15)"
factor(e_interaction)11,"0.95 (0.89, 1)","1.02 (0.95, 1.09)","0.92 (0.83, 1.03)"
factor(e_interaction)12,"1.1 (1.02, 1.18)","1.13 (1.03, 1.24)","0.91 (0.8, 1.04)"
factor(e_interaction)13,"1.04 (0.96, 1.14)","1.15 (1.03, 1.28)","0.9 (0.77, 1.06)"
factor(e_interaction)14,"1.01 (0.93, 1.11)","1.19 (1.06, 1.33)","0.92 (0.78, 1.09)"
factor(e_interaction)15,"1.05 (0.95, 1.17)","1.19 (1.04, 1.36)","0.9 (0.74, 1.08)"
factor(e_interaction)16,"1.11 (0.99, 1.26)","1.15 (1, 1.34)","0.79 (0.64, 0.98)"
factor(e_interaction)17,"1.13 (0.97, 1.32)","1.35 (1.14, 1.61)","0.91 (0.72, 1.16)"
factor(e_interaction)18,"1.03 (0.88, 1.21)","1.23 (1.04, 1.46)","0.89 (0.69, 1.13)"
factor(e_interaction)19,"1.04 (0.87, 1.23)","1.33 (1.11, 1.6)","0.92 (0.7, 1.2)"
