term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.88 (0.65, 1.17)","0.79 (0.55, 1.12)","1.07 (0.65, 1.77)"
factor(e_interaction)3,"0.96 (0.69, 1.34)","0.95 (0.63, 1.42)","1.39 (0.81, 2.38)"
factor(e_interaction)4,"0.94 (0.73, 1.21)","1.01 (0.74, 1.37)","1.28 (0.84, 1.95)"
factor(e_interaction)5,"0.88 (0.69, 1.12)","1.07 (0.8, 1.42)","1.13 (0.74, 1.73)"
factor(e_interaction)6,"0.91 (0.73, 1.13)","0.94 (0.73, 1.21)","1.07 (0.76, 1.52)"
factor(e_interaction)7,"0.85 (0.68, 1.07)","0.78 (0.58, 1.03)","0.94 (0.63, 1.41)"
factor(e_interaction)8,"0.87 (0.73, 1.04)","0.89 (0.71, 1.11)","0.96 (0.71, 1.3)"
factor(e_interaction)9,"0.96 (0.8, 1.17)","0.99 (0.77, 1.26)","0.97 (0.68, 1.38)"
factor(e_interaction)10,"0.89 (0.78, 1.01)","1.02 (0.88, 1.18)","1.11 (0.93, 1.34)"
factor(e_interaction)11,"0.96 (0.8, 1.15)","1.14 (0.94, 1.39)","0.94 (0.74, 1.21)"
factor(e_interaction)12,"1.29 (1.08, 1.55)","1.34 (1.08, 1.66)","0.92 (0.67, 1.27)"
factor(e_interaction)13,"0.99 (0.8, 1.22)","1.14 (0.87, 1.49)","0.93 (0.65, 1.32)"
factor(e_interaction)14,"1 (0.83, 1.21)","0.99 (0.78, 1.27)","0.82 (0.6, 1.12)"
factor(e_interaction)15,"1.2 (0.95, 1.52)","1.04 (0.8, 1.35)","0.86 (0.62, 1.18)"
factor(e_interaction)16,"1.16 (0.91, 1.48)","1.15 (0.86, 1.53)","1.04 (0.75, 1.44)"
factor(e_interaction)17,"1.16 (0.88, 1.52)","1.22 (0.93, 1.62)","1.11 (0.82, 1.52)"
factor(e_interaction)18,"0.96 (0.72, 1.28)","1.01 (0.75, 1.34)","1.07 (0.8, 1.43)"
factor(e_interaction)19,"1.02 (0.79, 1.31)","0.96 (0.74, 1.24)","1.13 (0.87, 1.48)"
