term,Stunting,Underweight,Wasting
e1_p1_d,"-0.06 (-0.12, -0.01)","-0.08 (-0.12, -0.04)","-0.06 (-0.11, -0.01)"
e1_p2_d,"0.09 (0.04, 0.13)","0.04 (0.01, 0.07)","-0.01 (-0.05, 0.03)"
e1_p3_d,"0.09 (0.05, 0.13)","0.05 (0.02, 0.08)","-0.06 (-0.09, -0.02)"
e1_p4_d,"-0.07 (-0.11, -0.03)","-0.03 (-0.06, -0.01)","0.04 (0.01, 0.08)"
e1_p5_d,"0.05 (0, 0.09)","-0.02 (-0.05, 0.01)","-0.08 (-0.12, -0.04)"
e2_p1_d,"-0.27 (-0.36, -0.17)","-0.21 (-0.28, -0.15)","-0.09 (-0.18, -0.01)"
e2_p2_d,"0.07 (0, 0.13)","0.01 (-0.04, 0.05)","-0.01 (-0.07, 0.05)"
e2_p3_d,"-0.11 (-0.17, -0.04)","-0.03 (-0.07, 0.01)","0.01 (-0.05, 0.06)"
e2_p4_d,"-0.03 (-0.08, 0.02)","-0.04 (-0.07, -0.01)","-0.02 (-0.06, 0.02)"
e2_p5_d,"0.15 (0.09, 0.2)","0.1 (0.06, 0.14)","0 (-0.05, 0.04)"
