term,Stunting,Underweight,Wasting
e1_p1_d,"0.05 (-0.07, 0.17)","-0.04 (-0.13, 0.04)","-0.12 (-0.22, -0.01)"
e1_p2_d,"0.08 (-0.01, 0.16)","0.07 (0, 0.14)","0.04 (-0.04, 0.13)"
e1_p3_d,"0.01 (-0.07, 0.08)","0.06 (-0.01, 0.12)","0.04 (-0.03, 0.12)"
e1_p4_d,"-0.07 (-0.15, 0.01)","-0.07 (-0.13, 0)","0 (-0.07, 0.08)"
e1_p5_d,"0.16 (0.07, 0.25)","0.04 (-0.02, 0.11)","-0.1 (-0.19, -0.02)"
e2_p1_d,"0.02 (-0.18, 0.21)","-0.02 (-0.15, 0.11)","-0.09 (-0.26, 0.08)"
e2_p2_d,"0.1 (-0.04, 0.24)","0 (-0.09, 0.1)","-0.05 (-0.18, 0.07)"
e2_p3_d,"0.04 (-0.1, 0.17)","0.06 (-0.03, 0.15)","0.01 (-0.1, 0.12)"
e2_p4_d,"0.01 (-0.1, 0.11)","-0.01 (-0.09, 0.06)","-0.01 (-0.11, 0.08)"
e2_p5_d,"0.04 (-0.08, 0.15)","0.1 (0.01, 0.18)","0.09 (-0.01, 0.19)"
