term,Stunting,Underweight,Wasting
e1_p1_omed,"1.05 (1, 1.11)","1.15 (1.07, 1.22)","1.11 (1.01, 1.22)"
e1_p1_ohigh,"0.97 (0.92, 1.02)","1.06 (1, 1.13)","1.05 (0.96, 1.14)"
e1_p2_omed,"0.94 (0.9, 0.98)","0.93 (0.88, 0.98)","0.98 (0.9, 1.06)"
e1_p2_ohigh,"0.91 (0.87, 0.95)","0.95 (0.9, 1)","0.98 (0.9, 1.06)"
e1_p3_omed,"0.99 (0.95, 1.03)","0.99 (0.95, 1.04)","1.02 (0.96, 1.09)"
e1_p3_ohigh,"0.9 (0.87, 0.93)","0.91 (0.88, 0.95)","1 (0.94, 1.06)"
e1_p4_omed,"1 (0.95, 1.04)","1.04 (0.99, 1.09)","0.95 (0.89, 1.02)"
e1_p4_ohigh,"1.1 (1.06, 1.14)","1.08 (1.04, 1.13)","0.95 (0.9, 1.01)"
e1_p5_omed,"0.96 (0.91, 1)","1.03 (0.99, 1.09)","1.05 (0.99, 1.12)"
e1_p5_ohigh,"0.85 (0.81, 0.88)","0.97 (0.94, 1.01)","1.05 (1, 1.1)"
e2_p1_omed,"0.89 (0.79, 1.01)","0.93 (0.83, 1.05)","0.98 (0.86, 1.1)"
e2_p1_ohigh,"1 (0.91, 1.11)","1.18 (1.06, 1.31)","1.01 (0.91, 1.12)"
e2_p2_omed,"0.98 (0.91, 1.05)","0.97 (0.9, 1.05)","0.91 (0.84, 0.98)"
e2_p2_ohigh,"0.8 (0.74, 0.87)","1.01 (0.93, 1.11)","1 (0.9, 1.1)"
e2_p3_omed,"0.96 (0.9, 1.02)","0.98 (0.91, 1.05)","0.94 (0.86, 1.02)"
e2_p3_ohigh,"0.94 (0.88, 1)","1.03 (0.96, 1.11)","0.96 (0.88, 1.04)"
e2_p4_omed,"0.98 (0.94, 1.03)","1.04 (0.99, 1.1)","1.04 (0.97, 1.11)"
e2_p4_ohigh,"0.91 (0.86, 0.97)","0.96 (0.9, 1.03)","0.92 (0.84, 1)"
e2_p5_omed,"0.93 (0.88, 0.98)","0.93 (0.87, 0.99)","0.92 (0.84, 1.01)"
e2_p5_ohigh,"0.83 (0.79, 0.88)","0.87 (0.81, 0.93)","0.92 (0.84, 1.02)"
