term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.91 (0.81, 1.04)","0.94 (0.82, 1.09)","1.1 (0.95, 1.28)"
factor(e_interaction)3,"0.96 (0.79, 1.17)","1.09 (0.88, 1.34)","1.29 (1.03, 1.62)"
factor(e_interaction)4,"0.93 (0.81, 1.08)","1.13 (0.98, 1.3)","1.23 (1.05, 1.44)"
factor(e_interaction)5,"1.1 (0.92, 1.32)","1.08 (0.88, 1.32)","0.87 (0.67, 1.12)"
factor(e_interaction)6,"0.94 (0.82, 1.09)","1.1 (0.95, 1.29)","1.12 (0.92, 1.36)"
factor(e_interaction)7,"0.94 (0.75, 1.18)","0.92 (0.7, 1.22)","0.88 (0.56, 1.38)"
factor(e_interaction)8,"0.95 (0.82, 1.09)","1.04 (0.88, 1.23)","0.9 (0.72, 1.13)"
factor(e_interaction)9,"1.07 (0.87, 1.32)","1.19 (0.9, 1.57)","1.04 (0.68, 1.58)"
factor(e_interaction)10,"0.85 (0.75, 0.96)","1.01 (0.88, 1.15)","1.04 (0.87, 1.24)"
factor(e_interaction)11,"0.83 (0.72, 0.96)","0.79 (0.66, 0.95)","0.96 (0.77, 1.19)"
factor(e_interaction)12,"1.01 (0.85, 1.2)","1.06 (0.87, 1.29)","0.95 (0.73, 1.24)"
factor(e_interaction)13,"0.81 (0.65, 1.01)","0.96 (0.74, 1.25)","1 (0.73, 1.37)"
factor(e_interaction)14,"0.83 (0.68, 1.01)","0.8 (0.63, 1.02)","0.83 (0.64, 1.06)"
factor(e_interaction)15,"0.9 (0.7, 1.15)","1.08 (0.85, 1.38)","0.92 (0.71, 1.2)"
factor(e_interaction)16,"0.85 (0.64, 1.13)","1 (0.71, 1.43)","1.02 (0.72, 1.45)"
factor(e_interaction)17,"0.84 (0.6, 1.16)","0.96 (0.69, 1.35)","0.91 (0.65, 1.29)"
factor(e_interaction)18,"0.85 (0.61, 1.17)","1.07 (0.79, 1.45)","0.83 (0.6, 1.16)"
factor(e_interaction)19,"1 (0.74, 1.36)","1.08 (0.81, 1.43)","0.88 (0.65, 1.18)"
factor(e_interaction)2:c_male,"0.97 (0.82, 1.13)","1.05 (0.88, 1.24)","0.94 (0.78, 1.13)"
factor(e_interaction)3:c_male,"0.73 (0.55, 0.96)","0.91 (0.69, 1.2)","0.78 (0.57, 1.08)"
factor(e_interaction)4:c_male,"0.96 (0.8, 1.16)","0.91 (0.75, 1.09)","0.75 (0.61, 0.92)"
factor(e_interaction)5:c_male,"0.83 (0.64, 1.08)","1.05 (0.81, 1.35)","1.18 (0.85, 1.64)"
factor(e_interaction)6:c_male,"0.97 (0.81, 1.15)","0.85 (0.7, 1.03)","0.72 (0.56, 0.92)"
factor(e_interaction)7:c_male,"0.81 (0.6, 1.09)","0.76 (0.53, 1.09)","0.79 (0.46, 1.36)"
factor(e_interaction)8:c_male,"0.82 (0.69, 0.99)","0.73 (0.6, 0.9)","0.9 (0.66, 1.22)"
factor(e_interaction)9:c_male,"0.87 (0.67, 1.15)","0.77 (0.53, 1.11)","0.79 (0.45, 1.37)"
factor(e_interaction)10:c_male,"0.98 (0.85, 1.13)","0.95 (0.81, 1.13)","1 (0.81, 1.24)"
factor(e_interaction)11:c_male,"1.04 (0.88, 1.23)","1.35 (1.09, 1.67)","0.97 (0.75, 1.24)"
factor(e_interaction)12:c_male,"1.08 (0.88, 1.33)","1.08 (0.84, 1.38)","0.86 (0.61, 1.21)"
factor(e_interaction)13:c_male,"1.28 (0.97, 1.7)","1.16 (0.83, 1.62)","0.76 (0.51, 1.12)"
factor(e_interaction)14:c_male,"1.11 (0.88, 1.41)","1.24 (0.93, 1.66)","1.01 (0.75, 1.34)"
factor(e_interaction)15:c_male,"1.27 (0.97, 1.67)","0.95 (0.69, 1.29)","0.84 (0.61, 1.15)"
factor(e_interaction)16:c_male,"1.24 (0.89, 1.72)","1.17 (0.77, 1.76)","0.72 (0.48, 1.09)"
factor(e_interaction)17:c_male,"1.05 (0.68, 1.64)","1.17 (0.76, 1.8)","0.82 (0.52, 1.3)"
factor(e_interaction)18:c_male,"0.79 (0.51, 1.23)","0.73 (0.5, 1.06)","1.01 (0.69, 1.47)"
factor(e_interaction)19:c_male,"1.19 (0.83, 1.72)","1.01 (0.72, 1.42)","1.16 (0.83, 1.62)"
