term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.93 (0.89, 0.98)","1.02 (0.97, 1.07)","1.03 (0.97, 1.1)"
factor(e_interaction)3,"0.87 (0.79, 0.96)","0.97 (0.89, 1.07)","0.87 (0.76, 0.98)"
factor(e_interaction)4,"0.98 (0.92, 1.05)","1.04 (0.98, 1.11)","0.96 (0.89, 1.04)"
factor(e_interaction)5,"1.01 (0.93, 1.1)","1 (0.91, 1.09)","1.03 (0.92, 1.16)"
factor(e_interaction)6,"0.93 (0.88, 0.99)","0.96 (0.9, 1.03)","0.89 (0.81, 0.99)"
factor(e_interaction)7,"0.92 (0.84, 1)","0.87 (0.78, 0.97)","0.82 (0.7, 0.97)"
factor(e_interaction)8,"0.85 (0.79, 0.9)","0.92 (0.85, 0.99)","0.95 (0.84, 1.07)"
factor(e_interaction)9,"0.99 (0.91, 1.08)","1.08 (0.98, 1.2)","0.98 (0.81, 1.18)"
factor(e_interaction)10,"0.9 (0.86, 0.95)","0.96 (0.91, 1.01)","0.97 (0.89, 1.06)"
factor(e_interaction)11,"0.86 (0.82, 0.91)","0.87 (0.82, 0.93)","0.9 (0.82, 0.99)"
factor(e_interaction)12,"0.93 (0.86, 1)","0.94 (0.86, 1.03)","0.93 (0.83, 1.05)"
factor(e_interaction)13,"0.95 (0.87, 1.04)","0.92 (0.83, 1.02)","0.83 (0.72, 0.95)"
factor(e_interaction)14,"0.95 (0.88, 1.03)","0.88 (0.81, 0.97)","0.85 (0.76, 0.95)"
factor(e_interaction)15,"0.98 (0.9, 1.08)","0.9 (0.81, 1)","0.85 (0.76, 0.96)"
factor(e_interaction)16,"0.97 (0.87, 1.08)","0.87 (0.78, 0.99)","0.72 (0.62, 0.83)"
factor(e_interaction)17,"0.77 (0.66, 0.91)","0.84 (0.71, 1)","0.86 (0.72, 1.03)"
factor(e_interaction)18,"0.83 (0.72, 0.96)","0.82 (0.72, 0.93)","0.85 (0.74, 0.97)"
factor(e_interaction)19,"1.25 (1.05, 1.49)","1.16 (1, 1.34)","0.91 (0.79, 1.04)"
factor(e_interaction)2:c_male,"1.02 (0.96, 1.09)","1 (0.94, 1.07)","0.95 (0.87, 1.03)"
factor(e_interaction)3:c_male,"0.99 (0.87, 1.12)","0.96 (0.85, 1.09)","1.01 (0.85, 1.2)"
factor(e_interaction)4:c_male,"0.95 (0.87, 1.03)","0.95 (0.88, 1.04)","0.93 (0.83, 1.04)"
factor(e_interaction)5:c_male,"0.98 (0.88, 1.09)","0.93 (0.82, 1.04)","0.7 (0.6, 0.82)"
factor(e_interaction)6:c_male,"0.97 (0.9, 1.05)","0.97 (0.9, 1.05)","0.98 (0.87, 1.11)"
factor(e_interaction)7:c_male,"0.85 (0.76, 0.96)","0.97 (0.84, 1.11)","1.11 (0.89, 1.38)"
factor(e_interaction)8:c_male,"1 (0.93, 1.08)","0.96 (0.87, 1.05)","0.97 (0.83, 1.13)"
factor(e_interaction)9:c_male,"1 (0.89, 1.12)","0.99 (0.86, 1.13)","0.97 (0.76, 1.24)"
factor(e_interaction)10:c_male,"0.99 (0.94, 1.05)","0.93 (0.87, 0.99)","0.92 (0.83, 1.02)"
factor(e_interaction)11:c_male,"1.06 (0.99, 1.13)","1.07 (0.98, 1.15)","0.98 (0.88, 1.1)"
factor(e_interaction)12:c_male,"1.12 (1.03, 1.22)","1.08 (0.96, 1.2)","0.95 (0.82, 1.1)"
factor(e_interaction)13:c_male,"1.09 (0.98, 1.22)","1.1 (0.97, 1.26)","1.09 (0.91, 1.29)"
factor(e_interaction)14:c_male,"1.12 (1.02, 1.22)","1.2 (1.08, 1.34)","1.04 (0.92, 1.19)"
factor(e_interaction)15:c_male,"1.19 (1.06, 1.32)","1.23 (1.09, 1.39)","1.02 (0.88, 1.17)"
factor(e_interaction)16:c_male,"1.18 (1.04, 1.34)","1.16 (1.01, 1.34)","1.12 (0.95, 1.32)"
factor(e_interaction)17:c_male,"1.4 (1.14, 1.72)","1.29 (1.06, 1.58)","1 (0.81, 1.24)"
factor(e_interaction)18:c_male,"1.32 (1.11, 1.55)","1.31 (1.13, 1.53)","0.92 (0.79, 1.08)"
factor(e_interaction)19:c_male,"1.13 (0.92, 1.39)","1.07 (0.94, 1.21)","0.87 (0.73, 1.04)"
