term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.93 (0.88, 0.98)","0.99 (0.94, 1.04)","0.95 (0.9, 1.01)"
factor(e_interaction)3,"0.94 (0.84, 1.04)","0.98 (0.9, 1.07)","0.81 (0.73, 0.9)"
factor(e_interaction)4,"1.03 (0.95, 1.11)","1.05 (0.98, 1.12)","0.87 (0.8, 0.93)"
factor(e_interaction)5,"0.83 (0.72, 0.96)","0.83 (0.74, 0.93)","0.76 (0.68, 0.86)"
factor(e_interaction)6,"0.67 (0.57, 0.79)","0.79 (0.7, 0.9)","0.79 (0.71, 0.89)"
factor(e_interaction)7,"0.58 (0.34, 1)","0.43 (0.24, 0.75)","0.96 (0.73, 1.25)"
factor(e_interaction)8,"0.91 (0.81, 1.04)","0.88 (0.75, 1.04)","0.73 (0.55, 0.97)"
factor(e_interaction)9,"0.96 (0.88, 1.06)","1.06 (0.95, 1.19)","1.18 (0.98, 1.42)"
factor(e_interaction)10,"0.91 (0.87, 0.96)","0.92 (0.86, 0.98)","1.06 (0.96, 1.16)"
factor(e_interaction)11,"0.95 (0.9, 0.99)","0.96 (0.91, 1.02)","0.92 (0.85, 1.01)"
factor(e_interaction)12,"1.05 (0.99, 1.11)","1.02 (0.95, 1.1)","0.92 (0.83, 1.01)"
factor(e_interaction)13,"1.02 (0.96, 1.09)","1 (0.92, 1.08)","0.91 (0.82, 1.01)"
factor(e_interaction)14,"1.03 (0.97, 1.09)","1.02 (0.95, 1.09)","0.91 (0.83, 1)"
factor(e_interaction)15,"1.07 (1, 1.15)","1.05 (0.97, 1.13)","0.88 (0.8, 0.97)"
factor(e_interaction)16,"1.11 (1.03, 1.21)","0.99 (0.9, 1.08)","0.77 (0.69, 0.86)"
factor(e_interaction)17,"1.13 (1.02, 1.26)","1.05 (0.94, 1.18)","0.86 (0.75, 0.99)"
factor(e_interaction)18,"1.07 (0.97, 1.19)","0.98 (0.89, 1.08)","0.83 (0.74, 0.93)"
factor(e_interaction)19,"1.15 (1.04, 1.28)","1.19 (1.05, 1.34)","0.86 (0.76, 0.97)"
