term,Stunting,Underweight,Wasting
factor(e_interaction)2,"0.87 (0.77, 0.98)","0.96 (0.85, 1.09)","1.07 (0.94, 1.21)"
factor(e_interaction)3,"0.76 (0.6, 0.97)","1.01 (0.84, 1.22)","1.09 (0.88, 1.35)"
factor(e_interaction)4,"0.86 (0.72, 1.04)","0.96 (0.82, 1.13)","0.99 (0.85, 1.15)"
factor(e_interaction)5,"0.87 (0.62, 1.22)","0.8 (0.62, 1.02)","0.84 (0.65, 1.08)"
factor(e_interaction)6,"0.77 (0.58, 1.01)","0.79 (0.61, 1.01)","0.91 (0.72, 1.15)"
factor(e_interaction)7,"0.05 (0.01, 0.35)","0.46 (0.1, 2.13)","0.68 (0.22, 2.07)"
factor(e_interaction)8,"0.87 (0.58, 1.3)","1.11 (0.66, 1.88)","1.02 (0.6, 1.74)"
factor(e_interaction)9,"1.12 (0.9, 1.39)","1.17 (0.88, 1.56)","1.04 (0.69, 1.57)"
factor(e_interaction)10,"0.89 (0.78, 1.01)","0.96 (0.82, 1.12)","1.16 (0.97, 1.39)"
factor(e_interaction)11,"0.91 (0.81, 1.03)","1.01 (0.88, 1.16)","0.89 (0.75, 1.07)"
factor(e_interaction)12,"1.13 (0.99, 1.3)","1.12 (0.96, 1.32)","0.79 (0.64, 0.98)"
factor(e_interaction)13,"1 (0.85, 1.18)","1.07 (0.88, 1.3)","0.81 (0.64, 1.03)"
factor(e_interaction)14,"0.91 (0.78, 1.06)","0.94 (0.79, 1.13)","0.78 (0.64, 0.95)"
factor(e_interaction)15,"0.99 (0.83, 1.19)","1.05 (0.87, 1.27)","0.77 (0.62, 0.96)"
factor(e_interaction)16,"1 (0.82, 1.23)","1.11 (0.88, 1.4)","0.77 (0.59, 0.99)"
factor(e_interaction)17,"1.09 (0.85, 1.4)","1.14 (0.89, 1.47)","0.76 (0.57, 1)"
factor(e_interaction)18,"0.87 (0.66, 1.14)","0.95 (0.72, 1.25)","0.75 (0.57, 0.98)"
factor(e_interaction)19,"0.94 (0.74, 1.19)","0.99 (0.78, 1.24)","0.82 (0.64, 1.05)"
