term,HAZ,WAZ,WHZ
factor(e_interaction)2,"0.11 (0.01, 0.21)","0.01 (-0.07, 0.08)","-0.12 (-0.21, -0.03)"
factor(e_interaction)3,"0.13 (-0.03, 0.29)","-0.07 (-0.18, 0.04)","-0.22 (-0.37, -0.07)"
factor(e_interaction)4,"0.05 (-0.06, 0.16)","-0.02 (-0.1, 0.06)","-0.07 (-0.18, 0.03)"
factor(e_interaction)5,"0.03 (-0.12, 0.17)","0.06 (-0.06, 0.18)","0.05 (-0.09, 0.2)"
factor(e_interaction)6,"0.02 (-0.09, 0.13)","0.03 (-0.06, 0.12)","0 (-0.11, 0.11)"
factor(e_interaction)7,"0.17 (0, 0.34)","0.17 (0.04, 0.3)","0.1 (-0.06, 0.26)"
factor(e_interaction)8,"0.13 (0.02, 0.25)","0.12 (0.03, 0.21)","0.06 (-0.05, 0.17)"
factor(e_interaction)9,"0.06 (-0.12, 0.24)","0.08 (-0.05, 0.21)","0.07 (-0.09, 0.23)"
factor(e_interaction)10,"0.08 (-0.02, 0.18)","0.05 (-0.03, 0.12)","-0.01 (-0.1, 0.08)"
factor(e_interaction)11,"0.12 (-0.01, 0.25)","0.08 (-0.01, 0.17)","0 (-0.1, 0.11)"
factor(e_interaction)12,"-0.16 (-0.33, 0)","-0.02 (-0.15, 0.1)","0.07 (-0.08, 0.22)"
factor(e_interaction)13,"-0.01 (-0.19, 0.17)","-0.03 (-0.16, 0.09)","-0.05 (-0.2, 0.1)"
factor(e_interaction)14,"0.1 (-0.06, 0.26)","0.08 (-0.03, 0.2)","0.01 (-0.13, 0.15)"
factor(e_interaction)15,"-0.03 (-0.23, 0.17)","0.04 (-0.09, 0.16)","0.1 (-0.06, 0.26)"
factor(e_interaction)16,"-0.05 (-0.26, 0.17)","-0.01 (-0.15, 0.14)","-0.01 (-0.2, 0.19)"
factor(e_interaction)17,"-0.17 (-0.42, 0.09)","-0.06 (-0.22, 0.1)","0 (-0.21, 0.21)"
factor(e_interaction)18,"0 (-0.24, 0.23)","0.01 (-0.16, 0.18)","-0.01 (-0.23, 0.2)"
factor(e_interaction)19,"-0.07 (-0.3, 0.15)","-0.03 (-0.19, 0.13)","-0.01 (-0.23, 0.22)"
