term,Stunting,Underweight,Wasting
e1_p1_d,"-0.03 (-0.09, 0.02)","-0.07 (-0.11, -0.04)","-0.07 (-0.12, -0.03)"
e1_p2_d,"0.08 (0.04, 0.12)","0.05 (0.02, 0.08)","0 (-0.03, 0.04)"
e1_p3_d,"0.07 (0.03, 0.1)","0.05 (0.02, 0.08)","-0.03 (-0.06, 0)"
e1_p4_d,"-0.07 (-0.1, -0.03)","-0.04 (-0.07, -0.02)","0.03 (0, 0.06)"
e1_p5_d,"0.08 (0.03, 0.12)","-0.01 (-0.04, 0.02)","-0.09 (-0.13, -0.06)"
e2_p1_d,"-0.19 (-0.28, -0.11)","-0.16 (-0.22, -0.11)","-0.09 (-0.17, -0.01)"
e2_p2_d,"0.08 (0.01, 0.14)","0 (-0.04, 0.05)","-0.03 (-0.08, 0.03)"
e2_p3_d,"-0.07 (-0.13, -0.01)","-0.01 (-0.05, 0.03)","0.01 (-0.04, 0.06)"
e2_p4_d,"-0.02 (-0.07, 0.03)","-0.03 (-0.07, 0)","-0.02 (-0.06, 0.02)"
e2_p5_d,"0.12 (0.07, 0.17)","0.1 (0.06, 0.14)","0.02 (-0.03, 0.06)"
