term,Stunting,Underweight,Wasting
e1_p1_d,"0.92 (0.89, 0.96)","0.99 (0.95, 1.03)","1 (0.94, 1.06)"
e1_p2_d,"0.99 (0.96, 1.03)","1.02 (0.98, 1.06)","0.98 (0.92, 1.05)"
e1_p3_d,"0.87 (0.83, 0.91)","0.93 (0.88, 0.98)","1.03 (0.96, 1.1)"
e1_p4_d,"1.04 (1, 1.08)","1.03 (0.99, 1.07)","0.94 (0.89, 0.99)"
e1_p5_d,"0.91 (0.88, 0.95)","1.01 (0.97, 1.05)","1.04 (1, 1.09)"
e2_p1_d,"1.11 (1.03, 1.21)","1.17 (1.07, 1.29)","0.98 (0.9, 1.06)"
e2_p2_d,"0.91 (0.85, 0.96)","0.94 (0.87, 1)","0.94 (0.88, 1.01)"
e2_p3_d,"1.03 (0.99, 1.08)","1.03 (0.98, 1.09)","0.94 (0.88, 1.01)"
e2_p4_d,"1 (0.96, 1.03)","1.02 (0.98, 1.07)","0.99 (0.94, 1.05)"
e2_p5_d,"0.9 (0.87, 0.94)","0.95 (0.91, 1)","0.96 (0.9, 1.02)"
