term,Stunting,Underweight,Wasting
e1_p1_d,"0.88 (0.8, 0.96)","0.92 (0.82, 1.02)","1.12 (0.98, 1.28)"
e1_p2_d,"1.03 (0.95, 1.12)","1.08 (0.98, 1.2)","0.95 (0.83, 1.09)"
e1_p3_d,"0.86 (0.77, 0.96)","0.84 (0.74, 0.96)","0.97 (0.84, 1.13)"
e1_p4_d,"1.06 (0.97, 1.16)","1.17 (1.06, 1.28)","1.03 (0.93, 1.15)"
e1_p5_d,"0.87 (0.8, 0.95)","0.93 (0.84, 1.02)","1.08 (0.98, 1.2)"
e2_p1_d,"0.92 (0.76, 1.11)","0.95 (0.79, 1.15)","1.04 (0.86, 1.25)"
e2_p2_d,"0.88 (0.76, 1.01)","1.04 (0.89, 1.21)","0.94 (0.8, 1.09)"
e2_p3_d,"0.96 (0.86, 1.09)","0.95 (0.83, 1.09)","0.96 (0.83, 1.11)"
e2_p4_d,"0.99 (0.9, 1.09)","1.01 (0.9, 1.12)","0.93 (0.83, 1.05)"
e2_p5_d,"0.91 (0.83, 1)","0.95 (0.85, 1.07)","1 (0.87, 1.15)"
