term,Stunting,Underweight,Wasting
e1_p1_d,"0.91 (0.88, 0.94)","0.97 (0.93, 1.01)","1.03 (0.97, 1.09)"
e1_p2_d,"1 (0.97, 1.04)","1.03 (0.99, 1.07)","0.97 (0.92, 1.03)"
e1_p3_d,"0.87 (0.83, 0.9)","0.91 (0.87, 0.96)","1.01 (0.95, 1.08)"
e1_p4_d,"1.05 (1.01, 1.08)","1.06 (1.02, 1.1)","0.96 (0.91, 1.01)"
e1_p5_d,"0.9 (0.87, 0.93)","0.99 (0.96, 1.03)","1.05 (1.01, 1.1)"
e2_p1_d,"1.07 (0.99, 1.15)","1.12 (1.03, 1.22)","0.99 (0.92, 1.07)"
e2_p2_d,"0.9 (0.85, 0.95)","0.96 (0.9, 1.02)","0.94 (0.89, 1)"
e2_p3_d,"1.02 (0.97, 1.06)","1.01 (0.96, 1.07)","0.95 (0.89, 1.01)"
e2_p4_d,"0.99 (0.96, 1.03)","1.02 (0.98, 1.06)","0.98 (0.93, 1.03)"
e2_p5_d,"0.9 (0.87, 0.94)","0.95 (0.91, 0.99)","0.97 (0.92, 1.03)"
