term,Stunting,Underweight,Wasting
e1_p1_omed,"1.06 (1, 1.13)","1.17 (1.09, 1.25)","1.11 (1, 1.23)"
e1_p1_ohigh,"1 (0.95, 1.06)","1.06 (1, 1.13)","0.97 (0.89, 1.07)"
e1_p2_omed,"0.94 (0.9, 0.98)","0.93 (0.88, 0.99)","0.98 (0.89, 1.07)"
e1_p2_ohigh,"0.91 (0.87, 0.95)","0.97 (0.91, 1.03)","1 (0.91, 1.1)"
e1_p3_omed,"0.98 (0.94, 1.03)","0.98 (0.94, 1.04)","1.01 (0.94, 1.09)"
e1_p3_ohigh,"0.9 (0.86, 0.93)","0.91 (0.87, 0.95)","1.01 (0.94, 1.07)"
e1_p4_omed,"0.99 (0.94, 1.03)","1 (0.96, 1.05)","0.92 (0.86, 0.99)"
e1_p4_ohigh,"1.09 (1.05, 1.14)","1.06 (1.01, 1.11)","0.94 (0.88, 1)"
e1_p5_omed,"0.97 (0.92, 1.02)","1.04 (0.99, 1.09)","1.02 (0.95, 1.09)"
e1_p5_ohigh,"0.86 (0.83, 0.9)","1 (0.96, 1.04)","1.04 (0.98, 1.09)"
e2_p1_omed,"0.94 (0.83, 1.06)","0.99 (0.87, 1.12)","0.98 (0.86, 1.11)"
e2_p1_ohigh,"1.08 (0.97, 1.2)","1.23 (1.1, 1.39)","0.96 (0.86, 1.08)"
e2_p2_omed,"0.98 (0.91, 1.06)","0.94 (0.87, 1.03)","0.88 (0.8, 0.95)"
e2_p2_ohigh,"0.83 (0.75, 0.9)","1 (0.91, 1.1)","0.98 (0.88, 1.09)"
e2_p3_omed,"0.99 (0.93, 1.05)","1 (0.93, 1.08)","0.95 (0.86, 1.04)"
e2_p3_ohigh,"0.97 (0.91, 1.04)","1.05 (0.97, 1.13)","0.92 (0.84, 1.02)"
e2_p4_omed,"0.99 (0.94, 1.04)","1.05 (1, 1.12)","1.05 (0.98, 1.13)"
e2_p4_ohigh,"0.93 (0.88, 0.99)","0.95 (0.89, 1.02)","0.89 (0.81, 0.98)"
e2_p5_omed,"0.91 (0.86, 0.96)","0.92 (0.86, 0.99)","0.95 (0.86, 1.05)"
e2_p5_ohigh,"0.82 (0.78, 0.87)","0.87 (0.81, 0.94)","0.95 (0.85, 1.06)"
