term,Stunting,Underweight,Wasting
e1_p1_omed,"1.01 (0.88, 1.16)","1.04 (0.88, 1.23)","1.09 (0.87, 1.36)"
e1_p1_ohigh,"0.86 (0.74, 0.99)","1.06 (0.9, 1.24)","1.28 (1.06, 1.55)"
e1_p2_omed,"0.94 (0.83, 1.05)","0.91 (0.79, 1.04)","0.99 (0.82, 1.2)"
e1_p2_ohigh,"0.91 (0.81, 1.03)","0.86 (0.75, 0.99)","0.92 (0.76, 1.09)"
e1_p3_omed,"1.01 (0.9, 1.13)","1.04 (0.92, 1.17)","1.04 (0.9, 1.21)"
e1_p3_ohigh,"0.9 (0.82, 0.98)","0.93 (0.84, 1.03)","0.97 (0.85, 1.11)"
e1_p4_omed,"1.03 (0.92, 1.15)","1.19 (1.06, 1.34)","1.04 (0.89, 1.21)"
e1_p4_ohigh,"1.12 (1.01, 1.24)","1.19 (1.06, 1.33)","1.01 (0.88, 1.15)"
e1_p5_omed,"0.91 (0.81, 1.02)","1.02 (0.89, 1.15)","1.16 (1, 1.33)"
e1_p5_ohigh,"0.78 (0.71, 0.87)","0.87 (0.79, 0.97)","1.08 (0.96, 1.21)"
e2_p1_omed,"0.73 (0.51, 1.04)","0.75 (0.53, 1.04)","0.94 (0.69, 1.29)"
e2_p1_ohigh,"0.78 (0.62, 0.99)","0.98 (0.78, 1.25)","1.13 (0.89, 1.45)"
e2_p2_omed,"0.97 (0.8, 1.18)","1.08 (0.89, 1.32)","1 (0.83, 1.22)"
e2_p2_ohigh,"0.71 (0.58, 0.88)","1.05 (0.84, 1.32)","1.01 (0.79, 1.3)"
e2_p3_omed,"0.86 (0.72, 1.01)","0.9 (0.73, 1.09)","0.9 (0.72, 1.12)"
e2_p3_ohigh,"0.84 (0.7, 1)","0.95 (0.79, 1.15)","1.04 (0.84, 1.28)"
e2_p4_omed,"0.96 (0.85, 1.09)","1 (0.86, 1.15)","1 (0.85, 1.17)"
e2_p4_ohigh,"0.86 (0.74, 0.99)","0.99 (0.84, 1.17)","0.99 (0.81, 1.21)"
e2_p5_omed,"1.01 (0.88, 1.16)","0.96 (0.81, 1.13)","0.82 (0.67, 1.02)"
e2_p5_ohigh,"0.87 (0.75, 1.01)","0.87 (0.73, 1.03)","0.84 (0.68, 1.04)"
